,Amapá - PIB - Estadual,Amapá - PIB - Construção Civil,Amapá - PIB - Per Capita,Amapá - PIB - Preços de Mercado
2012-4,9281189.941384021,370289.475799524,10.92257003866056,7345115.62652191
2012-5,9293774.972782867,369955.7519160524,10.920085210867953,7347264.692077893
2012-6,9306360.004181711,369622.02803258086,10.917600383075344,7349413.757633877
2012-7,9318945.035580555,369288.3041491093,10.915115555282735,7351562.82318986
2012-8,9331530.066979399,368954.5802656378,10.912630727490127,7353711.888745843
2012-9,9344115.098378243,368620.8563821662,10.910145899697518,7355860.954301828
2012-10,9356700.129777089,368287.13249869464,10.907661071904911,7358010.019857811
2012-11,9369285.161175933,367953.4086152231,10.905176244112303,7360159.085413794
2012-12,9381870.192574777,367619.6847317515,10.902691416319694,7362308.150969778
2013-1,9394455.22397362,367285.96084827994,10.900206588527086,7364457.216525761
2013-2,9403358.895720338,367073.18911654287,10.896828397759393,7364736.552547641
2013-3,9412262.567467056,366860.41738480586,10.893450206991698,7365015.888569521
2013-4,9421166.239213774,366647.6456530688,10.890072016224003,7365295.2245914005
2013-5,9430069.910960492,366434.8739213318,10.88669382545631,7365574.56061328
2013-6,9438973.58270721,366222.1021895947,10.883315634688618,7365853.89663516
2013-7,9447877.254453927,366009.3304578577,10.879937443920923,7366133.23265704
2013-8,9456780.926200647,365796.5587261206,10.876559253153228,7366412.56867892
2013-9,9465684.597947365,365583.78699438355,10.873181062385536,7366691.9047008
2013-10,9474588.269694082,365371.01526264654,10.869802871617843,7366971.2407226795
2013-11,9483491.9414408,365158.2435309095,10.866424680850148,7367250.576744559
2013-12,9492395.613187518,364945.47179917246,10.863046490082453,7367529.912766439
2014-1,9501299.284934236,364732.7000674354,10.85966829931476,7367809.248788319
2014-2,9508358.5683375,364234.43031478755,10.857247403871597,7368149.077967872
2014-3,9515417.851740766,363736.1605621397,10.854826508428435,7368488.907147424
2014-4,9522477.13514403,363237.89080949186,10.85240561298527,7368828.736326978
2014-5,9529536.418547295,362739.6210568441,10.849984717542107,7369168.565506531
2014-6,9536595.70195056,362241.3513041962,10.847563822098945,7369508.394686084
2014-7,9543654.985353824,361743.0815515484,10.84514292665578,7369848.223865638
2014-8,9550714.26875709,361244.81179890054,10.842722031212617,7370188.05304519
2014-9,9557773.552160354,360746.5420462527,10.840301135769455,7370527.882224743
2014-10,9564832.835563619,360248.2722936049,10.83788024032629,7370867.711404297
2014-11,9571892.118966885,359750.00254095707,10.835459344883127,7371207.540583849
2014-12,9578951.40237015,359251.7327883092,10.833038449439965,7371547.369763402
2015-1,9586010.685773414,358753.4630356614,10.8306175539968,7371887.198942956
2015-2,9591241.850403927,358032.4573256436,10.829464607036757,7372505.011539405
2015-3,9596473.015034443,357311.4516156259,10.828311660076713,7373122.824135855
2015-4,9601704.179664956,356590.4459056081,10.827158713116667,7373740.6367323045
2015-5,9606935.344295472,355869.4401955904,10.826005766156623,7374358.449328753
2015-6,9612166.508925986,355148.4344855726,10.824852819196579,7374976.261925203
2015-7,9617397.6735565,354427.4287755549,10.823699872236535,7375594.074521652
2015-8,9622628.838187015,353706.4230655372,10.822546925276491,7376211.887118102
2015-9,9627860.002817528,352985.4173555194,10.821393978316447,7376829.699714552
2015-10,9633091.167448044,352264.4116455017,10.820241031356403,7377447.512311
2015-11,9638322.332078557,351543.4059354839,10.819088084396357,7378065.32490745
2015-12,9643553.496709073,350822.4002254662,10.817935137436313,7378683.1375039
2016-1,9648784.661339587,350101.3945154484,10.81678219047627,7379300.950100349
2016-2,9651764.735182606,349900.6737751994,10.817100166683979,7380316.250461347
2016-3,9654744.809025627,349699.95303495036,10.81741814289169,7381331.550822345
2016-4,9657724.882868646,349499.23229470133,10.8177361190994,7382346.851183343
2016-5,9660704.956711665,349298.5115544523,10.81805409530711,7383362.15154434
2016-6,9663685.030554684,349097.79081420327,10.818372071514819,7384377.451905338
2016-7,9666665.104397703,348897.07007395424,10.81869004772253,7385392.752266336
2016-8,9669645.178240724,348696.3493337052,10.819008023930241,7386408.052627333
2016-9,9672625.252083743,348495.6285934562,10.81932600013795,7387423.352988332
2016-10,9675605.325926762,348294.90785320714,10.81964397634566,7388438.653349329
2016-11,9678585.399769783,348094.1871129581,10.81996195255337,7389453.953710327
2016-12,9681565.473612802,347893.4663727091,10.820279928761082,7390469.254071324
2017-1,9684545.547455821,347692.74563246005,10.82059790496879,7391484.554432322
2017-2,9683688.804205056,347752.5456759224,10.820287092487817,7391215.403553
2017-3,9682832.060954291,347812.3457193848,10.819976280006843,7390946.252673678
2017-4,9681975.317703526,347872.14576284715,10.81966546752587,7390677.101794356
2017-5,9681118.574452762,347931.9458063095,10.819354655044897,7390407.950915033
2017-6,9680261.831201997,347991.7458497719,10.819043842563923,7390138.80003571
2017-7,9679405.087951232,348051.5458932343,10.81873303008295,7389869.649156388
2017-8,9678548.344700465,348111.3459366967,10.818422217601976,7389600.498277066
2017-9,9677691.6014497,348171.14598015905,10.818111405121002,7389331.347397744
2017-10,9676834.858198935,348230.9460236214,10.81780059264003,7389062.196518421
2017-11,9675978.11494817,348290.7460670838,10.817489780159056,7388793.0456391
2017-12,9675121.371697405,348350.54611054616,10.817178967678082,7388523.894759777
2018-1,9674264.62844664,348410.3461540085,10.816868155197108,7388254.743880454
2018-2,9668397.97783919,348468.4306269086,10.81615786976524,7386516.22562031
2018-3,9662531.32723174,348526.51509980863,10.815447584333373,7384777.707360165
2018-4,9656664.67662429,348584.5995727087,10.814737298901505,7383039.1891000215
2018-5,9650798.02601684,348642.68404560874,10.814027013469639,7381300.670839877
2018-6,9644931.37540939,348700.7685185088,10.81331672803777,7379562.152579732
2018-7,9639064.724801943,348758.8529914089,10.812606442605905,7377823.634319588
2018-8,9633198.074194493,348816.9374643089,10.811896157174036,7376085.116059443
2018-9,9627331.423587043,348875.021937209,10.811185871742168,7374346.597799298
2018-10,9621464.772979593,348933.10641010903,10.810475586310302,7372608.079539154
2018-11,9615598.122372143,348991.1908830091,10.809765300878434,7370869.56127901
2018-12,9609731.471764693,349049.27535590914,10.809055015446567,7369131.043018865
2019-1,9603864.821157243,349107.3598288092,10.8083447300147,7367392.524758721
2019-2,9593927.36366541,349328.56084769714,10.808109768714653,7364981.713450853
2019-3,9583989.906173574,349549.761866585,10.807874807414606,7362570.902142984
2019-4,9574052.44868174,349770.9628854729,10.80763984611456,7360160.090835116
2019-5,9564114.991189905,349992.1639043608,10.807404884814513,7357749.279527248
2019-6,9554177.53369807,350213.3649232487,10.807169923514467,7355338.468219379
2019-7,9544240.076206237,350434.56594213657,10.80693496221442,7352927.656911511
2019-8,9534302.618714401,350655.7669610245,10.806700000914374,7350516.845603643
2019-9,9524365.161222568,350876.9679799124,10.806465039614327,7348106.034295774
2019-10,9514427.703730732,351098.1689988003,10.80623007831428,7345695.222987906
2019-11,9504490.246238898,351319.3700176882,10.805995117014234,7343284.411680038
2019-12,9494552.788747063,351540.57103657606,10.805760155714188,7340873.600372169
2020-1,9484615.33125523,351761.772055464,10.805525194414141,7338462.789064301
2020-2,9469287.065223258,351896.3306121183,10.807252167324915,7335593.6679161275
2020-3,9453958.799191287,352030.88916877256,10.808979140235689,7332724.546767953
2020-4,9438630.533159316,352165.4477254269,10.810706113146463,7329855.425619779
2020-5,9423302.267127344,352300.0062820812,10.812433086057238,7326986.304471605
2020-6,9407974.001095373,352434.56483873544,10.814160058968012,7324117.183323431
2020-7,9392645.7350634,352569.12339538976,10.815887031878786,7321248.062175257
2020-8,9377317.469031429,352703.6819520441,10.81761400478956,7318378.941027083
2020-9,9361989.202999458,352838.24050869833,10.819340977700334,7315509.819878909
2020-10,9346660.936967487,352972.79906535265,10.82106795061111,7312640.698730735
2020-11,9331332.670935515,353107.35762200697,10.822794923521883,7309771.577582561
2020-12,9316004.404903544,353241.9161786612,10.824521896432657,7306902.456434387
2021-1,9300676.138871573,353376.47473531554,10.82624886934343,7304033.335286213
2021-2,9282121.753164236,353507.9503895753,10.828147530271245,7300367.115066256
2021-3,9263567.367456896,353639.426043835,10.83004619119906,7296700.8948463
2021-4,9245012.981749557,353770.90169809473,10.831944852126876,7293034.674626342
2021-5,9226458.59604222,353902.37735235447,10.83384351305469,7289368.454406385
2021-6,9207904.210334882,354033.8530066142,10.835742173982505,7285702.234186429
2021-7,9189349.824627543,354165.3286608739,10.83764083491032,7282036.013966471
2021-8,9170795.438920204,354296.8043151336,10.839539495838135,7278369.793746514
2021-9,9152241.053212866,354428.27996939333,10.84143815676595,7274703.573526558
2021-10,9133686.667505529,354559.75562365307,10.843336817693764,7271037.353306601
2021-11,9115132.28179819,354691.2312779128,10.845235478621579,7267371.133086644
2021-12,9096577.89609085,354822.7069321725,10.847134139549395,7263704.9128666865
2022-1,9078023.510383513,354954.18258643226,10.84903280047721,7260038.69264673
