,Acre - PIB - Estadual,Acre - PIB - Construção Civil,Acre - PIB - Per Capita,Acre - PIB - Preços de Mercado
2016-7,8626453.561986644,389050.58481963427,9.241331146969024,6809074.510505198
2016-8,8627386.636012692,389050.8338644132,9.240354202294563,6808935.756918361
2016-9,8628319.71003874,389051.0829091922,9.239377257620104,6808797.003331525
2016-10,8629252.784064787,389051.3319539712,9.238400312945645,6808658.249744689
2016-11,8630185.858090835,389051.5809987501,9.237423368271184,6808519.496157853
2016-12,8631118.932116881,389051.83004352904,9.236446423596725,6808380.742571018
2017-1,8632052.00614293,389052.07908830803,9.235469478922266,6808241.988984182
2017-2,8630999.436932992,389225.4627612981,9.235000808100223,6807958.333542665
2017-3,8629946.867723055,389398.84643428825,9.234532137278178,6807674.678101148
2017-4,8628894.298513118,389572.23010727833,9.234063466456135,6807391.022659631
2017-5,8627841.729303181,389745.6137802684,9.23359479563409,6807107.367218115
2017-6,8626789.160093244,389918.99745325855,9.233126124812047,6806823.711776598
2017-7,8625736.590883307,390092.3811262486,9.232657453990004,6806540.056335082
2017-8,8624684.021673372,390265.7647992387,9.23218878316796,6806256.400893565
2017-9,8623631.452463435,390439.14847222884,9.231720112345917,6805972.745452048
2017-10,8622578.883253498,390612.5321452189,9.231251441523872,6805689.090010532
2017-11,8621526.314043561,390785.915818209,9.230782770701829,6805405.434569015
2017-12,8620473.744833624,390959.29949119914,9.230314099879784,6805121.779127499
2018-1,8619421.175623687,391132.6831641892,9.229845429057741,6804838.123685982
2018-2,8614724.728233388,391322.0021238312,9.229811227380543,6803810.055076122
2018-3,8610028.280843088,391511.3210834732,9.229777025703346,6802781.9864662625
2018-4,8605331.83345279,391700.6400431152,9.229742824026147,6801753.917856403
2018-5,8600635.38606249,391889.9590027572,9.22970862234895,6800725.849246544
2018-6,8595938.93867219,392079.2779623992,9.229674420671751,6799697.780636684
2018-7,8591242.491281893,392268.59692204115,9.229640218994554,6798669.712026824
2018-8,8586546.043891594,392457.9158816832,9.229606017317355,6797641.643416964
2018-9,8581849.596501295,392647.23484132515,9.229571815640156,6796613.574807105
2018-10,8577153.149110995,392836.5538009672,9.22953761396296,6795585.506197246
2018-11,8572456.701720696,393025.87276060914,9.22950341228576,6794557.437587386
2018-12,8567760.254330397,393215.19172025117,9.229469210608563,6793529.368977526
2019-1,8563063.806940097,393404.51067989314,9.229435008931365,6792501.300367666
2019-2,8555685.555942994,393617.1353487544,9.230258143419142,6791473.798699808
2019-3,8548307.304945888,393829.7600176156,9.23108127790692,6790446.297031949
2019-4,8540929.053948784,394042.3846864769,9.2319044123947,6789418.795364091
2019-5,8533550.802951679,394255.0093553382,9.232727546882478,6788391.293696233
2019-6,8526172.551954575,394467.6340241994,9.233550681370255,6787363.792028374
2019-7,8518794.300957471,394680.25869306066,9.234373815858035,6786336.290360516
2019-8,8511416.049960366,394892.88336192194,9.235196950345813,6785308.788692658
2019-9,8504037.798963262,395105.50803078315,9.23602008483359,6784281.287024799
2019-10,8496659.547966156,395318.1326996444,9.236843219321369,6783253.785356941
2019-11,8489281.296969052,395530.7573685057,9.237666353809146,6782226.283689083
2019-12,8481903.045971947,395743.3820373669,9.238489488296926,6781198.782021224
2020-1,8474524.794974843,395956.0067062282,9.239312622784704,6780171.2803533655
2020-2,8462340.626865946,396234.3509790497,9.241283441737346,6778782.279060455
2020-3,8450156.458757048,396512.69525187125,9.243254260689989,6777393.277767544
2020-4,8437972.290648151,396791.03952469275,9.245225079642633,6776004.276474633
2020-5,8425788.122539254,397069.38379751425,9.247195898595276,6774615.275181723
2020-6,8413603.954430357,397347.72807033575,9.249166717547919,6773226.2738888115
2020-7,8401419.786321457,397626.07234315726,9.251137536500561,6771837.272595901
2020-8,8389235.61821256,397904.4166159788,9.253108355453204,6770448.271302991
2020-9,8377051.450103664,398182.7608888003,9.255079174405846,6769059.270010079
2020-10,8364867.281994766,398461.1051616218,9.257049993358489,6767670.268717169
2020-11,8352683.113885868,398739.4494344434,9.259020812311133,6766281.267424258
2020-12,8340498.945776971,399017.7937072649,9.260991631263776,6764892.266131347
2021-1,8328314.777668074,399296.1379800864,9.262962450216419,6763503.264838437
2021-2,8313466.993575442,399609.52262293844,9.265156353540775,6761632.308889425
2021-3,8298619.2094828095,399922.9072657905,9.267350256865132,6759761.352940414
2021-4,8283771.4253901765,400236.2919086426,9.269544160189488,6757890.396991403
2021-5,8268923.641297544,400549.6765514947,9.271738063513844,6756019.441042392
2021-6,8254075.857204912,400863.06119434675,9.273931966838202,6754148.48509338
2021-7,8239228.07311228,401176.4458371989,9.276125870162558,6752277.529144369
2021-8,8224380.289019648,401489.83048005094,9.278319773486913,6750406.573195357
2021-9,8209532.504927016,401803.215122903,9.280513676811271,6748535.617246346
2021-10,8194684.720834384,402116.59976575506,9.282707580135627,6746664.661297334
2021-11,8179836.936741751,402429.9844086071,9.284901483459983,6744793.705348323
2021-12,8164989.152649119,402743.36905145925,9.28709538678434,6742922.749399312
2022-1,8150141.368556486,403056.7536943113,9.289289290108696,6741051.793450301
