,Tocantins - PIB - Estadual,Tocantins - PIB - Construção Civil,Tocantins - PIB - Per Capita,Tocantins - PIB - Preços de Mercado
2007-1,16948958.260328595,1533651.894670466,10.545712228157267,27447219.406162657
2007-2,16966072.60359127,1535239.3765492267,10.550103773471866,27482028.401374996
2007-3,16983186.946853947,1536826.8584279874,10.554495318786465,27516837.39658734
2007-4,17000301.290116623,1538414.3403067482,10.558886864101066,27551646.391799677
2007-5,17017415.633379303,1540001.822185509,10.563278409415664,27586455.387012016
2007-6,17034529.97664198,1541589.3040642696,10.567669954730263,27621264.38222436
2007-7,17051644.319904655,1543176.7859430304,10.572061500044864,27656073.377436697
2007-8,17068758.66316733,1544764.2678217909,10.576453045359463,27690882.372649036
2007-9,17085873.006430008,1546351.7497005516,10.580844590674062,27725691.36786138
2007-10,17102987.349692687,1547939.2315793124,10.58523613598866,27760500.363073718
2007-11,17120101.692955364,1549526.713458073,10.58962768130326,27795309.358286057
2007-12,17137216.03621804,1551114.1953368338,10.59401922661786,27830118.3534984
2008-1,17154330.379480716,1552701.6772155946,10.598410771932459,27864927.348710738
2008-2,17168117.518383235,1554104.913428596,10.599998125376171,27898305.42406234
2008-3,17181904.657285757,1555508.1496415976,10.601585478819882,27931683.49941395
2008-4,17195691.796188276,1556911.385854599,10.603172832263592,27965061.574765556
2008-5,17209478.935090795,1558314.6220676007,10.604760185707304,27998439.65011716
2008-6,17223266.073993318,1559717.8582806021,10.606347539151017,28031817.725468762
2008-7,17237053.212895837,1561121.0944936038,10.607934892594727,28065195.80082037
2008-8,17250840.351798356,1562524.3307066052,10.609522246038438,28098573.876171976
2008-9,17264627.49070088,1563927.5669196066,10.61110959948215,28131951.95152358
2008-10,17278414.629603397,1565330.8031326083,10.612696952925862,28165330.026875183
2008-11,17292201.768505916,1566734.0393456097,10.614284306369573,28198708.10222679
2008-12,17305988.90740844,1568137.2755586114,10.615871659813283,28232086.177578397
2009-1,17319776.046310958,1569540.5117716128,10.617459013256996,28265464.25293
2009-2,17362119.352211755,1559051.8340935456,10.617460128807352,28081290.30015672
2009-3,17404462.65811255,1548563.1564154783,10.617461244357708,27897116.347383436
2009-4,17446805.964013346,1538074.478737411,10.617462359908064,27712942.394610155
2009-5,17489149.269914143,1527585.8010593436,10.61746347545842,27528768.441836875
2009-6,17531492.57581494,1517097.1233812764,10.617464591008776,27344594.48906359
2009-7,17573835.881715737,1506608.4457032091,10.61746570655913,27160420.53629031
2009-8,17616179.18761653,1496119.768025142,10.617466822109487,26976246.58351703
2009-9,17658522.493517328,1485631.0903470747,10.617467937659843,26792072.630743746
2009-10,17700865.799418125,1475142.4126690072,10.617469053210199,26607898.677970465
2009-11,17743209.10531892,1464653.73499094,10.617470168760555,26423724.725197185
