,Bahia - PIB - Estadual,Bahia - PIB - Construção Civil,Bahia - PIB - Per Capita,Bahia - PIB - Preços de Mercado
2011-8,148645125.7241972,8680530.694140255,8.768512220145915,125252379.8817441
2011-9,148883413.87246227,8676387.27204073,8.76982645467736,125294819.33214118
2011-10,149121702.02072734,8672243.849941205,8.771140689208808,125337258.78253826
2011-11,149359990.16899237,8668100.42784168,8.772454923740254,125379698.23293534
2011-12,149598278.3172574,8663957.005742155,8.773769158271701,125422137.68333243
2012-1,149836566.46552247,8659813.58364263,8.775083392803147,125464577.1337295
2012-2,150048679.11179334,8655122.310304422,8.775983457439985,125499908.3707834
2012-3,150260791.75806418,8650431.036966212,8.776883522076824,125535239.60783729
2012-4,150472904.40433502,8645739.763628004,8.777783586713662,125570570.84489119
2012-5,150685017.0506059,8641048.490289796,8.7786836513505,125605902.08194509
2012-6,150897129.69687676,8636357.216951588,8.77958371598734,125641233.31899898
2012-7,151109242.3431476,8631665.94361338,8.780483780624177,125676564.55605288
2012-8,151321354.98941845,8626974.67027517,8.781383845261015,125711895.79310678
2012-9,151533467.63568932,8622283.396936962,8.782283909897854,125747227.03016067
2012-10,151745580.2819602,8617592.123598754,8.783183974534692,125782558.26721457
2012-11,151957692.92823103,8612900.850260545,8.78408403917153,125817889.50426847
2012-12,152169805.57450187,8608209.576922337,8.78498410380837,125853220.74132235
2013-1,152381918.22077274,8603518.303584129,8.785884168445207,125888551.97837625
2013-2,152549897.7713368,8595566.58643411,8.787060225059037,125906824.35216597
2013-3,152717877.32190084,8587614.86928409,8.788236281672866,125925096.72595567
2013-4,152885856.8724649,8579663.152134072,8.789412338286695,125943369.09974536
2013-5,153053836.42302898,8571711.434984053,8.790588394900523,125961641.47353508
2013-6,153221815.97359303,8563759.717834033,8.791764451514352,125979913.84732479
2013-7,153389795.52415708,8555808.000684015,8.792940508128181,125998186.22111449
2013-8,153557775.07472113,8547856.283533996,8.79411656474201,126016458.59490418
2013-9,153725754.62528518,8539904.566383976,8.79529262135584,126034730.9686939
2013-10,153893734.17584926,8531952.849233957,8.796468677969667,126053003.34248361
2013-11,154061713.7264133,8524001.132083938,8.797644734583496,126071275.71627331
2013-12,154229693.27697736,8516049.41493392,8.798820791197326,126089548.090063
2014-1,154397672.8275414,8508097.6977839,8.799996847811155,126107820.46385272
2014-2,154517647.24090815,8498278.169476679,8.800570900979874,126113358.14677247
2014-3,154637621.65427488,8488458.641169459,8.801144954148594,126118895.82969223
2014-4,154757596.06764162,8478639.112862237,8.801719007317311,126124433.51261199
2014-5,154877570.48100838,8468819.584555015,8.802293060486031,126129971.19553174
2014-6,154997544.89437512,8459000.056247793,8.80286711365475,126135508.8784515
2014-7,155117519.30774185,8449180.527940571,8.803441166823468,126141046.56137124
2014-8,155237493.7211086,8439360.999633351,8.804015219992188,126146584.244291
2014-9,155357468.13447532,8429541.47132613,8.804589273160907,126152121.92721075
2014-10,155477442.5478421,8419721.943018908,8.805163326329627,126157659.6101305
2014-11,155597416.96120882,8409902.414711688,8.805737379498346,126163197.29305026
2014-12,155717391.37457556,8400082.886404466,8.806311432667064,126168734.97597001
2015-1,155837365.7879423,8390263.358097244,8.806885485835783,126174272.65888977
2015-2,155897040.48887408,8382867.774748561,8.806710337464231,126164468.9726141
2015-3,155956715.18980587,8375472.191399877,8.80653518909268,126154665.28633842
2015-4,156016389.89073765,8368076.608051194,8.806360040721128,126144861.60006276
2015-5,156076064.59166944,8360681.02470251,8.806184892349574,126135057.91378708
2015-6,156135739.29260123,8353285.441353827,8.806009743978022,126125254.2275114
2015-7,156195413.99353302,8345889.858005144,8.80583459560647,126115450.54123573
2015-8,156255088.69446477,8338494.27465646,8.805659447234918,126105646.85496005
2015-9,156314763.39539656,8331098.691307777,8.805484298863366,126095843.16868438
2015-10,156374438.09632835,8323703.107959093,8.805309150491812,126086039.4824087
2015-11,156434112.79726014,8316307.5246104095,8.80513400212026,126076235.79613304
2015-12,156493787.49819192,8308911.9412617255,8.804958853748708,126066432.10985737
2016-1,156553462.1991237,8301516.357913042,8.804783705377156,126056628.42358169
2016-2,156564997.66382954,8297181.348912768,8.805008946108128,126048626.3240875
2016-3,156576533.12853533,8292846.339912495,8.8052341868391,126040624.22459333
2016-4,156588068.59324116,8288511.33091222,8.80545942757007,126032622.12509915
2016-5,156599604.05794698,8284176.321911947,8.80568466830104,126024620.02560496
2016-6,156611139.52265278,8279841.3129116725,8.805909909032012,126016617.92611077
2016-7,156622674.9873586,8275506.303911399,8.806135149762984,126008615.8266166
2016-8,156634210.45206442,8271171.294911125,8.806360390493955,126000613.72712243
2016-9,156645745.91677022,8266836.28591085,8.806585631224927,125992611.62762824
2016-10,156657281.38147604,8262501.276910577,8.806810871955896,125984609.52813405
2016-11,156668816.84618187,8258166.267910303,8.807036112686868,125976607.42863987
2016-12,156680352.31088766,8253831.258910029,8.80726135341784,125968605.3291457
2017-1,156691887.7755935,8249496.249909755,8.807486594148811,125960603.22965151
2017-2,156661618.26422885,8248315.514566304,8.807625240639457,125946676.85202423
2017-3,156631348.75286418,8247134.7792228535,8.8077638871301,125932750.47439694
2017-4,156601079.24149954,8245954.043879404,8.807902533620746,125918824.09676966
2017-5,156570809.7301349,8244773.308535953,8.808041180111392,125904897.71914238
2017-6,156540540.21877027,8243592.573192502,8.808179826602037,125890971.3415151
2017-7,156510270.70740563,8242411.837849053,8.808318473092683,125877044.96388781
2017-8,156480001.19604096,8241231.102505602,8.808457119583327,125863118.58626054
2017-9,156449731.68467632,8240050.367162151,8.808595766073973,125849192.20863326
2017-10,156419462.17331168,8238869.631818701,8.808734412564618,125835265.83100598
2017-11,156389192.661947,8237688.89647525,8.808873059055262,125821339.45337869
2017-12,156358923.15058237,8236508.1611318,8.809011705545908,125807413.07575141
2018-1,156328653.63921773,8235327.4257883495,8.809150352036553,125793486.69812413
2018-2,156230418.9433486,8236041.653649644,8.807216543794667,125765834.40436654
2018-3,156132184.24747947,8236755.8815109385,8.80528273555278,125738182.11060894
2018-4,156033949.55161035,8237470.109372233,8.803348927310893,125710529.81685135
2018-5,155935714.8557412,8238184.337233528,8.801415119069004,125682877.52309376
2018-6,155837480.15987206,8238898.565094822,8.799481310827117,125655225.22933616
2018-7,155739245.46400294,8239612.792956117,8.79754750258523,125627572.93557857
2018-8,155641010.76813382,8240327.020817411,8.795613694343343,125599920.64182098
2018-9,155542776.07226467,8241041.248678706,8.793679886101456,125572268.34806338
2018-10,155444541.37639552,8241755.47654,8.791746077859568,125544616.05430579
2018-11,155346306.6805264,8242469.704401295,8.78981226961768,125516963.7605482
2018-12,155248071.9846573,8243183.932262589,8.787878461375794,125489311.4667906
2019-1,155149837.28878814,8243898.160123884,8.785944653133907,125461659.17303301
2019-2,155001074.6862591,8245888.426885214,8.784210613303486,125434045.14484338
2019-3,154852312.08373007,8247878.693646543,8.782476573473064,125406431.11665374
2019-4,154703549.48120102,8249868.960407872,8.780742533642641,125378817.08846411
2019-5,154554786.87867197,8251859.227169202,8.77900849381222,125351203.06027448
2019-6,154406024.27614295,8253849.493930532,8.7772744539818,125323589.03208484
2019-7,154257261.6736139,8255839.760691861,8.775540414151378,125295975.00389521
2019-8,154108499.07108486,8257830.02745319,8.773806374320955,125268360.97570558
2019-9,153959736.46855584,8259820.29421452,8.772072334490534,125240746.94751593
2019-10,153810973.8660268,8261810.56097585,8.770338294660114,125213132.9193263
2019-11,153662211.26349774,8263800.827737179,8.768604254829691,125185518.89113668
2019-12,153513448.66096872,8265791.094498508,8.766870214999269,125157904.86294703
2020-1,153364686.05843967,8267781.361259838,8.765136175168848,125130290.8347574
2020-2,153139544.1451324,8272501.867552404,8.763559196702964,125103446.37576835
2020-3,152914402.23182508,8277222.37384497,8.761982218237078,125076601.91677931
2020-4,152689260.3185178,8281942.880137537,8.760405239771192,125049757.45779026
2020-5,152464118.4052105,8286663.386430103,8.758828261305307,125022912.9988012
2020-6,152238976.49190322,8291383.89272267,8.757251282839423,124996068.53981216
2020-7,152013834.57859594,8296104.399015237,8.755674304373537,124969224.08082311
2020-8,151788692.66528863,8300824.905307802,8.75409732590765,124942379.62183405
2020-9,151563550.75198135,8305545.411600369,8.752520347441767,124915535.16284502
2020-10,151338408.83867404,8310265.917892936,8.750943368975882,124888690.70385596
2020-11,151113266.92536676,8314986.424185501,8.749366390509996,124861846.24486691
2020-12,150888125.01205945,8319706.930478068,8.74778941204411,124835001.78587787
2021-1,150662983.09875217,8324427.436770635,8.746212433578226,124808157.32688881
2021-2,150389581.27963108,8329950.043497518,8.744259355793696,124773948.12483904
2021-3,150116179.46051002,8335472.6502244,8.742306278009167,124739738.92278925
2021-4,149842777.64138892,8340995.256951282,8.740353200224636,124705529.72073947
2021-5,149569375.82226783,8346517.863678165,8.738400122440106,124671320.51868969
2021-6,149295974.00314674,8352040.470405048,8.736447044655577,124637111.31663992
2021-7,149022572.18402565,8357563.07713193,8.734493966871046,124602902.11459014
2021-8,148749170.36490458,8363085.683858812,8.732540889086517,124568692.91254035
2021-9,148475768.5457835,8368608.290585695,8.730587811301987,124534483.71049057
2021-10,148202366.7266624,8374130.897312578,8.728634733517458,124500274.5084408
2021-11,147928964.90754133,8379653.50403946,8.726681655732929,124466065.306391
2021-12,147655563.08842024,8385176.110766342,8.724728577948397,124431856.10434122
2022-1,147382161.26929915,8390698.717493225,8.722775500163868,124397646.90229145
