,Paraíba - PIB - Estadual,Paraíba - PIB - Construção Civil,Paraíba - PIB - Per Capita,Paraíba - PIB - Preços de Mercado
2009-9,32825491.017508432,1747117.8149580846,7.417723760622082,28016045.720395397
2009-10,32891358.667656448,1748295.1110877611,7.420289823608943,28030542.042244397
2009-11,32957226.31780446,1749472.4072174379,7.422855886595804,28045038.364093397
2009-12,33023093.967952475,1750649.7033471144,7.425421949582666,28059534.685942397
2010-1,33088961.618100487,1751826.999476791,7.427988012569527,28074031.007791396
2010-2,33151589.380432,1752157.4506708854,7.4305283761133145,28087567.3946174
2010-3,33214217.14276351,1752487.9018649796,7.433068739657103,28101103.78144341
2010-4,33276844.905095022,1752818.353059074,7.435609103200891,28114640.168269414
2010-5,33339472.667426534,1753148.8042531684,7.438149466744679,28128176.555095423
2010-6,33402100.429758046,1753479.255447263,7.440689830288467,28141712.941921428
2010-7,33464728.192089558,1753809.7066413572,7.443230193832255,28155249.328747436
2010-8,33527355.95442107,1754140.1578354514,7.445770557376043,28168785.71557344
2010-9,33589983.71675258,1754470.609029546,7.448310920919831,28182322.102399446
2010-10,33652611.47908409,1754801.0602236404,7.450851284463619,28195858.489225455
2010-11,33715239.241415605,1755131.5114177347,7.453391648007407,28209394.87605146
2010-12,33777867.00374712,1755461.962611829,7.455932011551195,28222931.262877468
2011-1,33840494.76607863,1755792.4138059234,7.458472375094983,28236467.649703473
2011-2,33898124.95596501,1756089.2364938895,7.460453302800761,28248388.64957559
2011-3,33955755.14585139,1756386.0591818555,7.462434230506538,28260309.64944771
2011-4,34013385.33573777,1756682.8818698213,7.464415158212316,28272230.64931983
2011-5,34071015.525624156,1756979.7045577874,7.466396085918094,28284151.64919195
2011-6,34128645.71551054,1757276.5272457534,7.468377013623871,28296072.649064068
2011-7,34186275.90539692,1757573.3499337195,7.470357941329649,28307993.64893619
2011-8,34243906.0952833,1757870.1726216855,7.472338869035427,28319914.648808308
2011-9,34301536.28516968,1758166.9953096516,7.474319796741205,28331835.648680426
2011-10,34359166.47505607,1758463.8179976176,7.476300724446983,28343756.648552544
2011-11,34416796.66494244,1758760.6406855835,7.47828165215276,28355677.648424663
2011-12,34474426.85482883,1759057.4633735495,7.480262579858538,28367598.648296785
2012-1,34532057.04471521,1759354.2860615156,7.482243507564315,28379519.648168903
2012-2,34579987.28827893,1758425.6558135462,7.48308423014148,28386669.80271673
2012-3,34627917.53184265,1757497.025565577,7.483924952718644,28393819.957264557
2012-4,34675847.77540637,1756568.3953176076,7.484765675295809,28400970.111812383
2012-5,34723778.01897009,1755639.7650696381,7.485606397872973,28408120.26636021
2012-6,34771708.262533806,1754711.134821669,7.486447120450138,28415270.420908034
2012-7,34819638.506097525,1753782.5045736996,7.487287843027302,28422420.57545586
2012-8,34867568.749661244,1752853.8743257301,7.488128565604467,28429570.73000369
2012-9,34915498.99322496,1751925.244077761,7.488969288181631,28436720.884551514
2012-10,34963429.23678868,1750996.6138297915,7.489810010758796,28443871.03909934
2012-11,35011359.4803524,1750067.9835818221,7.49065073333596,28451021.19364717
2012-12,35059289.72391612,1749139.353333853,7.491491455913125,28458171.348194994
2013-1,35107219.96747984,1748210.7230858835,7.492332178490289,28465321.50274282
2013-2,35147565.683934964,1747580.088013818,7.493255145480999,28470661.56605224
2013-3,35187911.40039008,1746949.4529417523,7.49417811247171,28476001.629361663
2013-4,35228257.116845205,1746318.8178696868,7.49510107946242,28481341.692671083
2013-5,35268602.83330032,1745688.182797621,7.4960240464531305,28486681.755980507
2013-6,35308948.54975545,1745057.5477255555,7.49694701344384,28492021.819289926
2013-7,35349294.26621057,1744426.91265349,7.497869980434551,28497361.882599346
2013-8,35389639.98266569,1743796.2775814242,7.498792947425261,28502701.94590877
2013-9,35429985.69912081,1743165.6425093587,7.499715914415971,28508042.00921819
2013-10,35470331.41557593,1742535.007437293,7.500638881406681,28513382.072527613
2013-11,35510677.13203105,1741904.3723652274,7.501561848397391,28518722.135837033
2013-12,35551022.84848617,1741273.7372931617,7.502484815388102,28524062.199146457
2014-1,35591368.564941294,1740643.1022210962,7.503407782378812,28529402.262455877
2014-2,35615766.76776641,1739426.3299038892,7.5028928348727835,28528255.796978455
2014-3,35640164.97059153,1738209.5575866823,7.502377887366754,28527109.331501033
2014-4,35664563.173416644,1736992.7852694753,7.501862939860725,28525962.86602361
2014-5,35688961.376241766,1735776.0129522684,7.501347992354697,28524816.40054619
2014-6,35713359.57906688,1734559.2406350614,7.500833044848669,28523669.935068768
2014-7,35737757.781892,1733342.4683178545,7.50031809734264,28522523.46959135
2014-8,35762155.984717116,1732125.6960006475,7.499803149836611,28521377.004113927
2014-9,35786554.18754223,1730908.9236834405,7.4992882023305825,28520230.538636506
2014-10,35810952.39036735,1729692.1513662336,7.498773254824554,28519084.073159084
2014-11,35835350.593192466,1728475.3790490266,7.498258307318525,28517937.60768166
2014-12,35859748.79601759,1727258.6067318197,7.497743359812496,28516791.14220424
2015-1,35884146.9988427,1726041.8344146127,7.497228412306468,28515644.676726818
2015-2,35898206.19324331,1724911.7216264305,7.496733901044445,28513660.052993923
2015-3,35912265.38764392,1723781.608838248,7.4962393897824215,28511675.42926103
2015-4,35926324.58204452,1722651.4960500658,7.495744878520399,28509690.805528134
2015-5,35940383.77644513,1721521.3832618836,7.495250367258376,28507706.181795243
2015-6,35954442.97084574,1720391.2704737012,7.4947558559963525,28505721.55806235
2015-7,35968502.16524634,1719261.157685519,7.49426134473433,28503736.934329454
2015-8,35982561.359646946,1718131.0448973367,7.493766833472307,28501752.31059656
2015-9,35996620.554047555,1717000.9321091543,7.4932723222102835,28499767.686863665
2015-10,36010679.74844816,1715870.819320972,7.492777810948261,28497783.063130774
2015-11,36024738.94284877,1714740.7065327899,7.492283299686238,28495798.43939788
2015-12,36038798.13724937,1713610.5937446074,7.4917887884242145,28493813.815664984
2016-1,36052857.33164998,1712480.4809564252,7.491294277162192,28491829.19193209
2016-2,36056144.86812404,1712257.860559362,7.491222348476067,28490541.593505964
2016-3,36059432.40459809,1712035.2401622985,7.491150419789943,28489253.995079834
2016-4,36062719.94107214,1711812.6197652353,7.491078491103818,28487966.396653708
2016-5,36066007.4775462,1711589.9993681721,7.491006562417693,28486678.798227582
2016-6,36069295.01402026,1711367.378971109,7.490934633731569,28485391.199801452
2016-7,36072582.55049431,1711144.7585740457,7.490862705045444,28484103.601375327
2016-8,36075870.08696836,1710922.1381769823,7.490790776359319,28482816.0029492
2016-9,36079157.62344242,1710699.517779919,7.490718847673194,28481528.40452307
2016-10,36082445.159916475,1710476.8973828559,7.4906469189870695,28480240.806096945
2016-11,36085732.696390525,1710254.2769857924,7.490574990300945,28478953.20767082
2016-12,36089020.23286458,1710031.6565887292,7.49050306161482,28477665.60924469
2017-1,36092307.76933864,1709809.036191666,7.490431132928696,28476378.010818563
2017-2,36082934.59965485,1709657.9233971997,7.489812425466969,28471850.579405654
2017-3,36073561.42997106,1709506.8106027334,7.489193718005242,28467323.14799275
2017-4,36064188.26028728,1709355.6978082673,7.488575010543515,28462795.71657984
2017-5,36054815.090603486,1709204.585013801,7.487956303081789,28458268.285166934
2017-6,36045441.9209197,1709053.4722193347,7.487337595620062,28453740.853754025
2017-7,36036068.75123592,1708902.3594248686,7.486718888158335,28449213.422341116
2017-8,36026695.581552126,1708751.2466304023,7.486100180696608,28444685.99092821
2017-9,36017322.41186834,1708600.133835936,7.4854814732348816,28440158.5595153
2017-10,36007949.24218455,1708449.0210414696,7.484862765773155,28435631.128102396
2017-11,35998576.072500765,1708297.9082470033,7.484244058311428,28431103.696689487
2017-12,35989202.90281697,1708146.7954525372,7.483625350849701,28426576.26527658
2018-1,35979829.73313319,1707995.682658071,7.4830066433879745,28422048.833863672
2018-2,35959888.853300795,1708257.524391187,7.481952835883289,28417190.93203493
2018-3,35939947.9734684,1708519.366124303,7.480899028378603,28412333.030206185
2018-4,35920007.093636006,1708781.207857419,7.479845220873918,28407475.12837744
2018-5,35900066.21380362,1709043.049590535,7.478791413369233,28402617.226548698
2018-6,35880125.333971225,1709304.8913236512,7.477737605864548,28397759.324719954
2018-7,35860184.45413883,1709566.7330567671,7.476683798359863,28392901.422891214
2018-8,35840243.574306436,1709828.574789883,7.475629990855177,28388043.52106247
2018-9,35820302.69447404,1710090.4165229993,7.474576183350492,28383185.619233727
2018-10,35800361.814641654,1710352.2582561153,7.473522375845807,28378327.717404984
2018-11,35780420.93480926,1710614.0999892312,7.472468568341121,28373469.81557624
2018-12,35760480.054976866,1710875.9417223474,7.471414760836436,28368611.913747497
2019-1,35740539.17514447,1711137.7834554634,7.470360953331751,28363754.011918753
2019-2,35703848.40726075,1711281.0540565199,7.468758234923423,28355833.790931735
2019-3,35667157.63937703,1711424.3246575766,7.4671555165150965,28347913.569944717
2019-4,35630466.87149331,1711567.5952586331,7.465552798106769,28339993.348957695
2019-5,35593776.10360959,1711710.8658596897,7.463950079698441,28332073.127970677
2019-6,35557085.33572587,1711854.1364607462,7.4623473612901146,28324152.90698366
2019-7,35520394.567842156,1711997.4070618027,7.460744642881787,28316232.68599664
2019-8,35483703.79995843,1712140.6776628594,7.459141924473459,28308312.465009622
2019-9,35447013.03207471,1712283.948263916,7.457539206065133,28300392.244022604
2019-10,35410322.264190994,1712427.2188649725,7.455936487656805,28292472.023035586
2019-11,35373631.49630727,1712570.4894660292,7.4543337692484775,28284551.802048564
2019-12,35336940.72842355,1712713.7600670857,7.452731050840151,28276631.581061546
2020-1,35300249.96053983,1712857.0306681423,7.451128332431823,28268711.360074528
2020-2,35247203.630936526,1712498.5208022562,7.44995947965545,28261508.882518828
2020-3,35194157.30133321,1712140.0109363701,7.4487906268790764,28254306.40496313
2020-4,35141110.971729904,1711781.5010704838,7.4476217741027035,28247103.92740743
2020-5,35088064.64212659,1711422.9912045978,7.44645292132633,28239901.44985173
2020-6,35035018.31252328,1711064.4813387117,7.445284068549957,28232698.97229603
2020-7,34981971.982919976,1710705.9714728254,7.444115215773584,28225496.49474033
2020-8,34928925.65331666,1710347.4616069393,7.44294636299721,28218294.017184626
2020-9,34875879.323713355,1709988.9517410533,7.441777510220837,28211091.539628927
2020-10,34822832.99411004,1709630.4418751672,7.440608657444463,28203889.062073227
2020-11,34769786.66450673,1709271.9320092811,7.4394398046680905,28196686.584517527
2020-12,34716740.33490342,1708913.4221433948,7.438270951891717,28189484.106961828
2021-1,34663694.00530011,1708554.9122775088,7.437102099115344,28182281.629406128
2021-2,34599234.02202012,1708161.623486754,7.435566402555283,28172982.907225456
2021-3,34534774.03874012,1707768.3346959995,7.434030705995222,28163684.18504478
2021-4,34470314.055460125,1707375.0459052448,7.432495009435161,28154385.46286411
2021-5,34405854.07218013,1706981.75711449,7.430959312875101,28145086.740683436
2021-6,34341394.088900134,1706588.4683237353,7.42942361631504,28135788.018502764
2021-7,34276934.10562014,1706195.1795329805,7.42788791975498,28126489.296322092
2021-8,34212474.12234014,1705801.890742226,7.426352223194919,28117190.574141417
2021-9,34148014.13906015,1705408.6019514713,7.424816526634858,28107891.851960745
2021-10,34083554.15578015,1705015.3131607166,7.423280830074797,28098593.129780073
2021-11,34019094.172500156,1704622.024369962,7.421745133514737,28089294.407599397
2021-12,33954634.18922016,1704228.7355792073,7.420209436954676,28079995.685418725
2022-1,33890174.205940165,1703835.4467884526,7.418673740394615,28070696.963238053
