Ano,EMBI + Risco-Brasil
2019-6,258.6848612508291
2019-7,257.61365642366474
2019-8,256.8610697803875
2019-9,257.5360490922842
2019-10,259.99511086292523
2019-11,262.84344086418434
2019-12,265.15919818250103
2020-1,266.4676439615855
2020-2,267.3818721659221
2020-3,272.3662874258806
2020-4,285.60743162644593
2020-5,297.7543699336868
2020-6,306.58744495488475
2020-7,314.01086690693404
2020-8,318.82419224831403
2020-9,323.0581151004774
2020-10,327.5285110146561
2020-11,328.7989472484239
2020-12,319.45061692415373
2021-1,309.15819239982545
2021-2,302.37819969809163
2021-3,297.8512733944605
2021-4,295.0457400155327
2021-5,293.1598961460527
2021-6,290.6511602940628
2021-7,290.1607440001526
2021-8,292.97645422998033
2021-9,296.7051324492667
2021-10,300.20374036867594
2021-11,304.05144350613324
2021-12,306.79473180931205
2022-1,309.20079597288867
2022-2,311.80460650893633
2022-3,313.700877148206
2022-4,312.1876758436969
2022-5,309.8747786381927
2022-6,307.68345181491486
2022-7,305.96393845022203
2022-8,301.46796022001405
2022-9,295.3263984940794
2022-10,289.8255915727403
2022-11,284.05637077072885
2022-12,278.6497944152082
2023-1,274.4992820670937
2023-2,270.43856907607335
2023-3,265.8364071809992
2023-4,259.8005732222789
2023-5,256.75805286046955
2023-6,254.15572416785716
2023-7,250.28126659154958
2023-8,245.3018801621551
2023-9,240.19467953914446
2023-10,235.7113747157957
