data,Mato_Grosso - PIB - Per Capita,Mato_Grosso - PIB - Preços de Mercado,Mato_Grosso - PIB - Estadual,Mato_Grosso - PIB - Construção Civil,Mato_Grosso - População,Mato_Grosso - INCC (%),Mato_Grosso - IPCA - Variação mensal durante o Plano Real (%),Mato_Grosso - IGP-DI,Mato_Grosso - Taxa Selic (%),Mato_Grosso - IDH - Longevidade,Mato_Grosso - IDH - Renda,Mato_Grosso - IDH - Educação,Mato_Grosso - NFSP - Fluxo Mensal (Milhões de reais),Mato_Grosso - Estoque liquido de capital fixo - (R$),Mato_Grosso - Desemprego,Mato_Grosso - Produção de Cimento (t),Mato_Grosso - Valor,Mato_Grosso - Consumo de Cimento (t)
2006-01-01,3600134.175185725,2502826.688008117,1.284260537925,1708582.24507087,2803274.0,0.37,5.69,0.07,0.06651395455,0.74,0.689,0.426,0.25,6344077.42160595,8.6880499528,509889.0,0.24,55489.0
2006-02-01,3600134.175185725,2502826.688008117,1.284260537925,1708582.24507087,2803274.0,0.34,0.59,0.72,0.06452986364,0.74,0.689,0.426,0.27,6428173.06422105,8.6880499528,43616.0,0.24,46637.0
2006-03-01,3600134.175185725,2502826.688008117,1.284260537925,1708582.24507087,2803274.0,0.19,1.0,-0.06,0.06327316667,0.74,0.689,0.426,0.37,6428173.06422105,8.6880499528,51634.0,0.24,58270.0
2006-04-01,3600134.175185725,2502826.688008117,1.284260537925,1708582.24507087,2803274.0,0.2,1.44,-0.45,0.06142243478,0.74,0.689,0.426,0.29,6428173.06422105,8.6880499528,130988.0,0.22,41169.0
2006-05-01,3600134.175185725,2502826.688008117,1.284260537925,1708582.24507087,2803274.0,0.36,1.65,0.02,0.05957944444,0.74,0.689,0.426,0.12,6428173.06422105,8.6880499528,123506.0,0.22,58919.0
2006-06-01,3600134.175185725,2502826.688008117,1.284260537925,1708582.24507087,2803274.0,1.32,1.75,0.38,0.05789063636,0.74,0.689,0.426,0.13,6428173.06422105,8.6880499528,46865.0,0.23,60095.0
2006-07-01,3600134.175185725,2502826.688008117,1.284260537925,1708582.24507087,2803274.0,0.9,1.54,0.67,0.05608404762,0.74,0.689,0.426,0.21,6428173.06422105,8.6880499528,790971.0,0.25,61492.0
2006-08-01,3600134.175185725,2502826.688008117,1.284260537925,1708582.24507087,2803274.0,0.47,1.73,0.17,0.05540461905,0.74,0.689,0.426,0.33,6428173.06422105,8.6880499528,150504.0,0.23,71167.0
2006-09-01,3600134.175185725,2502826.688008117,1.284260537925,1708582.24507087,2803274.0,0.24,1.78,0.41,0.05429469565,0.74,0.689,0.426,0.44,6428173.06422105,8.6880499528,44487.0,0.23,62628.0
2006-10-01,3600134.175185725,2502826.688008117,1.284260537925,1708582.24507087,2803274.0,0.11,2.0,0.24,0.0526018,0.74,0.689,0.426,0.6,6428173.06422105,8.6880499528,33695.0,0.24,68882.0
2006-11-01,3600134.175185725,2502826.688008117,1.284260537925,1708582.24507087,2803274.0,0.21,2.33,0.81,0.05183728571,0.74,0.689,0.426,0.57,6428173.06422105,8.6880499528,-1.0,0.24,65269.0
2006-12-01,3600134.175185725,2502826.688008117,1.284260537925,1708582.24507087,2803274.0,0.23,2.65,0.57,0.0507845,0.74,0.689,0.426,0.59,6428173.06422105,8.6880499528,19371.0,0.25,51531.0
2007-01-01,2945035.637591558,2186096.215642025,1.0308143746583334,1502495.78866404,2856999.0,0.36,3.14,0.26,0.049164,0.74,0.689,0.426,0.69,6428173.06422105,9.0966653626,582896.0,0.25,61532.0
2007-02-01,2945035.637591558,2186096.215642025,1.0308143746583334,1502495.78866404,2856999.0,0.45,0.44,0.43,0.04896572727,0.74,0.689,0.426,0.68,6529451.68540568,9.0966653626,35670.0,0.27,44927.0
2007-03-01,2945035.637591558,2186096.215642025,1.0308143746583334,1502495.78866404,2856999.0,0.21,0.88,0.23,0.04827277778,0.74,0.689,0.426,0.6,6529451.68540568,9.0966653626,52052.0,0.26,62172.0
2007-04-01,2945035.637591558,2186096.215642025,1.0308143746583334,1502495.78866404,2856999.0,0.27,1.26,0.22,0.04758977273,0.74,0.689,0.426,0.57,6529451.68540568,9.0966653626,156911.0,0.26,62588.0
2007-05-01,2945035.637591558,2186096.215642025,1.0308143746583334,1502495.78866404,2856999.0,0.46,1.51,0.14,0.04703045,0.74,0.689,0.426,0.54,6529451.68540568,9.0966653626,193455.0,0.26,73139.0
2007-06-01,2945035.637591558,2186096.215642025,1.0308143746583334,1502495.78866404,2856999.0,1.15,1.79,0.16,0.046503,0.74,0.689,0.426,0.48,6529451.68540568,9.0966653626,52730.0,0.26,76429.0
2007-07-01,2945035.637591558,2186096.215642025,1.0308143746583334,1502495.78866404,2856999.0,0.92,2.08,0.26,0.0450878,0.74,0.689,0.426,0.39,6529451.68540568,9.0966653626,858742.0,0.26,73046.0
2007-08-01,2945035.637591558,2186096.215642025,1.0308143746583334,1502495.78866404,2856999.0,0.31,2.32,0.37,0.04400663636,0.74,0.689,0.426,0.3,6529451.68540568,9.0966653626,143415.0,0.26,88404.0
2007-09-01,2945035.637591558,2186096.215642025,1.0308143746583334,1502495.78866404,2856999.0,0.26,2.8,1.39,0.04295447826,0.74,0.689,0.426,0.28,6529451.68540568,9.0966653626,51824.0,0.26,74194.0
2007-10-01,2945035.637591558,2186096.215642025,1.0308143746583334,1502495.78866404,2856999.0,0.51,2.99,1.17,0.04220568421,0.74,0.689,0.426,0.4,6529451.68540568,9.0966653626,31925.0,0.35,88411.0
2007-11-01,2945035.637591558,2186096.215642025,1.0308143746583334,1502495.78866404,2856999.0,0.51,3.3,0.75,0.04206336364,0.74,0.689,0.426,0.5,6529451.68540568,9.0966653626,-1.0,0.39,73646.0
2007-12-01,2945035.637591558,2186096.215642025,1.0308143746583334,1502495.78866404,2856999.0,0.36,3.69,1.05,0.042065,0.74,0.689,0.426,0.52,6529451.68540568,9.0966653626,20467.0,0.29,62413.0
2008-01-01,3486729.3655989417,2754849.630228183,1.1986159210666667,1778575.95743415,2854642.0,0.59,4.46,1.47,0.042065,0.74,0.689,0.426,0.47,6529451.68540568,8.4197987734,685512.0,0.29,74185.0
2008-02-01,3486729.3655989417,2754849.630228183,1.1986159210666667,1778575.95743415,2854642.0,0.38,0.54,0.99,0.04205845455,0.74,0.689,0.426,0.63,6647965.94362564,8.4197987734,60050.0,0.3,66208.0
2008-03-01,3486729.3655989417,2754849.630228183,1.1986159210666667,1778575.95743415,2854642.0,0.4,1.03,0.38,0.04206310526,0.74,0.689,0.426,0.65,6647965.94362564,8.4197987734,60570.0,0.32,68859.0
2008-04-01,3486729.3655989417,2754849.630228183,1.1986159210666667,1778575.95743415,2854642.0,0.66,1.52,0.7,0.0420614,0.74,0.689,0.426,0.7,6647965.94362564,8.4197987734,128418.0,0.304,78322.0
2008-05-01,3486729.3655989417,2754849.630228183,1.1986159210666667,1778575.95743415,2854642.0,0.87,2.08,1.12,0.04274185714,0.74,0.689,0.426,0.83,6647965.94362564,8.4197987734,223167.0,0.315,74280.0
2008-06-01,3486729.3655989417,2754849.630228183,1.1986159210666667,1778575.95743415,2854642.0,2.02,2.88,1.88,0.0436576,0.74,0.689,0.426,0.93,6647965.94362564,8.4197987734,64358.0,0.37,84655.0
2008-07-01,3486729.3655989417,2754849.630228183,1.1986159210666667,1778575.95743415,2854642.0,1.92,3.64,1.89,0.04529861905,0.74,0.689,0.426,1.14,6647965.94362564,8.4197987734,969681.0,0.42,103456.0
2008-08-01,3486729.3655989417,2754849.630228183,1.1986159210666667,1778575.95743415,2854642.0,1.46,4.19,1.12,0.04627117391,0.74,0.689,0.426,1.33,6647965.94362564,8.4197987734,167048.0,0.44,90203.0
2008-09-01,3486729.3655989417,2754849.630228183,1.1986159210666667,1778575.95743415,2854642.0,1.18,4.48,-0.38,0.04822657143,0.74,0.689,0.426,1.42,6647965.94362564,8.4197987734,80661.0,0.44,97005.0
2008-10-01,3486729.3655989417,2754849.630228183,1.1986159210666667,1778575.95743415,2854642.0,0.95,4.76,0.36,0.04987840909,0.74,0.689,0.426,1.23,6647965.94362564,8.4197987734,42637.0,0.4549,102567.0
2008-11-01,3486729.3655989417,2754849.630228183,1.1986159210666667,1778575.95743415,2854642.0,0.77,5.23,1.09,0.05083973913,0.74,0.689,0.426,1.22,6647965.94362564,8.4197987734,-1.0,0.458,82796.0
2008-12-01,3486729.3655989417,2754849.630228183,1.1986159210666667,1778575.95743415,2854642.0,0.5,5.61,0.07,0.050753,0.74,0.689,0.426,1.24,6647965.94362564,8.4197987734,40583.0,0.5,72421.0
2009-01-01,4186488.5867990665,3598096.8320063,1.4154373487833334,1973518.72928623,2957732.0,0.17,5.9,-0.44,0.050823,0.74,0.689,0.426,1.13,6647965.94362564,6.221740793,746905.0,0.5,76018.0
2009-02-01,4186488.5867990665,3598096.8320063,1.4154373487833334,1973518.72928623,2957732.0,0.33,0.48,0.01,0.04964833333,0.74,0.689,0.426,0.95,6773699.30541316,6.221740793,28244.0,0.46,74738.0
