data,São_Paulo - PIB - Per Capita,São_Paulo - PIB - Preços de Mercado,São_Paulo - PIB - Estadual,São_Paulo - PIB - Construção Civil,São_Paulo - População,São_Paulo - INCC (%),São_Paulo - IPCA - Variação mensal durante o Plano Real (%),São_Paulo - IGP-DI,São_Paulo - Taxa Selic (%),São_Paulo - IDH - Longevidade,São_Paulo - IDH - Renda,São_Paulo - IDH - Educação,São_Paulo - NFSP - Fluxo Mensal (Milhões de reais),São_Paulo - Estoque liquido de capital fixo - (R$),São_Paulo - Desemprego,São_Paulo - Produção de Cimento (t),São_Paulo - Valor,São_Paulo - Consumo de Cimento (t)
2003-11-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,0.65,8.37,0.44,0.07083917391,0.786,0.756,0.581,2.65,6172460.00795063,11.8193510303,-1.0,0.35,766030.0
2003-12-01,68197896.41244374,35898432.76930633,1.7863260853,51114718.3534892,38177742.0,1.04,8.74,0.48,0.0667516,0.786,0.756,0.581,2.36,6172460.00795063,11.8193510303,159272.0,0.35,711279.0
2004-01-01,68384212.554145,41068782.571532,1.7666084693333337,37944874.1253312,38709320.0,0.16,9.3,0.6,0.062015,0.786,0.756,0.581,1.57,6172460.00795063,12.596527291,-1.0,0.35,706730.927
2004-02-01,68384212.554145,41068782.571532,1.7666084693333337,37944874.1253312,38709320.0,0.33,0.76,0.8,0.0599982381,0.786,0.756,0.581,1.43,6261937.06181048,12.596527291,-1.0,0.35,697361.355
2004-03-01,68384212.554145,41068782.571532,1.7666084693333337,37944874.1253312,38709320.0,1.0,1.37,1.08,0.05993777778,0.786,0.756,0.581,1.27,6261937.06181048,12.596527291,39939.0,0.35,859304.048
2004-04-01,68384212.554145,41068782.571532,1.7666084693333337,37944874.1253312,38709320.0,1.16,1.85,0.93,0.05956991304,0.786,0.756,0.581,1.24,6261937.06181048,12.596527291,195532.0,0.35,762222.172
2004-05-01,68384212.554145,41068782.571532,1.7666084693333337,37944874.1253312,38709320.0,0.59,2.23,1.15,0.0587633,0.786,0.756,0.581,1.21,6261937.06181048,12.596527291,58810.0,0.36,763920.0
2004-06-01,68384212.554145,41068782.571532,1.7666084693333337,37944874.1253312,38709320.0,1.83,2.75,1.46,0.0581277619,0.786,0.756,0.581,1.35,6261937.06181048,12.596527291,46052.0,0.35,778743.089
2004-07-01,68384212.554145,41068782.571532,1.7666084693333337,37944874.1253312,38709320.0,0.7,3.48,1.29,0.05822585714,0.786,0.756,0.581,1.59,6261937.06181048,12.596527291,331960.0,0.35,776245.251
2004-08-01,68384212.554145,41068782.571532,1.7666084693333337,37944874.1253312,38709320.0,1.12,4.42,1.14,0.05813868182,0.786,0.756,0.581,1.72,6261937.06181048,12.596527291,51054.0,0.3518,827480.0
2004-09-01,68384212.554145,41068782.571532,1.7666084693333337,37944874.1253312,38709320.0,0.81,5.14,1.31,0.05843936364,0.786,0.756,0.581,1.83,6261937.06181048,12.596527291,25970.0,0.3514,802352.0
2004-10-01,68384212.554145,41068782.571532,1.7666084693333337,37944874.1253312,38709320.0,0.58,5.49,0.48,0.05923480952,0.786,0.756,0.581,1.87,6261937.06181048,12.596527291,129746.0,0.3547999999999999,718557.0
2004-11-01,68384212.554145,41068782.571532,1.7666084693333337,37944874.1253312,38709320.0,1.19,5.95,0.53,0.06031435,0.786,0.756,0.581,1.76,6261937.06181048,12.596527291,-1.0,0.352,738600.0
2004-12-01,68384212.554145,41068782.571532,1.7666084693333337,37944874.1253312,38709320.0,0.71,6.68,0.82,0.0621806,0.786,0.756,0.581,1.71,6261937.06181048,12.596527291,157761.0,0.352,716803.0
2005-01-01,69465396.53643908,44952110.07796817,1.74425617915,38444438.1536385,39825226.0,0.51,7.6,0.52,0.06401773913,0.786,0.756,0.581,1.74,6261937.06181048,11.5109592635,-1.0,0.3474,656269.0
2005-02-01,69465396.53643908,44952110.07796817,1.74425617915,38444438.1536385,39825226.0,0.75,0.58,0.33,0.0654687619,0.786,0.756,0.581,1.57,6344077.42160595,11.5109592635,-1.0,0.3474,745154.0
2005-03-01,69465396.53643908,44952110.07796817,1.74425617915,38444438.1536385,39825226.0,0.44,1.17,0.4,0.06729072222,0.786,0.756,0.581,1.49,6344077.42160595,11.5109592635,39922.0,0.3396,788618.0
2005-04-01,69465396.53643908,44952110.07796817,1.74425617915,38444438.1536385,39825226.0,0.67,1.79,0.99,0.068961,0.786,0.756,0.581,1.37,6344077.42160595,11.5109592635,257232.0,0.3229999999999999,790169.0
2005-05-01,69465396.53643908,44952110.07796817,1.74425617915,38444438.1536385,39825226.0,0.72,2.68,0.51,0.07010755,0.786,0.756,0.581,1.37,6344077.42160595,11.5109592635,66875.0,0.3184,791663.1
2005-06-01,69465396.53643908,44952110.07796817,1.74425617915,38444438.1536385,39825226.0,2.09,3.18,-0.25,0.07106719048,0.786,0.756,0.581,1.18,6344077.42160595,11.5109592635,49395.0,0.3102,837181.0
2005-07-01,69465396.53643908,44952110.07796817,1.74425617915,38444438.1536385,39825226.0,0.76,3.16,-0.45,0.071533,0.786,0.756,0.581,0.95,6344077.42160595,11.5109592635,330964.0,0.267,818964.1
2005-08-01,69465396.53643908,44952110.07796817,1.74425617915,38444438.1536385,39825226.0,0.11,3.42,-0.4,0.07145590476,0.786,0.756,0.581,0.76,6344077.42160595,11.5109592635,57923.0,0.2842,914839.0
2005-09-01,69465396.53643908,44952110.07796817,1.74425617915,38444438.1536385,39825226.0,0.02,3.59,-0.79,0.07154213043,0.786,0.756,0.581,0.55,6344077.42160595,11.5109592635,37008.0,0.2404,842283.25
2005-10-01,69465396.53643908,44952110.07796817,1.74425617915,38444438.1536385,39825226.0,0.24,3.95,-0.13,0.07107052381,0.786,0.756,0.581,0.29,6344077.42160595,11.5109592635,117246.0,0.2296,813976.4
2005-11-01,69465396.53643908,44952110.07796817,1.74425617915,38444438.1536385,39825226.0,0.19,4.73,0.63,0.0698922,0.786,0.756,0.581,0.25,6344077.42160595,11.5109592635,-1.0,0.2232,902902.15
2005-12-01,69465396.53643908,44952110.07796817,1.74425617915,38444438.1536385,39825226.0,0.28,5.31,0.33,0.0686031,0.786,0.756,0.581,0.24,6344077.42160595,11.5109592635,158266.0,0.222,822704.0
2006-01-01,74233057.69361074,51607098.20445258,1.8355076026166663,40071955.2220653,40442795.0,0.37,5.69,0.07,0.06651395455,0.786,0.756,0.581,0.25,6344077.42160595,11.7613619462,-1.0,0.2221999999999999,851312.1
2006-02-01,74233057.69361074,51607098.20445258,1.8355076026166663,40071955.2220653,40442795.0,0.34,0.59,0.72,0.06452986364,0.786,0.756,0.581,0.27,6428173.06422105,11.7613619462,-1.0,0.222,745809.7
2006-03-01,74233057.69361074,51607098.20445258,1.8355076026166663,40071955.2220653,40442795.0,0.19,1.0,-0.06,0.06327316667,0.786,0.756,0.581,0.37,6428173.06422105,11.7613619462,48403.0,0.2214,969343.0
2006-04-01,74233057.69361074,51607098.20445258,1.8355076026166663,40071955.2220653,40442795.0,0.2,1.44,-0.45,0.06142243478,0.786,0.756,0.581,0.29,6428173.06422105,11.7613619462,228212.0,0.2173999999999999,840438.04
2006-05-01,74233057.69361074,51607098.20445258,1.8355076026166663,40071955.2220653,40442795.0,0.36,1.65,0.02,0.05957944444,0.786,0.756,0.581,0.12,6428173.06422105,11.7613619462,68875.0,0.2171999999999999,974085.75
2006-06-01,74233057.69361074,51607098.20445258,1.8355076026166663,40071955.2220653,40442795.0,1.32,1.75,0.38,0.05789063636,0.786,0.756,0.581,0.13,6428173.06422105,11.7613619462,48703.0,0.2282,905143.15
2006-07-01,74233057.69361074,51607098.20445258,1.8355076026166663,40071955.2220653,40442795.0,0.9,1.54,0.67,0.05608404762,0.786,0.756,0.581,0.21,6428173.06422105,11.7613619462,343151.0,0.2324,952021.0
2006-08-01,74233057.69361074,51607098.20445258,1.8355076026166663,40071955.2220653,40442795.0,0.47,1.73,0.17,0.05540461905,0.786,0.756,0.581,0.33,6428173.06422105,11.7613619462,65171.0,0.2288,995243.0
2006-09-01,74233057.69361074,51607098.20445258,1.8355076026166663,40071955.2220653,40442795.0,0.24,1.78,0.41,0.05429469565,0.786,0.756,0.581,0.44,6428173.06422105,11.7613619462,25491.0,0.2302,928490.4
2006-10-01,74233057.69361074,51607098.20445258,1.8355076026166663,40071955.2220653,40442795.0,0.11,2.0,0.24,0.0526018,0.786,0.756,0.581,0.6,6428173.06422105,11.7613619462,115434.0,0.2312,930603.75
2006-11-01,74233057.69361074,51607098.20445258,1.8355076026166663,40071955.2220653,40442795.0,0.21,2.33,0.81,0.05183728571,0.786,0.756,0.581,0.57,6428173.06422105,11.7613619462,-1.0,0.2322,950276.0
2006-12-01,74233057.69361074,51607098.20445258,1.8355076026166663,40071955.2220653,40442795.0,0.23,2.65,0.57,0.0507845,0.786,0.756,0.581,0.59,6428173.06422105,11.7613619462,185938.0,0.2324,821024.351
2007-01-01,77106969.81697834,57236405.82304484,1.878104768925,35227521.8248142,41055734.0,0.36,3.14,0.26,0.049164,0.786,0.756,0.581,0.69,6428173.06422105,10.2250328785,-1.0,0.2326,868685.0
2007-02-01,77106969.81697834,57236405.82304484,1.878104768925,35227521.8248142,41055734.0,0.45,0.44,0.43,0.04896572727,0.786,0.756,0.581,0.68,6529451.68540568,10.2250328785,-1.0,0.2314,843901.0
2007-03-01,77106969.81697834,57236405.82304484,1.878104768925,35227521.8248142,41055734.0,0.21,0.88,0.23,0.04827277778,0.786,0.756,0.581,0.6,6529451.68540568,10.2250328785,66398.0,0.228,1013232.0
2007-04-01,77106969.81697834,57236405.82304484,1.878104768925,35227521.8248142,41055734.0,0.27,1.26,0.22,0.04758977273,0.786,0.756,0.581,0.57,6529451.68540568,10.2250328785,260175.0,0.227,904763.0
2007-05-01,77106969.81697834,57236405.82304484,1.878104768925,35227521.8248142,41055734.0,0.46,1.51,0.14,0.04703045,0.786,0.756,0.581,0.54,6529451.68540568,10.2250328785,72865.0,0.2274,999487.0
2007-06-01,77106969.81697834,57236405.82304484,1.878104768925,35227521.8248142,41055734.0,1.15,1.79,0.16,0.046503,0.786,0.756,0.581,0.48,6529451.68540568,10.2250328785,42727.0,0.2286,989026.0
2007-07-01,77106969.81697834,57236405.82304484,1.878104768925,35227521.8248142,41055734.0,0.92,2.08,0.26,0.0450878,0.786,0.756,0.581,0.39,6529451.68540568,10.2250328785,331528.0,0.228,976498.0
2007-08-01,77106969.81697834,57236405.82304484,1.878104768925,35227521.8248142,41055734.0,0.31,2.32,0.37,0.04400663636,0.786,0.756,0.581,0.3,6529451.68540568,10.2250328785,83480.0,0.2355999999999999,1166121.0
2007-09-01,77106969.81697834,57236405.82304484,1.878104768925,35227521.8248142,41055734.0,0.26,2.8,1.39,0.04295447826,0.786,0.756,0.581,0.28,6529451.68540568,10.2250328785,46940.0,0.2376,1017982.0
2007-10-01,77106969.81697834,57236405.82304484,1.878104768925,35227521.8248142,41055734.0,0.51,2.99,1.17,0.04220568421,0.786,0.756,0.581,0.4,6529451.68540568,10.2250328785,114995.0,0.25,1114037.0
2007-11-01,77106969.81697834,57236405.82304484,1.878104768925,35227521.8248142,41055734.0,0.51,3.3,0.75,0.04206336364,0.786,0.756,0.581,0.5,6529451.68540568,10.2250328785,-1.0,0.2754,1029932.0
2007-12-01,77106969.81697834,57236405.82304484,1.878104768925,35227521.8248142,41055734.0,0.36,3.69,1.05,0.042065,0.786,0.756,0.581,0.52,6529451.68540568,10.2250328785,248053.0,0.2812,851789.0
2008-01-01,82505383.45112509,65187142.80915325,2.0018597264666664,40891890.7432032,39827690.0,0.59,4.46,1.47,0.042065,0.786,0.756,0.581,0.47,6529451.68540568,9.5210331529,-1.0,0.2812,1028204.0
2008-02-01,82505383.45112509,65187142.80915325,2.0018597264666664,40891890.7432032,39827690.0,0.38,0.54,0.99,0.04205845455,0.786,0.756,0.581,0.63,6647965.94362564,9.5210331529,-1.0,0.2826,1021902.0
2008-03-01,82505383.45112509,65187142.80915325,2.0018597264666664,40891890.7432032,39827690.0,0.4,1.03,0.38,0.04206310526,0.786,0.756,0.581,0.65,6647965.94362564,9.5210331529,66350.0,0.287,1028175.0
2008-04-01,82505383.45112509,65187142.80915325,2.0018597264666664,40891890.7432032,39827690.0,0.66,1.52,0.7,0.0420614,0.786,0.756,0.581,0.7,6647965.94362564,9.5210331529,249037.0,0.2872,1085962.0
2008-05-01,82505383.45112509,65187142.80915325,2.0018597264666664,40891890.7432032,39827690.0,0.87,2.08,1.12,0.04274185714,0.786,0.756,0.581,0.83,6647965.94362564,9.5210331529,100007.0,0.2874,1097846.0
2008-06-01,82505383.45112509,65187142.80915325,2.0018597264666664,40891890.7432032,39827690.0,2.02,2.88,1.88,0.0436576,0.786,0.756,0.581,0.93,6647965.94362564,9.5210331529,58060.0,0.295,1170535.0
2008-07-01,82505383.45112509,65187142.80915325,2.0018597264666664,40891890.7432032,39827690.0,1.92,3.64,1.89,0.04529861905,0.786,0.756,0.581,1.14,6647965.94362564,9.5210331529,449142.0,0.3016,1270803.0
2008-08-01,82505383.45112509,65187142.80915325,2.0018597264666664,40891890.7432032,39827690.0,1.46,4.19,1.12,0.04627117391,0.786,0.756,0.581,1.33,6647965.94362564,9.5210331529,118274.0,0.3026,1194518.0
2008-09-01,82505383.45112509,65187142.80915325,2.0018597264666664,40891890.7432032,39827690.0,1.18,4.48,-0.38,0.04822657143,0.786,0.756,0.581,1.42,6647965.94362564,9.5210331529,50379.0,0.3057999999999999,1175490.0
2008-10-01,82505383.45112509,65187142.80915325,2.0018597264666664,40891890.7432032,39827690.0,0.95,4.76,0.36,0.04987840909,0.786,0.756,0.581,1.23,6647965.94362564,9.5210331529,145056.0,0.317,1272776.0
2008-11-01,82505383.45112509,65187142.80915325,2.0018597264666664,40891890.7432032,39827690.0,0.77,5.23,1.09,0.05083973913,0.786,0.756,0.581,1.22,6647965.94362564,9.5210331529,-1.0,0.3561999999999999,1140539.0
2008-12-01,82505383.45112509,65187142.80915325,2.0018597264666664,40891890.7432032,39827690.0,0.5,5.61,0.07,0.050753,0.786,0.756,0.581,1.24,6647965.94362564,9.5210331529,277945.0,0.3552,989518.0
2009-01-01,82805061.33988725,71167190.04576026,2.01906252415,40813045.3708469,41011635.0,0.17,5.9,-0.44,0.050823,0.786,0.756,0.581,1.13,6647965.94362564,8.1928059286,-1.0,0.355,990422.0
2009-02-01,82805061.33988725,71167190.04576026,2.01906252415,40813045.3708469,41011635.0,0.33,0.48,0.01,0.04964833333,0.786,0.756,0.581,0.95,6773699.30541316,8.1928059286,-1.0,0.3494,942513.0
2009-03-01,82805061.33988725,71167190.04576026,2.01906252415,40813045.3708469,41011635.0,0.27,1.03,-0.13,0.047314,0.786,0.756,0.581,0.87,6773699.30541316,8.1928059286,73498.0,0.3446,1142459.0
2009-04-01,82805061.33988725,71167190.04576026,2.01906252415,40813045.3708469,41011635.0,-0.25,1.23,-0.84,0.04392790909,0.786,0.756,0.581,0.82,6773699.30541316,8.1928059286,266711.0,0.3411999999999999,1091735.0
2009-05-01,82805061.33988725,71167190.04576026,2.01906252415,40813045.3708469,41011635.0,-0.04,1.72,0.04,0.04181185,0.786,0.756,0.581,0.67,6773699.30541316,8.1928059286,88821.0,0.3339999999999999,1124855.0
2009-06-01,82805061.33988725,71167190.04576026,2.01906252415,40813045.3708469,41011635.0,1.39,2.2,0.18,0.0384042,0.786,0.756,0.581,0.55,6773699.30541316,8.1928059286,71222.0,0.3288,1129992.0
2009-07-01,82805061.33988725,71167190.04576026,2.01906252415,40813045.3708469,41011635.0,0.7,2.57,-0.32,0.03616333333,0.786,0.756,0.581,0.38,6773699.30541316,8.1928059286,468358.0,0.3284,1157173.0
2009-08-01,82805061.33988725,71167190.04576026,2.01906252415,40813045.3708469,41011635.0,0.26,2.81,-0.64,0.03422486957,0.786,0.756,0.581,0.19,6773699.30541316,8.1928059286,111216.0,0.3265999999999999,1183089.0
2009-09-01,82805061.33988725,71167190.04576026,2.01906252415,40813045.3708469,41011635.0,-0.05,2.97,0.09,0.032927,0.786,0.756,0.581,0.02,6773699.30541316,8.1928059286,62945.0,0.3252,1154859.0
2009-10-01,82805061.33988725,71167190.04576026,2.01906252415,40813045.3708469,41011635.0,0.15,3.21,0.25,0.032927,0.786,0.756,0.581,0.04,6773699.30541316,8.1928059286,137408.0,0.3253999999999999,1229848.0
2009-11-01,82805061.33988725,71167190.04576026,2.01906252415,40813045.3708469,41011635.0,0.06,3.5,-0.04,0.032927,0.786,0.756,0.581,0.0,6773699.30541316,8.1928059286,-1.0,0.325,1177581.0
2009-12-01,82805061.33988725,71167190.04576026,2.01906252415,40813045.3708469,41011635.0,0.29,3.93,0.07,0.032927,0.786,0.756,0.581,-0.07,6773699.30541316,8.1928059286,229411.0,0.325,979775.0
2010-01-01,84874841.59240417,78280970.58715816,2.050907635966667,47576832.5968617,41384039.0,0.1,4.31,-0.11,0.03292531818,0.786,0.756,0.581,-0.06,6773699.30541316,9.8006797258,11389.0,0.325,1053508.0
2010-02-01,84874841.59240417,78280970.58715816,2.050907635966667,47576832.5968617,41384039.0,0.64,0.75,1.01,0.03292515,0.786,0.756,0.581,-0.02,6930862.75002851,9.8006797258,-1.0,0.3242,1066271.0
2010-03-01,84874841.59240417,78280970.58715816,2.050907635966667,47576832.5968617,41384039.0,0.36,1.54,1.09,0.032927,0.786,0.756,0.581,0.08,6930862.75002851,9.8006797258,96981.0,0.3252,1316193.0
2010-04-01,84874841.59240417,78280970.58715816,2.050907635966667,47576832.5968617,41384039.0,0.75,2.06,0.63,0.032927,0.786,0.756,0.581,0.18,6930862.75002851,9.8006797258,276458.0,0.3242,1183106.0
2010-05-01,84874841.59240417,78280970.58715816,2.050907635966667,47576832.5968617,41384039.0,0.84,2.65,0.72,0.0331908,0.786,0.756,0.581,0.29,6930862.75002851,9.8006797258,111626.0,0.326,1271088.0
2010-06-01,84874841.59240417,78280970.58715816,2.050907635966667,47576832.5968617,41384039.0,1.81,3.09,1.57,0.03565185714,0.786,0.756,0.581,0.43,6930862.75002851,9.8006797258,74828.0,0.3362,1233481.0
2010-07-01,84874841.59240417,78280970.58715816,2.050907635966667,47576832.5968617,41384039.0,1.09,3.09,0.34,0.0376,0.786,0.756,0.581,0.6,6930862.75002851,9.8006797258,479670.0,0.3389999999999999,1225127.0
2010-08-01,84874841.59240417,78280970.58715816,2.050907635966667,47576832.5968617,41384039.0,0.44,3.1,0.22,0.03897777273,0.786,0.756,0.581,0.67,6930862.75002851,9.8006797258,145092.0,0.34,1345003.0
2010-09-01,84874841.59240417,78280970.58715816,2.050907635966667,47576832.5968617,41384039.0,0.14,3.14,1.1,0.040203,0.786,0.756,0.581,0.74,6930862.75002851,9.8006797258,53668.0,0.3378,1299821.0
2010-10-01,84874841.59240417,78280970.58715816,2.050907635966667,47576832.5968617,41384039.0,0.21,3.6,1.1,0.040203,0.786,0.756,0.581,0.85,6930862.75002851,9.8006797258,149903.0,0.3411999999999999,1231045.0
2010-11-01,84874841.59240417,78280970.58715816,2.050907635966667,47576832.5968617,41384039.0,0.2,4.38,1.03,0.040203,0.786,0.756,0.581,0.93,6930862.75002851,9.8006797258,-1.0,0.3436,1223599.0
2010-12-01,84874841.59240417,78280970.58715816,2.050907635966667,47576832.5968617,41384039.0,0.37,5.25,1.58,0.040203,0.786,0.756,0.581,0.99,6930862.75002851,9.8006797258,258129.0,0.3436,1086738.0
2011-01-01,89320033.4733275,89320033.4733275,2.10230604135,61678130.0562923,41262199.0,0.67,5.91,0.38,0.04020769565,0.845,0.789,0.719,1.23,6930862.75002851,9.8006797258,47587.0,0.3446,1046862.0
2011-02-01,89320033.4733275,89320033.4733275,2.10230604135,61678130.0562923,41262199.0,0.41,0.83,0.98,0.04089519048,0.845,0.789,0.719,1.22,7102235.53510611,9.8006797258,-1.0,0.345,1124482.0
2011-03-01,89320033.4733275,89320033.4733275,2.10230604135,61678130.0562923,41262199.0,0.28,1.64,0.96,0.0420272,0.845,0.789,0.719,1.18,7102235.53510611,9.8006797258,107442.0,0.345,1189115.0
2011-04-01,89320033.4733275,89320033.4733275,2.10230604135,61678130.0562923,41262199.0,0.43,2.44,0.61,0.04364038095,0.845,0.789,0.719,1.15,7102235.53510611,9.8006797258,313629.0,0.3461999999999999,1163951.0
2011-05-01,89320033.4733275,89320033.4733275,2.10230604135,61678130.0562923,41262199.0,1.06,3.23,0.5,0.04404368421,0.845,0.789,0.719,1.17,7102235.53510611,9.8006797258,101295.0,0.3456,1353267.0
2011-06-01,89320033.4733275,89320033.4733275,2.10230604135,61678130.0562923,41262199.0,2.94,3.71,0.01,0.044698,0.845,0.789,0.719,1.11,7102235.53510611,9.8006797258,63483.0,0.3446,1293030.0
2011-07-01,89320033.4733275,89320033.4733275,2.10230604135,61678130.0562923,41262199.0,0.37,3.87,-0.13,0.04533085714,0.845,0.789,0.719,0.91,7102235.53510611,9.8006797258,491751.0,0.3475999999999999,1307856.0
2011-08-01,89320033.4733275,89320033.4733275,2.10230604135,61678130.0562923,41262199.0,0.45,4.04,-0.05,0.04587866667,0.845,0.789,0.719,0.84,7102235.53510611,9.8006797258,141469.0,0.3514,1392359.0
2011-09-01,89320033.4733275,89320033.4733275,2.10230604135,61678130.0562923,41262199.0,0.13,4.42,0.61,0.04646017391,0.845,0.789,0.719,0.78,7102235.53510611,9.8006797258,52751.0,0.3518,1314434.0
2011-10-01,89320033.4733275,89320033.4733275,2.10230604135,61678130.0562923,41262199.0,0.14,4.97,0.75,0.04464585714,0.845,0.789,0.719,0.73,7102235.53510611,9.8006797258,164415.0,0.3496,1272955.0
2011-11-01,89320033.4733275,89320033.4733275,2.10230604135,61678130.0562923,41262199.0,0.23,5.43,0.4,0.04391405,0.845,0.789,0.719,0.7,7102235.53510611,9.8006797258,-1.0,0.3514,1277306.0
2011-12-01,89320033.4733275,89320033.4733275,2.10230604135,61678130.0562923,41262199.0,0.72,5.97,0.43,0.042849,0.845,0.789,0.719,0.64,7102235.53510611,9.8006797258,289313.0,0.3528,1136326.0
2012-01-01,91153389.61712831,98736068.39300916,2.1918626180833334,60257098.4645503,41587182.0,0.11,6.5,-0.16,0.04106463636,0.845,0.789,0.719,0.46,7102235.53510611,7.1464083748,46140.0,0.3504,1134419.0
2012-02-01,91153389.61712831,98736068.39300916,2.1918626180833334,60257098.4645503,41587182.0,0.89,0.56,0.3,0.0403295,0.845,0.789,0.719,0.38,7283723.05855449,7.1464083748,-1.0,0.3482,1195570.0
2012-03-01,91153389.61712831,98736068.39300916,2.1918626180833334,60257098.4645503,41587182.0,0.3,1.01,0.07,0.03927,0.845,0.789,0.719,0.3,7283723.05855449,7.1464083748,110376.0,0.3492,1395858.0
2012-04-01,91153389.61712831,98736068.39300916,2.1918626180833334,60257098.4645503,41587182.0,0.51,1.22,0.56,0.037179,0.845,0.789,0.719,0.26,7283723.05855449,7.1464083748,389226.0,0.3506,1199755.0
2012-05-01,91153389.61712831,98736068.39300916,2.1918626180833334,60257098.4645503,41587182.0,0.75,1.87,1.02,0.035474,0.845,0.789,0.719,0.25,7283723.05855449,7.1464083748,117989.0,0.3535999999999999,1339696.0
2012-06-01,91153389.61712831,98736068.39300916,2.1918626180833334,60257098.4645503,41587182.0,1.88,2.24,0.91,0.03373136364,0.845,0.789,0.719,0.35,7283723.05855449,7.1464083748,84133.0,0.354,1121823.0
2012-07-01,91153389.61712831,98736068.39300916,2.1918626180833334,60257098.4645503,41587182.0,0.73,2.32,0.69,0.0319778,0.845,0.789,0.719,0.51,7283723.05855449,7.1464083748,484527.0,0.3515999999999999,1336174.0
2012-08-01,91153389.61712831,98736068.39300916,2.1918626180833334,60257098.4645503,41587182.0,0.67,2.76,1.52,0.03080763636,0.845,0.789,0.719,0.61,7283723.05855449,7.1464083748,147605.0,0.3538,1491696.0
2012-09-01,91153389.61712831,98736068.39300916,2.1918626180833334,60257098.4645503,41587182.0,0.26,3.18,1.29,0.02997965217,0.845,0.789,0.719,0.79,7283723.05855449,7.1464083748,56952.0,0.3538,1272396.0
2012-10-01,91153389.61712831,98736068.39300916,2.1918626180833334,60257098.4645503,41587182.0,0.22,3.77,0.88,0.028296,0.845,0.789,0.719,0.88,7283723.05855449,7.1464083748,169965.0,0.3544,1343556.0
2012-11-01,91153389.61712831,98736068.39300916,2.1918626180833334,60257098.4645503,41587182.0,0.21,4.38,-0.31,0.02770736364,0.845,0.789,0.719,0.89,7283723.05855449,7.1464083748,-1.0,0.355,1292897.0
2012-12-01,91153389.61712831,98736068.39300916,2.1918626180833334,60257098.4645503,41587182.0,0.33,5.01,0.25,0.027371,0.845,0.789,0.719,0.84,7283723.05855449,7.1464083748,215706.0,0.3556,1035843.0
2013-01-01,91705992.60063832,107224916.73107916,2.1886235004416665,60884432.636987,41901219.0,0.16,5.84,0.66,0.02743595,0.83,0.789,0.79,0.88,7283723.05855449,6.3747501334,44048.0,0.3556,1158184.0
