data,Santa_Catarina - PIB - Per Capita,Santa_Catarina - PIB - Preços de Mercado,Santa_Catarina - PIB - Estadual,Santa_Catarina - PIB - Construção Civil,Santa_Catarina - População,Santa_Catarina - INCC (%),Santa_Catarina - IPCA - Variação mensal durante o Plano Real (%),Santa_Catarina - IGP-DI,Santa_Catarina - Taxa Selic (%),Santa_Catarina - IDH - Longevidade,Santa_Catarina - IDH - Renda,Santa_Catarina - IDH - Educação,Santa_Catarina - NFSP - Fluxo Mensal (Milhões de reais),Santa_Catarina - Estoque liquido de capital fixo - (R$),Santa_Catarina - Desemprego,Santa_Catarina - Produção de Cimento (t),Santa_Catarina - Valor,Santa_Catarina - Consumo de Cimento (t)
2004-07-01,7702242.82257785,4625654.43073775,1.3736263184666668,4943546.15421658,5607233.0,0.7,3.48,1.29,0.05822585714,0.812,0.717,0.526,1.59,6261937.06181048,6.0531108018,357690.0,0.38,149578.0
2004-08-01,7702242.82257785,4625654.43073775,1.3736263184666668,4943546.15421658,5607233.0,1.12,4.42,1.14,0.05813868182,0.812,0.717,0.526,1.72,6261937.06181048,6.0531108018,53663.0,0.38,164042.0
2004-09-01,7702242.82257785,4625654.43073775,1.3736263184666668,4943546.15421658,5607233.0,0.81,5.14,1.31,0.05843936364,0.812,0.717,0.526,1.83,6261937.06181048,6.0531108018,24703.0,0.38,148187.0
2004-10-01,7702242.82257785,4625654.43073775,1.3736263184666668,4943546.15421658,5607233.0,0.58,5.49,0.48,0.05923480952,0.812,0.717,0.526,1.87,6261937.06181048,6.0531108018,32392.0,0.38,151102.0
2004-11-01,7702242.82257785,4625654.43073775,1.3736263184666668,4943546.15421658,5607233.0,1.19,5.95,0.53,0.06031435,0.812,0.717,0.526,1.76,6261937.06181048,6.0531108018,-1.0,0.39,154958.0
2004-12-01,7702242.82257785,4625654.43073775,1.3736263184666668,4943546.15421658,5607233.0,0.71,6.68,0.82,0.0621806,0.812,0.717,0.526,1.71,6261937.06181048,6.0531108018,177888.0,0.39,135844.0
2005-01-01,8267004.586249034,5349703.862716683,1.4317197333083334,5177440.8328118,5774178.0,0.51,7.6,0.52,0.06401773913,0.812,0.717,0.526,1.74,6261937.06181048,4.6856920066,-1.0,0.39,134837.0
2005-02-01,8267004.586249034,5349703.862716683,1.4317197333083334,5177440.8328118,5774178.0,0.75,0.58,0.33,0.0654687619,0.812,0.717,0.526,1.57,6344077.42160595,4.6856920066,48024.0,0.38,136495.0
2005-03-01,8267004.586249034,5349703.862716683,1.4317197333083334,5177440.8328118,5774178.0,0.44,1.17,0.4,0.06729072222,0.812,0.717,0.526,1.49,6344077.42160595,4.6856920066,39844.0,0.38,154807.0
2005-04-01,8267004.586249034,5349703.862716683,1.4317197333083334,5177440.8328118,5774178.0,0.67,1.79,0.99,0.068961,0.812,0.717,0.526,1.37,6344077.42160595,4.6856920066,208127.0,0.38,146582.0
2005-05-01,8267004.586249034,5349703.862716683,1.4317197333083334,5177440.8328118,5774178.0,0.72,2.68,0.51,0.07010755,0.812,0.717,0.526,1.37,6344077.42160595,4.6856920066,79291.0,0.38,149537.0
2005-06-01,8267004.586249034,5349703.862716683,1.4317197333083334,5177440.8328118,5774178.0,2.09,3.18,-0.25,0.07106719048,0.812,0.717,0.526,1.18,6344077.42160595,4.6856920066,48774.0,0.37,165664.0
2005-07-01,8267004.586249034,5349703.862716683,1.4317197333083334,5177440.8328118,5774178.0,0.76,3.16,-0.45,0.071533,0.812,0.717,0.526,0.95,6344077.42160595,4.6856920066,373168.0,0.37,162223.0
2005-08-01,8267004.586249034,5349703.862716683,1.4317197333083334,5177440.8328118,5774178.0,0.11,3.42,-0.4,0.07145590476,0.812,0.717,0.526,0.76,6344077.42160595,4.6856920066,65633.0,0.37,165871.0
2005-09-01,8267004.586249034,5349703.862716683,1.4317197333083334,5177440.8328118,5774178.0,0.02,3.59,-0.79,0.07154213043,0.812,0.717,0.526,0.55,6344077.42160595,4.6856920066,32580.0,0.37,146298.0
2005-10-01,8267004.586249034,5349703.862716683,1.4317197333083334,5177440.8328118,5774178.0,0.24,3.95,-0.13,0.07107052381,0.812,0.717,0.526,0.29,6344077.42160595,4.6856920066,33412.0,0.37,151753.0
2005-11-01,8267004.586249034,5349703.862716683,1.4317197333083334,5177440.8328118,5774178.0,0.19,4.73,0.63,0.0698922,0.812,0.717,0.526,0.25,6344077.42160595,4.6856920066,-1.0,0.37,160162.0
2005-12-01,8267004.586249034,5349703.862716683,1.4317197333083334,5177440.8328118,5774178.0,0.28,5.31,0.33,0.0686031,0.812,0.717,0.526,0.24,6344077.42160595,4.6856920066,136989.0,0.37,150421.0
2006-01-01,8405647.246517833,5843637.274291734,1.432804877833333,4854554.85410321,5866568.0,0.37,5.69,0.07,0.06651395455,0.812,0.717,0.526,0.25,6344077.42160595,4.908418076,-1.0,0.37,154694.0
2006-02-01,8405647.246517833,5843637.274291734,1.432804877833333,4854554.85410321,5866568.0,0.34,0.59,0.72,0.06452986364,0.812,0.717,0.526,0.27,6428173.06422105,4.908418076,34185.0,0.37,136733.0
2006-03-01,8405647.246517833,5843637.274291734,1.432804877833333,4854554.85410321,5866568.0,0.19,1.0,-0.06,0.06327316667,0.812,0.717,0.526,0.37,6428173.06422105,4.908418076,52101.0,0.36,166125.94
2006-04-01,8405647.246517833,5843637.274291734,1.432804877833333,4854554.85410321,5866568.0,0.2,1.44,-0.45,0.06142243478,0.812,0.717,0.526,0.29,6428173.06422105,4.908418076,204194.0,0.36,137965.0
2006-05-01,8405647.246517833,5843637.274291734,1.432804877833333,4854554.85410321,5866568.0,0.36,1.65,0.02,0.05957944444,0.812,0.717,0.526,0.12,6428173.06422105,4.908418076,66337.0,0.36,163144.3
2006-06-01,8405647.246517833,5843637.274291734,1.432804877833333,4854554.85410321,5866568.0,1.32,1.75,0.38,0.05789063636,0.812,0.717,0.526,0.13,6428173.06422105,4.908418076,54615.0,0.36,151967.0
2006-07-01,8405647.246517833,5843637.274291734,1.432804877833333,4854554.85410321,5866568.0,0.9,1.54,0.67,0.05608404762,0.812,0.717,0.526,0.21,6428173.06422105,4.908418076,336834.0,0.36,158404.0
2006-08-01,8405647.246517833,5843637.274291734,1.432804877833333,4854554.85410321,5866568.0,0.47,1.73,0.17,0.05540461905,0.812,0.717,0.526,0.33,6428173.06422105,4.908418076,64665.0,0.36,171917.0
2006-09-01,8405647.246517833,5843637.274291734,1.432804877833333,4854554.85410321,5866568.0,0.24,1.78,0.41,0.05429469565,0.812,0.717,0.526,0.44,6428173.06422105,4.908418076,18631.0,0.35,161125.9
2006-10-01,8405647.246517833,5843637.274291734,1.432804877833333,4854554.85410321,5866568.0,0.11,2.0,0.24,0.0526018,0.812,0.717,0.526,0.6,6428173.06422105,4.908418076,32633.0,0.34,170225.0
2006-11-01,8405647.246517833,5843637.274291734,1.432804877833333,4854554.85410321,5866568.0,0.21,2.33,0.81,0.05183728571,0.812,0.717,0.526,0.57,6428173.06422105,4.908418076,-1.0,0.34,158829.0
2006-12-01,8405647.246517833,5843637.274291734,1.432804877833333,4854554.85410321,5866568.0,0.23,2.65,0.57,0.0507845,0.812,0.717,0.526,0.59,6428173.06422105,4.908418076,168860.0,0.34,139348.0
2007-01-01,8829163.5092385,6553876.866025158,1.4818343976666668,4890572.19932579,5958266.0,0.36,3.14,0.26,0.049164,0.812,0.717,0.526,0.69,6428173.06422105,5.1631349989,-1.0,0.34,155540.0
2007-02-01,8829163.5092385,6553876.866025158,1.4818343976666668,4890572.19932579,5958266.0,0.45,0.44,0.43,0.04896572727,0.812,0.717,0.526,0.68,6529451.68540568,5.1631349989,36810.0,0.34,143950.0
2007-03-01,8829163.5092385,6553876.866025158,1.4818343976666668,4890572.19932579,5958266.0,0.21,0.88,0.23,0.04827277778,0.812,0.717,0.526,0.6,6529451.68540568,5.1631349989,56762.0,0.34,162835.0
2007-04-01,8829163.5092385,6553876.866025158,1.4818343976666668,4890572.19932579,5958266.0,0.27,1.26,0.22,0.04758977273,0.812,0.717,0.526,0.57,6529451.68540568,5.1631349989,261531.0,0.34,151579.0
2007-05-01,8829163.5092385,6553876.866025158,1.4818343976666668,4890572.19932579,5958266.0,0.46,1.51,0.14,0.04703045,0.812,0.717,0.526,0.54,6529451.68540568,5.1631349989,58133.0,0.34,154226.0
2007-06-01,8829163.5092385,6553876.866025158,1.4818343976666668,4890572.19932579,5958266.0,1.15,1.79,0.16,0.046503,0.812,0.717,0.526,0.48,6529451.68540568,5.1631349989,82737.0,0.34,171583.0
2007-07-01,8829163.5092385,6553876.866025158,1.4818343976666668,4890572.19932579,5958266.0,0.92,2.08,0.26,0.0450878,0.812,0.717,0.526,0.39,6529451.68540568,5.1631349989,373257.0,0.34,173115.0
2007-08-01,8829163.5092385,6553876.866025158,1.4818343976666668,4890572.19932579,5958266.0,0.31,2.32,0.37,0.04400663636,0.812,0.717,0.526,0.3,6529451.68540568,5.1631349989,64083.0,0.34,197102.0
2007-09-01,8829163.5092385,6553876.866025158,1.4818343976666668,4890572.19932579,5958266.0,0.26,2.8,1.39,0.04295447826,0.812,0.717,0.526,0.28,6529451.68540568,5.1631349989,38896.0,0.33,183864.0
2007-10-01,8829163.5092385,6553876.866025158,1.4818343976666668,4890572.19932579,5958266.0,0.51,2.99,1.17,0.04220568421,0.812,0.717,0.526,0.4,6529451.68540568,5.1631349989,48603.0,0.34,211654.0
2007-11-01,8829163.5092385,6553876.866025158,1.4818343976666668,4890572.19932579,5958266.0,0.51,3.3,0.75,0.04206336364,0.812,0.717,0.526,0.5,6529451.68540568,5.1631349989,-1.0,0.34,208967.0
2007-12-01,8829163.5092385,6553876.866025158,1.4818343976666668,4890572.19932579,5958266.0,0.36,3.69,1.05,0.042065,0.812,0.717,0.526,0.52,6529451.68540568,5.1631349989,190402.0,0.34,167424.0
2008-01-01,9439818.452461831,7458359.295034833,1.5546496120416666,7192309.11765161,5866487.0,0.59,4.46,1.47,0.042065,0.812,0.717,0.526,0.47,6529451.68540568,5.1966850799,-1.0,0.34,188733.0
2008-02-01,9439818.452461831,7458359.295034833,1.5546496120416666,7192309.11765161,5866487.0,0.38,0.54,0.99,0.04205845455,0.812,0.717,0.526,0.63,6647965.94362564,5.1966850799,31854.0,0.34,187477.0
2008-03-01,9439818.452461831,7458359.295034833,1.5546496120416666,7192309.11765161,5866487.0,0.4,1.03,0.38,0.04206310526,0.812,0.717,0.526,0.65,6647965.94362564,5.1966850799,59701.0,0.34,197396.0
2008-04-01,9439818.452461831,7458359.295034833,1.5546496120416666,7192309.11765161,5866487.0,0.66,1.52,0.7,0.0420614,0.812,0.717,0.526,0.7,6647965.94362564,5.1966850799,204595.0,0.34,216309.0
2008-05-01,9439818.452461831,7458359.295034833,1.5546496120416666,7192309.11765161,5866487.0,0.87,2.08,1.12,0.04274185714,0.812,0.717,0.526,0.83,6647965.94362564,5.1966850799,89089.0,0.34,226470.0
2008-06-01,9439818.452461831,7458359.295034833,1.5546496120416666,7192309.11765161,5866487.0,2.02,2.88,1.88,0.0436576,0.812,0.717,0.526,0.93,6647965.94362564,5.1966850799,78587.0,0.34,224222.0
2008-07-01,9439818.452461831,7458359.295034833,1.5546496120416666,7192309.11765161,5866487.0,1.92,3.64,1.89,0.04529861905,0.812,0.717,0.526,1.14,6647965.94362564,5.1966850799,428827.0,0.34,262822.0
2008-08-01,9439818.452461831,7458359.295034833,1.5546496120416666,7192309.11765161,5866487.0,1.46,4.19,1.12,0.04627117391,0.812,0.717,0.526,1.33,6647965.94362564,5.1966850799,98981.0,0.34,248860.0
2008-09-01,9439818.452461831,7458359.295034833,1.5546496120416666,7192309.11765161,5866487.0,1.18,4.48,-0.38,0.04822657143,0.812,0.717,0.526,1.42,6647965.94362564,5.1966850799,42510.0,0.34,254899.0
2008-10-01,9439818.452461831,7458359.295034833,1.5546496120416666,7192309.11765161,5866487.0,0.95,4.76,0.36,0.04987840909,0.812,0.717,0.526,1.23,6647965.94362564,5.1966850799,37016.0,0.35,249480.0
2008-11-01,9439818.452461831,7458359.295034833,1.5546496120416666,7192309.11765161,5866487.0,0.77,5.23,1.09,0.05083973913,0.812,0.717,0.526,1.22,6647965.94362564,5.1966850799,-1.0,0.38,190635.0
2008-12-01,9439818.452461831,7458359.295034833,1.5546496120416666,7192309.11765161,5866487.0,0.5,5.61,0.07,0.050753,0.812,0.717,0.526,1.24,6647965.94362564,5.1966850799,241500.0,0.38,206284.0
2009-01-01,10089168.05935425,8671181.7981325,1.6669183044166669,5621789.55926997,6052587.0,0.17,5.9,-0.44,0.050823,0.812,0.717,0.526,1.13,6647965.94362564,4.7478731985,-1.0,0.38,210285.0
2009-02-01,10089168.05935425,8671181.7981325,1.6669183044166669,5621789.55926997,6052587.0,0.33,0.48,0.01,0.04964833333,0.812,0.717,0.526,0.95,6773699.30541316,4.7478731985,41433.0,0.38,199963.0
2009-03-01,10089168.05935425,8671181.7981325,1.6669183044166669,5621789.55926997,6052587.0,0.27,1.03,-0.13,0.047314,0.812,0.717,0.526,0.87,6773699.30541316,4.7478731985,74516.0,0.38,231075.0
2009-04-01,10089168.05935425,8671181.7981325,1.6669183044166669,5621789.55926997,6052587.0,-0.25,1.23,-0.84,0.04392790909,0.812,0.717,0.526,0.82,6773699.30541316,4.7478731985,204857.0,0.38,223196.0
2009-05-01,10089168.05935425,8671181.7981325,1.6669183044166669,5621789.55926997,6052587.0,-0.04,1.72,0.04,0.04181185,0.812,0.717,0.526,0.67,6773699.30541316,4.7478731985,91771.0,0.37,227301.0
2009-06-01,10089168.05935425,8671181.7981325,1.6669183044166669,5621789.55926997,6052587.0,1.39,2.2,0.18,0.0384042,0.812,0.717,0.526,0.55,6773699.30541316,4.7478731985,71742.0,0.37,229390.0
2009-07-01,10089168.05935425,8671181.7981325,1.6669183044166669,5621789.55926997,6052587.0,0.7,2.57,-0.32,0.03616333333,0.812,0.717,0.526,0.38,6773699.30541316,4.7478731985,436441.0,0.37,231080.0
2009-08-01,10089168.05935425,8671181.7981325,1.6669183044166669,5621789.55926997,6052587.0,0.26,2.81,-0.64,0.03422486957,0.812,0.717,0.526,0.19,6773699.30541316,4.7478731985,89136.0,0.37,229331.0
2009-09-01,10089168.05935425,8671181.7981325,1.6669183044166669,5621789.55926997,6052587.0,-0.05,2.97,0.09,0.032927,0.812,0.717,0.526,0.02,6773699.30541316,4.7478731985,55720.0,0.37,216467.0
2009-10-01,10089168.05935425,8671181.7981325,1.6669183044166669,5621789.55926997,6052587.0,0.15,3.21,0.25,0.032927,0.812,0.717,0.526,0.04,6773699.30541316,4.7478731985,47141.0,0.37,232457.0
2009-11-01,10089168.05935425,8671181.7981325,1.6669183044166669,5621789.55926997,6052587.0,0.06,3.5,-0.04,0.032927,0.812,0.717,0.526,0.0,6773699.30541316,4.7478731985,-1.0,0.37,237628.0
2009-12-01,10089168.05935425,8671181.7981325,1.6669183044166669,5621789.55926997,6052587.0,0.29,3.93,0.07,0.032927,0.812,0.717,0.526,-0.07,6773699.30541316,4.7478731985,177656.0,0.37,201227.0
2010-01-01,10054692.705156583,9273550.196360083,1.6432611575833331,7051224.40421525,6118743.0,0.1,4.31,-0.11,0.03292531818,0.812,0.717,0.526,-0.06,6773699.30541316,5.6479605094,19532.0,0.37,198686.0
2010-02-01,10054692.705156583,9273550.196360083,1.6432611575833331,7051224.40421525,6118743.0,0.64,0.75,1.01,0.03292515,0.812,0.717,0.526,-0.02,6930862.75002851,5.6479605094,58356.0,0.37,202264.0
2010-03-01,10054692.705156583,9273550.196360083,1.6432611575833331,7051224.40421525,6118743.0,0.36,1.54,1.09,0.032927,0.812,0.717,0.526,0.08,6930862.75002851,5.6479605094,98197.0,0.37,241177.0
2010-04-01,10054692.705156583,9273550.196360083,1.6432611575833331,7051224.40421525,6118743.0,0.75,2.06,0.63,0.032927,0.812,0.717,0.526,0.18,6930862.75002851,5.6479605094,273330.0,0.37,215317.0
2010-05-01,10054692.705156583,9273550.196360083,1.6432611575833331,7051224.40421525,6118743.0,0.84,2.65,0.72,0.0331908,0.812,0.717,0.526,0.29,6930862.75002851,5.6479605094,140900.0,0.37,223331.0
2010-06-01,10054692.705156583,9273550.196360083,1.6432611575833331,7051224.40421525,6118743.0,1.81,3.09,1.57,0.03565185714,0.812,0.717,0.526,0.43,6930862.75002851,5.6479605094,79230.0,0.38,238782.0
2010-07-01,10054692.705156583,9273550.196360083,1.6432611575833331,7051224.40421525,6118743.0,1.09,3.09,0.34,0.0376,0.812,0.717,0.526,0.6,6930862.75002851,5.6479605094,478149.0,0.38,255631.0
2010-08-01,10054692.705156583,9273550.196360083,1.6432611575833331,7051224.40421525,6118743.0,0.44,3.1,0.22,0.03897777273,0.812,0.717,0.526,0.67,6930862.75002851,5.6479605094,137008.0,0.38,257961.0
2010-09-01,10054692.705156583,9273550.196360083,1.6432611575833331,7051224.40421525,6118743.0,0.14,3.14,1.1,0.040203,0.812,0.717,0.526,0.74,6930862.75002851,5.6479605094,63877.0,0.38,263827.0
2010-10-01,10054692.705156583,9273550.196360083,1.6432611575833331,7051224.40421525,6118743.0,0.21,3.6,1.1,0.040203,0.812,0.717,0.526,0.85,6930862.75002851,5.6479605094,28071.0,0.38,267393.0
2010-11-01,10054692.705156583,9273550.196360083,1.6432611575833331,7051224.40421525,6118743.0,0.2,4.38,1.03,0.040203,0.812,0.717,0.526,0.93,6930862.75002851,5.6479605094,-1.0,0.38,260253.0
2010-12-01,10054692.705156583,9273550.196360083,1.6432611575833331,7051224.40421525,6118743.0,0.37,5.25,1.58,0.040203,0.812,0.717,0.526,0.99,6930862.75002851,5.6479605094,238051.0,0.38,228137.0
2011-01-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.67,5.91,0.38,0.04020769565,0.86,0.773,0.697,1.23,6930862.75002851,5.6479605094,42858.0,0.38,231765.0
2011-02-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.41,0.83,0.98,0.04089519048,0.86,0.773,0.697,1.22,7102235.53510611,5.6479605094,61142.0,0.39,226547.0
2011-03-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.28,1.64,0.96,0.0420272,0.86,0.773,0.697,1.18,7102235.53510611,5.6479605094,106091.0,0.39,282090.0
2011-04-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.43,2.44,0.61,0.04364038095,0.86,0.773,0.697,1.15,7102235.53510611,5.6479605094,332074.0,0.39,243255.0
2011-05-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,1.06,3.23,0.5,0.04404368421,0.86,0.773,0.697,1.17,7102235.53510611,5.6479605094,148173.0,0.4,262534.0
2011-06-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,2.94,3.71,0.01,0.044698,0.86,0.773,0.697,1.11,7102235.53510611,5.6479605094,92481.0,0.42,264380.0
2011-07-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.37,3.87,-0.13,0.04533085714,0.86,0.773,0.697,0.91,7102235.53510611,5.6479605094,490794.0,0.44,255091.0
2011-08-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.45,4.04,-0.05,0.04587866667,0.86,0.773,0.697,0.84,7102235.53510611,5.6479605094,115783.0,0.44,251899.0
2011-09-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.13,4.42,0.61,0.04646017391,0.86,0.773,0.697,0.78,7102235.53510611,5.6479605094,51906.0,0.42,267564.0
2011-10-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.14,4.97,0.75,0.04464585714,0.86,0.773,0.697,0.73,7102235.53510611,5.6479605094,82322.0,0.42,277126.0
2011-11-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.23,5.43,0.4,0.04391405,0.86,0.773,0.697,0.7,7102235.53510611,5.6479605094,-1.0,0.43,276719.0
2011-12-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.72,5.97,0.43,0.042849,0.86,0.773,0.697,0.64,7102235.53510611,5.6479605094,238368.0,0.43,248840.0
2012-01-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.11,6.5,-0.16,0.04106463636,0.86,0.773,0.697,0.46,7102235.53510611,3.6056575598,50154.0,0.43,254813.0
2012-02-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.89,0.56,0.3,0.0403295,0.86,0.773,0.697,0.38,7283723.05855449,3.6056575598,56911.0,0.43,263264.0
2012-03-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.3,1.01,0.07,0.03927,0.86,0.773,0.697,0.3,7283723.05855449,3.6056575598,119668.0,0.43,291302.0
2012-04-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.51,1.22,0.56,0.037179,0.86,0.773,0.697,0.26,7283723.05855449,3.6056575598,340503.0,0.43,246351.0
2012-05-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.75,1.87,1.02,0.035474,0.86,0.773,0.697,0.25,7283723.05855449,3.6056575598,147904.0,0.43,298866.0
2012-06-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,1.88,2.24,0.91,0.03373136364,0.86,0.773,0.697,0.35,7283723.05855449,3.6056575598,94166.0,0.43,256136.0
2012-07-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.73,2.32,0.69,0.0319778,0.86,0.773,0.697,0.51,7283723.05855449,3.6056575598,476109.0,0.43,273433.0
2012-08-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.67,2.76,1.52,0.03080763636,0.86,0.773,0.697,0.61,7283723.05855449,3.6056575598,126482.0,0.43,308092.0
2012-09-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.26,3.18,1.29,0.02997965217,0.86,0.773,0.697,0.79,7283723.05855449,3.6056575598,57884.0,0.43,264483.0
2012-10-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.22,3.77,0.88,0.028296,0.86,0.773,0.697,0.88,7283723.05855449,3.6056575598,116748.0,0.43,304170.0
2012-11-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.21,4.38,-0.31,0.02770736364,0.86,0.773,0.697,0.89,7283723.05855449,3.6056575598,-1.0,0.43,276773.0
2012-12-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.33,5.01,0.25,0.027371,0.86,0.773,0.697,0.84,7283723.05855449,3.6056575598,259786.0,0.42,230627.0
2013-01-01,11549838.654092085,13504357.270691665,1.81523204555,9578462.19243024,6383286.0,0.16,5.84,0.66,0.02743595,0.84,0.773,0.74,0.88,7283723.05855449,3.1447181184,48285.0,0.42,287056.0
