data,Bahia - PIB - Per Capita,Bahia - PIB - Preços de Mercado,Bahia - PIB - Estadual,Bahia - PIB - Construção Civil,Bahia - População,Bahia - INCC (%),Bahia - IPCA - Variação mensal durante o Plano Real (%),Bahia - IGP-DI,Bahia - Taxa Selic (%),Bahia - IDH - Longevidade,Bahia - IDH - Renda,Bahia - IDH - Educação,Bahia - NFSP - Fluxo Mensal (Milhões de reais),Bahia - Estoque liquido de capital fixo - (R$),Bahia - Desemprego,Bahia - Produção de Cimento (t),Bahia - Valor,Bahia - Consumo de Cimento (t)
2008-01-01,9923871.209405169,7840807.262357124,0.686998686375,6706544.53283242,14080670.0,0.59,4.46,1.47,0.042065,0.68,0.594,0.332,0.47,6529451.68540568,10.3438296311,529770.0,0.3573333333333333,223848.0
2008-02-01,9923871.209405169,7840807.262357124,0.686998686375,6706544.53283242,14080670.0,0.38,0.54,0.99,0.04205845455,0.68,0.594,0.332,0.63,6647965.94362564,10.3438296311,-1.0,0.357,198666.0
2008-03-01,9923871.209405169,7840807.262357124,0.686998686375,6706544.53283242,14080670.0,0.4,1.03,0.38,0.04206310526,0.68,0.594,0.332,0.65,6647965.94362564,10.3438296311,-1.0,0.3336,202162.0
2008-04-01,9923871.209405169,7840807.262357124,0.686998686375,6706544.53283242,14080670.0,0.66,1.52,0.7,0.0420614,0.68,0.594,0.332,0.7,6647965.94362564,10.3438296311,71684.0,0.3298,222230.0
2008-05-01,9923871.209405169,7840807.262357124,0.686998686375,6706544.53283242,14080670.0,0.87,2.08,1.12,0.04274185714,0.68,0.594,0.332,0.83,6647965.94362564,10.3438296311,146389.0,0.3298,226571.0
2008-06-01,9923871.209405169,7840807.262357124,0.686998686375,6706544.53283242,14080670.0,2.02,2.88,1.88,0.0436576,0.68,0.594,0.332,0.93,6647965.94362564,10.3438296311,30550.0,0.3306,210861.0
2008-07-01,9923871.209405169,7840807.262357124,0.686998686375,6706544.53283242,14080670.0,1.92,3.64,1.89,0.04529861905,0.68,0.594,0.332,1.14,6647965.94362564,10.3438296311,83682.0,0.3308857142857143,235521.0
2008-08-01,9923871.209405169,7840807.262357124,0.686998686375,6706544.53283242,14080670.0,1.46,4.19,1.12,0.04627117391,0.68,0.594,0.332,1.33,6647965.94362564,10.3438296311,421073.0,0.3318142,239336.0
2008-09-01,9923871.209405169,7840807.262357124,0.686998686375,6706544.53283242,14080670.0,1.18,4.48,-0.38,0.04822657143,0.68,0.594,0.332,1.42,6647965.94362564,10.3438296311,50633.0,0.3311846,250326.0
2008-10-01,9923871.209405169,7840807.262357124,0.686998686375,6706544.53283242,14080670.0,0.95,4.76,0.36,0.04987840909,0.68,0.594,0.332,1.23,6647965.94362564,10.3438296311,275411.0,0.3354,249756.0
2008-11-01,9923871.209405169,7840807.262357124,0.686998686375,6706544.53283242,14080670.0,0.77,5.23,1.09,0.05083973913,0.68,0.594,0.332,1.22,6647965.94362564,10.3438296311,185644.0,0.35028,216948.0
2008-12-01,9923871.209405169,7840807.262357124,0.686998686375,6706544.53283242,14080670.0,0.5,5.61,0.07,0.050753,0.68,0.594,0.332,1.24,6647965.94362564,10.3438296311,-1.0,0.35,202112.0
2009-01-01,10145267.041531,8719396.32586,0.6995499375916667,7536679.67034089,14502575.0,0.17,5.9,-0.44,0.050823,0.68,0.594,0.332,1.13,6647965.94362564,10.5336637559,639677.0,0.355225,221999.0
2009-02-01,10145267.041531,8719396.32586,0.6995499375916667,7536679.67034089,14502575.0,0.33,0.48,0.01,0.04964833333,0.68,0.594,0.332,0.95,6773699.30541316,10.5336637559,-1.0,0.3604,191375.0
2009-03-01,10145267.041531,8719396.32586,0.6995499375916667,7536679.67034089,14502575.0,0.27,1.03,-0.13,0.047314,0.68,0.594,0.332,0.87,6773699.30541316,10.5336637559,-1.0,0.3584666,221545.0
2009-04-01,10145267.041531,8719396.32586,0.6995499375916667,7536679.67034089,14502575.0,-0.25,1.23,-0.84,0.04392790909,0.68,0.594,0.332,0.82,6773699.30541316,10.5336637559,103295.0,0.3528334,200744.0
2009-05-01,10145267.041531,8719396.32586,0.6995499375916667,7536679.67034089,14502575.0,-0.04,1.72,0.04,0.04181185,0.68,0.594,0.332,0.67,6773699.30541316,10.5336637559,143437.0,0.3392,211897.0
2009-06-01,10145267.041531,8719396.32586,0.6995499375916667,7536679.67034089,14502575.0,1.39,2.2,0.18,0.0384042,0.68,0.594,0.332,0.55,6773699.30541316,10.5336637559,26540.0,0.36,215393.0
2009-07-01,10145267.041531,8719396.32586,0.6995499375916667,7536679.67034089,14502575.0,0.7,2.57,-0.32,0.03616333333,0.68,0.594,0.332,0.38,6773699.30541316,10.5336637559,81332.0,0.3564,251828.0
2009-08-01,10145267.041531,8719396.32586,0.6995499375916667,7536679.67034089,14502575.0,0.26,2.81,-0.64,0.03422486957,0.68,0.594,0.332,0.19,6773699.30541316,10.5336637559,476606.0,0.3544,249872.0
2009-09-01,10145267.041531,8719396.32586,0.6995499375916667,7536679.67034089,14502575.0,-0.05,2.97,0.09,0.032927,0.68,0.594,0.332,0.02,6773699.30541316,10.5336637559,61864.0,0.34,267420.0
2009-10-01,10145267.041531,8719396.32586,0.6995499375916667,7536679.67034089,14502575.0,0.15,3.21,0.25,0.032927,0.68,0.594,0.332,0.04,6773699.30541316,10.5336637559,270632.0,0.345,263926.0
2009-11-01,10145267.041531,8719396.32586,0.6995499375916667,7536679.67034089,14502575.0,0.06,3.5,-0.04,0.032927,0.68,0.594,0.332,0.0,6773699.30541316,10.5336637559,172874.0,0.348,266105.0
2009-12-01,10145267.041531,8719396.32586,0.6995499375916667,7536679.67034089,14502575.0,0.29,3.93,0.07,0.032927,0.68,0.594,0.332,-0.07,6773699.30541316,10.5336637559,-1.0,0.3465999999999999,263387.0
2010-01-01,10945059.838429084,10094745.288613584,0.7477480124416668,8894117.19786624,14637364.0,0.1,4.31,-0.11,0.03292531818,0.68,0.594,0.332,-0.06,6773699.30541316,10.6699441943,549268.0,0.345,262363.0
2010-02-01,10945059.838429084,10094745.288613584,0.7477480124416668,8894117.19786624,14637364.0,0.64,0.75,1.01,0.03292515,0.68,0.594,0.332,-0.02,6930862.75002851,10.6699441943,-1.0,0.345,243671.0
2010-03-01,10945059.838429084,10094745.288613584,0.7477480124416668,8894117.19786624,14637364.0,0.36,1.54,1.09,0.032927,0.68,0.594,0.332,0.08,6930862.75002851,10.6699441943,-1.0,0.3449166,294896.0
2010-04-01,10945059.838429084,10094745.288613584,0.7477480124416668,8894117.19786624,14637364.0,0.75,2.06,0.63,0.032927,0.68,0.594,0.332,0.18,6930862.75002851,10.6699441943,93237.0,0.3432,245168.0
2010-05-01,10945059.838429084,10094745.288613584,0.7477480124416668,8894117.19786624,14637364.0,0.84,2.65,0.72,0.0331908,0.68,0.594,0.332,0.29,6930862.75002851,10.6699441943,168075.0,0.3456,284621.0
2010-06-01,10945059.838429084,10094745.288613584,0.7477480124416668,8894117.19786624,14637364.0,1.81,3.09,1.57,0.03565185714,0.68,0.594,0.332,0.43,6930862.75002851,10.6699441943,28584.0,0.3497999999999999,268126.0
2010-07-01,10945059.838429084,10094745.288613584,0.7477480124416668,8894117.19786624,14637364.0,1.09,3.09,0.34,0.0376,0.68,0.594,0.332,0.6,6930862.75002851,10.6699441943,75063.0,0.3502,270271.0
2010-08-01,10945059.838429084,10094745.288613584,0.7477480124416668,8894117.19786624,14637364.0,0.44,3.1,0.22,0.03897777273,0.68,0.594,0.332,0.67,6930862.75002851,10.6699441943,505379.0,0.3494,282262.0
2010-09-01,10945059.838429084,10094745.288613584,0.7477480124416668,8894117.19786624,14637364.0,0.14,3.14,1.1,0.040203,0.68,0.594,0.332,0.74,6930862.75002851,10.6699441943,58977.0,0.3511999999999999,293852.0
2010-10-01,10945059.838429084,10094745.288613584,0.7477480124416668,8894117.19786624,14637364.0,0.21,3.6,1.1,0.040203,0.68,0.594,0.332,0.85,6930862.75002851,10.6699441943,294098.0,0.3547999999999999,304568.0
2010-11-01,10945059.838429084,10094745.288613584,0.7477480124416668,8894117.19786624,14637364.0,0.2,4.38,1.03,0.040203,0.68,0.594,0.332,0.93,6930862.75002851,10.6699441943,186459.0,0.3568,304030.0
2010-12-01,10945059.838429084,10094745.288613584,0.7477480124416668,8894117.19786624,14637364.0,0.37,5.25,1.58,0.040203,0.68,0.594,0.332,0.99,6930862.75002851,10.6699441943,-1.0,0.3588,295281.0
2011-01-01,11284583.836033083,11284583.836033083,0.7641082082166667,10935228.8268609,14016906.0,0.67,5.91,0.38,0.04020769565,0.783,0.663,0.555,1.23,6930862.75002851,10.6699441943,648038.0,0.368,287721.0
2011-02-01,11284583.836033083,11284583.836033083,0.7641082082166667,10935228.8268609,14016906.0,0.41,0.83,0.98,0.04089519048,0.783,0.663,0.555,1.22,7102235.53510611,10.6699441943,-1.0,0.3707999999999999,278180.0
2011-03-01,11284583.836033083,11284583.836033083,0.7641082082166667,10935228.8268609,14016906.0,0.28,1.64,0.96,0.0420272,0.783,0.663,0.555,1.18,7102235.53510611,10.6699441943,-1.0,0.3614,280752.0
2011-04-01,11284583.836033083,11284583.836033083,0.7641082082166667,10935228.8268609,14016906.0,0.43,2.44,0.61,0.04364038095,0.783,0.663,0.555,1.15,7102235.53510611,10.6699441943,91839.0,0.3626,276020.0
