data,Rio_Grande_do_Sul - PIB - Per Capita,Rio_Grande_do_Sul - PIB - Preços de Mercado,Rio_Grande_do_Sul - PIB - Estadual,Rio_Grande_do_Sul - PIB - Construção Civil,Rio_Grande_do_Sul - População,Rio_Grande_do_Sul - INCC (%),Rio_Grande_do_Sul - IPCA - Variação mensal durante o Plano Real (%),Rio_Grande_do_Sul - IGP-DI,Rio_Grande_do_Sul - Taxa Selic (%),Rio_Grande_do_Sul - IDH - Longevidade,Rio_Grande_do_Sul - IDH - Renda,Rio_Grande_do_Sul - IDH - Educação,Rio_Grande_do_Sul - NFSP - Fluxo Mensal (Milhões de reais),Rio_Grande_do_Sul - Estoque liquido de capital fixo - (R$),Rio_Grande_do_Sul - Desemprego,Rio_Grande_do_Sul - Produção de Cimento (t),Rio_Grande_do_Sul - Valor,Rio_Grande_do_Sul - Consumo de Cimento (t)
2006-01-01,13714191.081214331,9534156.720904833,1.2645533485583331,6490233.7357744,10845087.0,0.37,5.69,0.07,0.06651395455,0.804,0.72,0.505,0.25,6344077.42160595,7.2067647267,-1.0,0.33,170928.0
2006-02-01,13714191.081214331,9534156.720904833,1.2645533485583331,6490233.7357744,10845087.0,0.34,0.59,0.72,0.06452986364,0.804,0.72,0.505,0.27,6428173.06422105,7.2067647267,33146.0,0.33,160527.95
2006-03-01,13714191.081214331,9534156.720904833,1.2645533485583331,6490233.7357744,10845087.0,0.19,1.0,-0.06,0.06327316667,0.804,0.72,0.505,0.37,6428173.06422105,7.2067647267,47414.0,0.32,195809.0
2006-04-01,13714191.081214331,9534156.720904833,1.2645533485583331,6490233.7357744,10845087.0,0.2,1.44,-0.45,0.06142243478,0.804,0.72,0.505,0.29,6428173.06422105,7.2067647267,220249.0,0.32,159962.0
2006-05-01,13714191.081214331,9534156.720904833,1.2645533485583331,6490233.7357744,10845087.0,0.36,1.65,0.02,0.05957944444,0.804,0.72,0.505,0.12,6428173.06422105,7.2067647267,66684.0,0.31,183965.42
2006-06-01,13714191.081214331,9534156.720904833,1.2645533485583331,6490233.7357744,10845087.0,1.32,1.75,0.38,0.05789063636,0.804,0.72,0.505,0.13,6428173.06422105,7.2067647267,61330.0,0.32,162528.262
2006-07-01,13714191.081214331,9534156.720904833,1.2645533485583331,6490233.7357744,10845087.0,0.9,1.54,0.67,0.05608404762,0.804,0.72,0.505,0.21,6428173.06422105,7.2067647267,284132.0,0.31,174380.2
2006-08-01,13714191.081214331,9534156.720904833,1.2645533485583331,6490233.7357744,10845087.0,0.47,1.73,0.17,0.05540461905,0.804,0.72,0.505,0.33,6428173.06422105,7.2067647267,54501.0,0.31,184400.0
2006-09-01,13714191.081214331,9534156.720904833,1.2645533485583331,6490233.7357744,10845087.0,0.24,1.78,0.41,0.05429469565,0.804,0.72,0.505,0.44,6428173.06422105,7.2067647267,40260.0,0.31,171344.0
2006-10-01,13714191.081214331,9534156.720904833,1.2645533485583331,6490233.7357744,10845087.0,0.11,2.0,0.24,0.0526018,0.804,0.72,0.505,0.6,6428173.06422105,7.2067647267,36596.0,0.31,190782.485
2006-11-01,13714191.081214331,9534156.720904833,1.2645533485583331,6490233.7357744,10845087.0,0.21,2.33,0.81,0.05183728571,0.804,0.72,0.505,0.57,6428173.06422105,7.2067647267,-1.0,0.31,182346.0
2006-12-01,13714191.081214331,9534156.720904833,1.2645533485583331,6490233.7357744,10845087.0,0.23,2.65,0.57,0.0507845,0.804,0.72,0.505,0.59,6428173.06422105,7.2067647267,219023.0,0.3,169954.29
2007-01-01,14006823.255391166,10397247.123575917,1.2776195801083332,6169816.6962284,10963219.0,0.36,3.14,0.26,0.049164,0.804,0.72,0.505,0.69,6428173.06422105,6.9246765604,-1.0,0.31,179615.0
2007-02-01,14006823.255391166,10397247.123575917,1.2776195801083332,6169816.6962284,10963219.0,0.45,0.44,0.43,0.04896572727,0.804,0.72,0.505,0.68,6529451.68540568,6.9246765604,51570.0,0.31,158886.0
2007-03-01,14006823.255391166,10397247.123575917,1.2776195801083332,6169816.6962284,10963219.0,0.21,0.88,0.23,0.04827277778,0.804,0.72,0.505,0.6,6529451.68540568,6.9246765604,49996.0,0.31,191003.0
2007-04-01,14006823.255391166,10397247.123575917,1.2776195801083332,6169816.6962284,10963219.0,0.27,1.26,0.22,0.04758977273,0.804,0.72,0.505,0.57,6529451.68540568,6.9246765604,255396.0,0.31,178867.0
2007-05-01,14006823.255391166,10397247.123575917,1.2776195801083332,6169816.6962284,10963219.0,0.46,1.51,0.14,0.04703045,0.804,0.72,0.505,0.54,6529451.68540568,6.9246765604,83018.0,0.32,186781.0
2007-06-01,14006823.255391166,10397247.123575917,1.2776195801083332,6169816.6962284,10963219.0,1.15,1.79,0.16,0.046503,0.804,0.72,0.505,0.48,6529451.68540568,6.9246765604,78182.0,0.32,174657.0
2007-07-01,14006823.255391166,10397247.123575917,1.2776195801083332,6169816.6962284,10963219.0,0.92,2.08,0.26,0.0450878,0.804,0.72,0.505,0.39,6529451.68540568,6.9246765604,290807.0,0.32,186040.0
2007-08-01,14006823.255391166,10397247.123575917,1.2776195801083332,6169816.6962284,10963219.0,0.31,2.32,0.37,0.04400663636,0.804,0.72,0.505,0.3,6529451.68540568,6.9246765604,67833.0,0.32,200352.0
2007-09-01,14006823.255391166,10397247.123575917,1.2776195801083332,6169816.6962284,10963219.0,0.26,2.8,1.39,0.04295447826,0.804,0.72,0.505,0.28,6529451.68540568,6.9246765604,35127.0,0.32,189412.0
2007-10-01,14006823.255391166,10397247.123575917,1.2776195801083332,6169816.6962284,10963219.0,0.51,2.99,1.17,0.04220568421,0.804,0.72,0.505,0.4,6529451.68540568,6.9246765604,42684.0,0.32,219425.0
2007-11-01,14006823.255391166,10397247.123575917,1.2776195801083332,6169816.6962284,10963219.0,0.51,3.3,0.75,0.04206336364,0.804,0.72,0.505,0.5,6529451.68540568,6.9246765604,-1.0,0.32,221717.0
2007-12-01,14006823.255391166,10397247.123575917,1.2776195801083332,6169816.6962284,10963219.0,0.36,3.69,1.05,0.042065,0.804,0.72,0.505,0.52,6529451.68540568,6.9246765604,251683.0,0.32,194188.0
2008-01-01,15134194.840449331,11957461.187370166,1.3955675707333333,6531375.29074183,10582887.0,0.59,4.46,1.47,0.042065,0.804,0.72,0.505,0.47,6529451.68540568,7.3290155962,-1.0,0.32,220955.0
2008-02-01,15134194.840449331,11957461.187370166,1.3955675707333333,6531375.29074183,10582887.0,0.38,0.54,0.99,0.04205845455,0.804,0.72,0.505,0.63,6647965.94362564,7.3290155962,29253.0,0.32,208475.0
2008-03-01,15134194.840449331,11957461.187370166,1.3955675707333333,6531375.29074183,10582887.0,0.4,1.03,0.38,0.04206310526,0.804,0.72,0.505,0.65,6647965.94362564,7.3290155962,56830.0,0.32,206443.0
2008-04-01,15134194.840449331,11957461.187370166,1.3955675707333333,6531375.29074183,10582887.0,0.66,1.52,0.7,0.0420614,0.804,0.72,0.505,0.7,6647965.94362564,7.3290155962,218337.0,0.32,225882.0
2008-05-01,15134194.840449331,11957461.187370166,1.3955675707333333,6531375.29074183,10582887.0,0.87,2.08,1.12,0.04274185714,0.804,0.72,0.505,0.83,6647965.94362564,7.3290155962,102999.0,0.32,218981.0
2008-06-01,15134194.840449331,11957461.187370166,1.3955675707333333,6531375.29074183,10582887.0,2.02,2.88,1.88,0.0436576,0.804,0.72,0.505,0.93,6647965.94362564,7.3290155962,68891.0,0.33,204735.0
2008-07-01,15134194.840449331,11957461.187370166,1.3955675707333333,6531375.29074183,10582887.0,1.92,3.64,1.89,0.04529861905,0.804,0.72,0.505,1.14,6647965.94362564,7.3290155962,413854.0,0.34,239142.0
2008-08-01,15134194.840449331,11957461.187370166,1.3955675707333333,6531375.29074183,10582887.0,1.46,4.19,1.12,0.04627117391,0.804,0.72,0.505,1.33,6647965.94362564,7.3290155962,95755.0,0.34,225818.0
2008-09-01,15134194.840449331,11957461.187370166,1.3955675707333333,6531375.29074183,10582887.0,1.18,4.48,-0.38,0.04822657143,0.804,0.72,0.505,1.42,6647965.94362564,7.3290155962,55634.0,0.33,250363.0
2008-10-01,15134194.840449331,11957461.187370166,1.3955675707333333,6531375.29074183,10582887.0,0.95,4.76,0.36,0.04987840909,0.804,0.72,0.505,1.23,6647965.94362564,7.3290155962,33194.0,0.33,249948.0
2008-11-01,15134194.840449331,11957461.187370166,1.3955675707333333,6531375.29074183,10582887.0,0.77,5.23,1.09,0.05083973913,0.804,0.72,0.505,1.22,6647965.94362564,7.3290155962,-1.0,0.33,230210.0
2008-12-01,15134194.840449331,11957461.187370166,1.3955675707333333,6531375.29074183,10582887.0,0.5,5.61,0.07,0.050753,0.804,0.72,0.505,1.24,6647965.94362564,7.3290155962,239163.0,0.34,237590.0
2009-01-01,15622356.847524917,13426706.2995935,1.4391551101,6949232.16817573,10855214.0,0.17,5.9,-0.44,0.050823,0.804,0.72,0.505,1.13,6647965.94362564,6.0811813784,-1.0,0.35,199662.0
2009-02-01,15622356.847524917,13426706.2995935,1.4391551101,6949232.16817573,10855214.0,0.33,0.48,0.01,0.04964833333,0.804,0.72,0.505,0.95,6773699.30541316,6.0811813784,46167.0,0.35,195022.0
2009-03-01,15622356.847524917,13426706.2995935,1.4391551101,6949232.16817573,10855214.0,0.27,1.03,-0.13,0.047314,0.804,0.72,0.505,0.87,6773699.30541316,6.0811813784,68699.0,0.34,241787.0
2009-04-01,15622356.847524917,13426706.2995935,1.4391551101,6949232.16817573,10855214.0,-0.25,1.23,-0.84,0.04392790909,0.804,0.72,0.505,0.82,6773699.30541316,6.0811813784,200159.0,0.34,228783.0
2009-05-01,15622356.847524917,13426706.2995935,1.4391551101,6949232.16817573,10855214.0,-0.04,1.72,0.04,0.04181185,0.804,0.72,0.505,0.67,6773699.30541316,6.0811813784,112141.0,0.33,217827.0
2009-06-01,15622356.847524917,13426706.2995935,1.4391551101,6949232.16817573,10855214.0,1.39,2.2,0.18,0.0384042,0.804,0.72,0.505,0.55,6773699.30541316,6.0811813784,78875.0,0.33,221613.0
2009-07-01,15622356.847524917,13426706.2995935,1.4391551101,6949232.16817573,10855214.0,0.7,2.57,-0.32,0.03616333333,0.804,0.72,0.505,0.38,6773699.30541316,6.0811813784,379391.0,0.32,226357.0
2009-08-01,15622356.847524917,13426706.2995935,1.4391551101,6949232.16817573,10855214.0,0.26,2.81,-0.64,0.03422486957,0.804,0.72,0.505,0.19,6773699.30541316,6.0811813784,78271.0,0.32,220979.0
2009-09-01,15622356.847524917,13426706.2995935,1.4391551101,6949232.16817573,10855214.0,-0.05,2.97,0.09,0.032927,0.804,0.72,0.505,0.02,6773699.30541316,6.0811813784,56519.0,0.31,209868.0
2009-10-01,15622356.847524917,13426706.2995935,1.4391551101,6949232.16817573,10855214.0,0.15,3.21,0.25,0.032927,0.804,0.72,0.505,0.04,6773699.30541316,6.0811813784,46996.0,0.31,255586.0
2009-11-01,15622356.847524917,13426706.2995935,1.4391551101,6949232.16817573,10855214.0,0.06,3.5,-0.04,0.032927,0.804,0.72,0.505,0.0,6773699.30541316,6.0811813784,-1.0,0.31,234473.0
2009-12-01,15622356.847524917,13426706.2995935,1.4391551101,6949232.16817573,10855214.0,0.29,3.93,0.07,0.032927,0.804,0.72,0.505,-0.07,6773699.30541316,6.0811813784,210654.0,0.32,233783.0
2010-01-01,15824528.730647832,14595131.429739667,1.4499123274583334,8130601.59020373,10914128.0,0.1,4.31,-0.11,0.03292531818,0.804,0.72,0.505,-0.06,6773699.30541316,6.6920419243,22703.0,0.33,218089.0
2010-02-01,15824528.730647832,14595131.429739667,1.4499123274583334,8130601.59020373,10914128.0,0.64,0.75,1.01,0.03292515,0.804,0.72,0.505,-0.02,6930862.75002851,6.6920419243,57895.0,0.32,217799.0
2010-03-01,15824528.730647832,14595131.429739667,1.4499123274583334,8130601.59020373,10914128.0,0.36,1.54,1.09,0.032927,0.804,0.72,0.505,0.08,6930862.75002851,6.6920419243,82478.0,0.32,274172.0
2010-04-01,15824528.730647832,14595131.429739667,1.4499123274583334,8130601.59020373,10914128.0,0.75,2.06,0.63,0.032927,0.804,0.72,0.505,0.18,6930862.75002851,6.6920419243,263977.0,0.32,240049.0
2010-05-01,15824528.730647832,14595131.429739667,1.4499123274583334,8130601.59020373,10914128.0,0.84,2.65,0.72,0.0331908,0.804,0.72,0.505,0.29,6930862.75002851,6.6920419243,135774.0,0.32,235199.0
2010-06-01,15824528.730647832,14595131.429739667,1.4499123274583334,8130601.59020373,10914128.0,1.81,3.09,1.57,0.03565185714,0.804,0.72,0.505,0.43,6930862.75002851,6.6920419243,90392.0,0.33,251884.0
2010-07-01,15824528.730647832,14595131.429739667,1.4499123274583334,8130601.59020373,10914128.0,1.09,3.09,0.34,0.0376,0.804,0.72,0.505,0.6,6930862.75002851,6.6920419243,384922.0,0.32,250763.0
2010-08-01,15824528.730647832,14595131.429739667,1.4499123274583334,8130601.59020373,10914128.0,0.44,3.1,0.22,0.03897777273,0.804,0.72,0.505,0.67,6930862.75002851,6.6920419243,114824.0,0.33,267189.0
2010-09-01,15824528.730647832,14595131.429739667,1.4499123274583334,8130601.59020373,10914128.0,0.14,3.14,1.1,0.040203,0.804,0.72,0.505,0.74,6930862.75002851,6.6920419243,60248.0,0.33,253323.0
2010-10-01,15824528.730647832,14595131.429739667,1.4499123274583334,8130601.59020373,10914128.0,0.21,3.6,1.1,0.040203,0.804,0.72,0.505,0.85,6930862.75002851,6.6920419243,42203.0,0.33,287265.0
2010-11-01,15824528.730647832,14595131.429739667,1.4499123274583334,8130601.59020373,10914128.0,0.2,4.38,1.03,0.040203,0.804,0.72,0.505,0.93,6930862.75002851,6.6920419243,-1.0,0.35,285991.0
2010-12-01,15824528.730647832,14595131.429739667,1.4499123274583334,8130601.59020373,10914128.0,0.37,5.25,1.58,0.040203,0.804,0.72,0.505,0.99,6930862.75002851,6.6920419243,248798.0,0.35,288589.0
2011-01-01,17150225.5674465,17150225.5674465,1.556418245683333,10213216.7412423,10693929.0,0.67,5.91,0.38,0.04020769565,0.84,0.769,0.642,1.23,6930862.75002851,6.6920419243,47610.0,0.36,258457.0
2011-02-01,17150225.5674465,17150225.5674465,1.556418245683333,10213216.7412423,10693929.0,0.41,0.83,0.98,0.04089519048,0.84,0.769,0.642,1.22,7102235.53510611,6.6920419243,57641.0,0.37,239847.0
2011-03-01,17150225.5674465,17150225.5674465,1.556418245683333,10213216.7412423,10693929.0,0.28,1.64,0.96,0.0420272,0.84,0.769,0.642,1.18,7102235.53510611,6.6920419243,103309.0,0.36,292770.0
2011-04-01,17150225.5674465,17150225.5674465,1.556418245683333,10213216.7412423,10693929.0,0.43,2.44,0.61,0.04364038095,0.84,0.769,0.642,1.15,7102235.53510611,6.6920419243,323457.0,0.36,258432.0
2011-05-01,17150225.5674465,17150225.5674465,1.556418245683333,10213216.7412423,10693929.0,1.06,3.23,0.5,0.04404368421,0.84,0.769,0.642,1.17,7102235.53510611,6.6920419243,139973.0,0.36,296282.0
2011-06-01,17150225.5674465,17150225.5674465,1.556418245683333,10213216.7412423,10693929.0,2.94,3.71,0.01,0.044698,0.84,0.769,0.642,1.11,7102235.53510611,6.6920419243,100317.0,0.36,295748.0
2011-07-01,17150225.5674465,17150225.5674465,1.556418245683333,10213216.7412423,10693929.0,0.37,3.87,-0.13,0.04533085714,0.84,0.769,0.642,0.91,7102235.53510611,6.6920419243,447250.0,0.37,280502.0
2011-08-01,17150225.5674465,17150225.5674465,1.556418245683333,10213216.7412423,10693929.0,0.45,4.04,-0.05,0.04587866667,0.84,0.769,0.642,0.84,7102235.53510611,6.6920419243,126640.0,0.38,278658.0
2011-09-01,17150225.5674465,17150225.5674465,1.556418245683333,10213216.7412423,10693929.0,0.13,4.42,0.61,0.04646017391,0.84,0.769,0.642,0.78,7102235.53510611,6.6920419243,61539.0,0.38,284930.0
2011-10-01,17150225.5674465,17150225.5674465,1.556418245683333,10213216.7412423,10693929.0,0.14,4.97,0.75,0.04464585714,0.84,0.769,0.642,0.73,7102235.53510611,6.6920419243,74470.0,0.37,310394.0
2011-11-01,17150225.5674465,17150225.5674465,1.556418245683333,10213216.7412423,10693929.0,0.23,5.43,0.4,0.04391405,0.84,0.769,0.642,0.7,7102235.53510611,6.6920419243,-1.0,0.38,311065.0
2011-12-01,17150225.5674465,17150225.5674465,1.556418245683333,10213216.7412423,10693929.0,0.72,5.97,0.43,0.042849,0.84,0.769,0.642,0.64,7102235.53510611,6.6920419243,255752.0,0.38,292092.0
2012-01-01,17415709.43700325,18864451.287082084,1.622627481425,11189747.9514767,10733030.0,0.11,6.5,-0.16,0.04106463636,0.84,0.769,0.642,0.46,7102235.53510611,5.0146840245,55825.0,0.38,294069.0
2012-02-01,17415709.43700325,18864451.287082084,1.622627481425,11189747.9514767,10733030.0,0.89,0.56,0.3,0.0403295,0.84,0.769,0.642,0.38,7283723.05855449,5.0146840245,58069.0,0.38,271544.0
2012-03-01,17415709.43700325,18864451.287082084,1.622627481425,11189747.9514767,10733030.0,0.3,1.01,0.07,0.03927,0.84,0.769,0.642,0.3,7283723.05855449,5.0146840245,106248.0,0.38,299910.0
2012-04-01,17415709.43700325,18864451.287082084,1.622627481425,11189747.9514767,10733030.0,0.51,1.22,0.56,0.037179,0.84,0.769,0.642,0.26,7283723.05855449,5.0146840245,326016.0,0.38,280566.0
2012-05-01,17415709.43700325,18864451.287082084,1.622627481425,11189747.9514767,10733030.0,0.75,1.87,1.02,0.035474,0.84,0.769,0.642,0.25,7283723.05855449,5.0146840245,154874.0,0.38,324204.0
2012-06-01,17415709.43700325,18864451.287082084,1.622627481425,11189747.9514767,10733030.0,1.88,2.24,0.91,0.03373136364,0.84,0.769,0.642,0.35,7283723.05855449,5.0146840245,96815.0,0.37,291989.0
2012-07-01,17415709.43700325,18864451.287082084,1.622627481425,11189747.9514767,10733030.0,0.73,2.32,0.69,0.0319778,0.84,0.769,0.642,0.51,7283723.05855449,5.0146840245,467426.0,0.38,289212.0
2012-08-01,17415709.43700325,18864451.287082084,1.622627481425,11189747.9514767,10733030.0,0.67,2.76,1.52,0.03080763636,0.84,0.769,0.642,0.61,7283723.05855449,5.0146840245,128903.0,0.38,325603.0
2012-09-01,17415709.43700325,18864451.287082084,1.622627481425,11189747.9514767,10733030.0,0.26,3.18,1.29,0.02997965217,0.84,0.769,0.642,0.79,7283723.05855449,5.0146840245,56388.0,0.39,252327.0
2012-10-01,17415709.43700325,18864451.287082084,1.622627481425,11189747.9514767,10733030.0,0.22,3.77,0.88,0.028296,0.84,0.769,0.642,0.88,7283723.05855449,5.0146840245,136665.0,0.38,298282.0
2012-11-01,17415709.43700325,18864451.287082084,1.622627481425,11189747.9514767,10733030.0,0.21,4.38,-0.31,0.02770736364,0.84,0.769,0.642,0.89,7283723.05855449,5.0146840245,-1.0,0.38,313289.0
2012-12-01,17415709.43700325,18864451.287082084,1.622627481425,11189747.9514767,10733030.0,0.33,5.01,0.25,0.027371,0.84,0.769,0.642,0.84,7283723.05855449,5.0146840245,268899.0,0.37,246794.0
