data,Amapá - PIB - Per Capita,Amapá - PIB - Preços de Mercado,Amapá - PIB - Estadual,Amapá - PIB - Construção Civil,Amapá - População,Amapá - INCC (%),Amapá - IPCA - Variação mensal durante o Plano Real (%),Amapá - IGP-DI,Amapá - Taxa Selic (%),Amapá - IDH - Longevidade,Amapá - IDH - Renda,Amapá - IDH - Educação,Amapá - NFSP - Fluxo Mensal (Milhões de reais),Amapá - Estoque liquido de capital fixo - (R$),Amapá - Desemprego,Amapá - Produção de Cimento (t),Amapá - Valor,Amapá - Consumo de Cimento (t)
2004-12-01,443130.5090266733,266126.19852307835,0.8285368553416667,330732.349468258,534835.0,0.71,6.68,0.82,0.0621806,0.711,0.638,0.424,1.71,6261937.06181048,13.298207992,-1.0,-1.0,6668.0
2005-01-01,458724.1272049334,296847.3296012817,0.8380053474666668,290255.430236755,547400.0,0.51,7.6,0.52,0.06401773913,0.711,0.638,0.424,1.74,6261937.06181048,14.5645688579,392229.0,-1.0,9759.0
2005-02-01,458724.1272049334,296847.3296012817,0.8380053474666668,290255.430236755,547400.0,0.75,0.58,0.33,0.0654687619,0.711,0.638,0.424,1.57,6344077.42160595,14.5645688579,-1.0,-1.0,4782.0
2005-03-01,458724.1272049334,296847.3296012817,0.8380053474666668,290255.430236755,547400.0,0.44,1.17,0.4,0.06729072222,0.711,0.638,0.424,1.49,6344077.42160595,14.5645688579,-1.0,-1.0,7803.0
2005-04-01,458724.1272049334,296847.3296012817,0.8380053474666668,290255.430236755,547400.0,0.67,1.79,0.99,0.068961,0.711,0.638,0.424,1.37,6344077.42160595,14.5645688579,55395.0,-1.0,4400.0
2005-05-01,458724.1272049334,296847.3296012817,0.8380053474666668,290255.430236755,547400.0,0.72,2.68,0.51,0.07010755,0.711,0.638,0.424,1.37,6344077.42160595,14.5645688579,99616.0,-1.0,4460.0
2005-06-01,458724.1272049334,296847.3296012817,0.8380053474666668,290255.430236755,547400.0,2.09,3.18,-0.25,0.07106719048,0.711,0.638,0.424,1.18,6344077.42160595,14.5645688579,26929.0,-1.0,10613.0
2005-07-01,458724.1272049334,296847.3296012817,0.8380053474666668,290255.430236755,547400.0,0.76,3.16,-0.45,0.071533,0.711,0.638,0.424,0.95,6344077.42160595,14.5645688579,52157.0,-1.0,7421.0
2005-08-01,458724.1272049334,296847.3296012817,0.8380053474666668,290255.430236755,547400.0,0.11,3.42,-0.4,0.07145590476,0.711,0.638,0.424,0.76,6344077.42160595,14.5645688579,303601.0,-1.0,11699.0
2005-09-01,458724.1272049334,296847.3296012817,0.8380053474666668,290255.430236755,547400.0,0.02,3.59,-0.79,0.07154213043,0.711,0.638,0.424,0.55,6344077.42160595,14.5645688579,49874.0,-1.0,9440.0
2005-10-01,458724.1272049334,296847.3296012817,0.8380053474666668,290255.430236755,547400.0,0.24,3.95,-0.13,0.07107052381,0.711,0.638,0.424,0.29,6344077.42160595,14.5645688579,189961.0,-1.0,7688.0
2005-11-01,458724.1272049334,296847.3296012817,0.8380053474666668,290255.430236755,547400.0,0.19,4.73,0.63,0.0698922,0.711,0.638,0.424,0.25,6344077.42160595,14.5645688579,120520.0,-1.0,11977.0
2005-12-01,458724.1272049334,296847.3296012817,0.8380053474666668,290255.430236755,547400.0,0.28,5.31,0.33,0.0686031,0.711,0.638,0.424,0.24,6344077.42160595,14.5645688579,-1.0,-1.0,14155.0
2006-01-01,478271.1302483792,332495.87116505165,0.8043753567583334,271088.52793646,594587.0,0.37,5.69,0.07,0.06651395455,0.711,0.638,0.424,0.25,6344077.42160595,11.9619293885,367087.0,-1.0,6912.0
2006-02-01,478271.1302483792,332495.87116505165,0.8043753567583334,271088.52793646,594587.0,0.34,0.59,0.72,0.06452986364,0.711,0.638,0.424,0.27,6428173.06422105,11.9619293885,-1.0,-1.0,6760.0
2006-03-01,478271.1302483792,332495.87116505165,0.8043753567583334,271088.52793646,594587.0,0.19,1.0,-0.06,0.06327316667,0.711,0.638,0.424,0.37,6428173.06422105,11.9619293885,-1.0,-1.0,14450.0
2006-04-01,478271.1302483792,332495.87116505165,0.8043753567583334,271088.52793646,594587.0,0.2,1.44,-0.45,0.06142243478,0.711,0.638,0.424,0.29,6428173.06422105,11.9619293885,49431.0,-1.0,8618.0
2006-05-01,478271.1302483792,332495.87116505165,0.8043753567583334,271088.52793646,594587.0,0.36,1.65,0.02,0.05957944444,0.711,0.638,0.424,0.12,6428173.06422105,11.9619293885,105441.0,-1.0,8818.0
2006-06-01,478271.1302483792,332495.87116505165,0.8043753567583334,271088.52793646,594587.0,1.32,1.75,0.38,0.05789063636,0.711,0.638,0.424,0.13,6428173.06422105,11.9619293885,18442.0,-1.0,7726.0
2006-07-01,478271.1302483792,332495.87116505165,0.8043753567583334,271088.52793646,594587.0,0.9,1.54,0.67,0.05608404762,0.711,0.638,0.424,0.21,6428173.06422105,11.9619293885,61742.0,-1.0,6999.0
2006-08-01,478271.1302483792,332495.87116505165,0.8043753567583334,271088.52793646,594587.0,0.47,1.73,0.17,0.05540461905,0.711,0.638,0.424,0.33,6428173.06422105,11.9619293885,342476.0,-1.0,9315.0
2006-09-01,478271.1302483792,332495.87116505165,0.8043753567583334,271088.52793646,594587.0,0.24,1.78,0.41,0.05429469565,0.711,0.638,0.424,0.44,6428173.06422105,11.9619293885,47597.0,-1.0,12122.0
2006-10-01,478271.1302483792,332495.87116505165,0.8043753567583334,271088.52793646,594587.0,0.11,2.0,0.24,0.0526018,0.711,0.638,0.424,0.6,6428173.06422105,11.9619293885,213156.0,-1.0,9287.0
2006-11-01,478271.1302483792,332495.87116505165,0.8043753567583334,271088.52793646,594587.0,0.21,2.33,0.81,0.05183728571,0.711,0.638,0.424,0.57,6428173.06422105,11.9619293885,122961.0,-1.0,14666.0
2006-12-01,478271.1302483792,332495.87116505165,0.8043753567583334,271088.52793646,594587.0,0.23,2.65,0.57,0.0507845,0.711,0.638,0.424,0.59,6428173.06422105,11.9619293885,-1.0,-1.0,9867.0
2007-01-01,550362.151634965,408533.1265823758,0.8938586060666666,329866.85105219,615715.0,0.36,3.14,0.26,0.049164,0.711,0.638,0.424,0.69,6428173.06422105,6.6666666667,489535.0,-1.0,14985.0
2007-02-01,550362.151634965,408533.1265823758,0.8938586060666666,329866.85105219,615715.0,0.45,0.44,0.43,0.04896572727,0.711,0.638,0.424,0.68,6529451.68540568,6.6666666667,-1.0,-1.0,10988.0
2007-03-01,550362.151634965,408533.1265823758,0.8938586060666666,329866.85105219,615715.0,0.21,0.88,0.23,0.04827277778,0.711,0.638,0.424,0.6,6529451.68540568,6.6666666667,-1.0,-1.0,16338.0
2007-04-01,550362.151634965,408533.1265823758,0.8938586060666666,329866.85105219,615715.0,0.27,1.26,0.22,0.04758977273,0.711,0.638,0.424,0.57,6529451.68540568,6.6666666667,61939.0,-1.0,8870.0
2007-05-01,550362.151634965,408533.1265823758,0.8938586060666666,329866.85105219,615715.0,0.46,1.51,0.14,0.04703045,0.711,0.638,0.424,0.54,6529451.68540568,6.6666666667,134265.0,-1.0,11095.0
2007-06-01,550362.151634965,408533.1265823758,0.8938586060666666,329866.85105219,615715.0,1.15,1.79,0.16,0.046503,0.711,0.638,0.424,0.48,6529451.68540568,6.6666666667,17028.0,-1.0,6493.0
2007-07-01,550362.151634965,408533.1265823758,0.8938586060666666,329866.85105219,615715.0,0.92,2.08,0.26,0.0450878,0.711,0.638,0.424,0.39,6529451.68540568,6.6666666667,68896.0,-1.0,9051.0
2007-08-01,550362.151634965,408533.1265823758,0.8938586060666666,329866.85105219,615715.0,0.31,2.32,0.37,0.04400663636,0.711,0.638,0.424,0.3,6529451.68540568,6.6666666667,441662.0,-1.0,11339.0
2007-09-01,550362.151634965,408533.1265823758,0.8938586060666666,329866.85105219,615715.0,0.26,2.8,1.39,0.04295447826,0.711,0.638,0.424,0.28,6529451.68540568,6.6666666667,40816.0,-1.0,15643.0
2007-10-01,550362.151634965,408533.1265823758,0.8938586060666666,329866.85105219,615715.0,0.51,2.99,1.17,0.04220568421,0.711,0.638,0.424,0.4,6529451.68540568,6.6666666667,199581.0,-1.0,5969.0
2007-11-01,550362.151634965,408533.1265823758,0.8938586060666666,329866.85105219,615715.0,0.51,3.3,0.75,0.04206336364,0.711,0.638,0.424,0.5,6529451.68540568,6.6666666667,121051.0,-1.0,10398.0
2007-12-01,550362.151634965,408533.1265823758,0.8938586060666666,329866.85105219,615715.0,0.36,3.69,1.05,0.042065,0.711,0.638,0.424,0.52,6529451.68540568,6.6666666667,-1.0,-1.0,13877.0
2008-01-01,590425.1622533817,466492.3397723308,0.9311730360166668,334539.292752906,587311.0,0.59,4.46,1.47,0.042065,0.711,0.638,0.424,0.47,6529451.68540568,16.3316041439,522608.0,-1.0,9107.0
2008-02-01,590425.1622533817,466492.3397723308,0.9311730360166668,334539.292752906,587311.0,0.38,0.54,0.99,0.04205845455,0.711,0.638,0.424,0.63,6647965.94362564,16.3316041439,-1.0,-1.0,7360.0
2008-03-01,590425.1622533817,466492.3397723308,0.9311730360166668,334539.292752906,587311.0,0.4,1.03,0.38,0.04206310526,0.711,0.638,0.424,0.65,6647965.94362564,16.3316041439,-1.0,-1.0,13530.0
2008-04-01,590425.1622533817,466492.3397723308,0.9311730360166668,334539.292752906,587311.0,0.66,1.52,0.7,0.0420614,0.711,0.638,0.424,0.7,6647965.94362564,16.3316041439,82962.0,-1.0,6724.0
2008-05-01,590425.1622533817,466492.3397723308,0.9311730360166668,334539.292752906,587311.0,0.87,2.08,1.12,0.04274185714,0.711,0.638,0.424,0.83,6647965.94362564,16.3316041439,155991.0,-1.0,9963.0
2008-06-01,590425.1622533817,466492.3397723308,0.9311730360166668,334539.292752906,587311.0,2.02,2.88,1.88,0.0436576,0.711,0.638,0.424,0.93,6647965.94362564,16.3316041439,24179.0,-1.0,10101.0
2008-07-01,590425.1622533817,466492.3397723308,0.9311730360166668,334539.292752906,587311.0,1.92,3.64,1.89,0.04529861905,0.711,0.638,0.424,1.14,6647965.94362564,16.3316041439,71815.0,-1.0,7768.0
2008-08-01,590425.1622533817,466492.3397723308,0.9311730360166668,334539.292752906,587311.0,1.46,4.19,1.12,0.04627117391,0.711,0.638,0.424,1.33,6647965.94362564,16.3316041439,470500.0,-1.0,11920.0
2008-09-01,590425.1622533817,466492.3397723308,0.9311730360166668,334539.292752906,587311.0,1.18,4.48,-0.38,0.04822657143,0.711,0.638,0.424,1.42,6647965.94362564,16.3316041439,54387.0,-1.0,7539.0
2008-10-01,590425.1622533817,466492.3397723308,0.9311730360166668,334539.292752906,587311.0,0.95,4.76,0.36,0.04987840909,0.711,0.638,0.424,1.23,6647965.94362564,16.3316041439,232247.0,-1.0,11505.0
2008-11-01,590425.1622533817,466492.3397723308,0.9311730360166668,334539.292752906,587311.0,0.77,5.23,1.09,0.05083973913,0.711,0.638,0.424,1.22,6647965.94362564,16.3316041439,178036.0,-1.0,10349.0
2008-12-01,590425.1622533817,466492.3397723308,0.9311730360166668,334539.292752906,587311.0,0.5,5.61,0.07,0.050753,0.711,0.638,0.424,1.24,6647965.94362564,16.3316041439,-1.0,-1.0,10500.0
2009-01-01,629386.474466215,540929.0943788242,1.026453643,472765.138458245,613164.0,0.17,5.9,-0.44,0.050823,0.711,0.638,0.424,1.13,6647965.94362564,15.1932547748,685870.0,-1.0,11810.0
2009-02-01,629386.474466215,540929.0943788242,1.026453643,472765.138458245,613164.0,0.33,0.48,0.01,0.04964833333,0.711,0.638,0.424,0.95,6773699.30541316,15.1932547748,-1.0,-1.0,4505.0
2009-03-01,629386.474466215,540929.0943788242,1.026453643,472765.138458245,613164.0,0.27,1.03,-0.13,0.047314,0.711,0.638,0.424,0.87,6773699.30541316,15.1932547748,-1.0,-1.0,9672.0
2009-04-01,629386.474466215,540929.0943788242,1.026453643,472765.138458245,613164.0,-0.25,1.23,-0.84,0.04392790909,0.711,0.638,0.424,0.82,6773699.30541316,15.1932547748,100837.0,-1.0,6741.0
2009-05-01,629386.474466215,540929.0943788242,1.026453643,472765.138458245,613164.0,-0.04,1.72,0.04,0.04181185,0.711,0.638,0.424,0.67,6773699.30541316,15.1932547748,163856.0,-1.0,7113.0
2009-06-01,629386.474466215,540929.0943788242,1.026453643,472765.138458245,613164.0,1.39,2.2,0.18,0.0384042,0.711,0.638,0.424,0.55,6773699.30541316,15.1932547748,23581.0,-1.0,6048.0
2009-07-01,629386.474466215,540929.0943788242,1.026453643,472765.138458245,613164.0,0.7,2.57,-0.32,0.03616333333,0.711,0.638,0.424,0.38,6773699.30541316,15.1932547748,83918.0,-1.0,8129.0
2009-08-01,629386.474466215,540929.0943788242,1.026453643,472765.138458245,613164.0,0.26,2.81,-0.64,0.03422486957,0.711,0.638,0.424,0.19,6773699.30541316,15.1932547748,453833.0,-1.0,9164.0
2009-09-01,629386.474466215,540929.0943788242,1.026453643,472765.138458245,613164.0,-0.05,2.97,0.09,0.032927,0.711,0.638,0.424,0.02,6773699.30541316,15.1932547748,71154.0,-1.0,9802.0
2009-10-01,629386.474466215,540929.0943788242,1.026453643,472765.138458245,613164.0,0.15,3.21,0.25,0.032927,0.711,0.638,0.424,0.04,6773699.30541316,15.1932547748,221734.0,-1.0,13503.0
2009-11-01,629386.474466215,540929.0943788242,1.026453643,472765.138458245,613164.0,0.06,3.5,-0.04,0.032927,0.711,0.638,0.424,0.0,6773699.30541316,15.1932547748,153963.0,-1.0,13739.0
2009-12-01,629386.474466215,540929.0943788242,1.026453643,472765.138458245,613164.0,0.29,3.93,0.07,0.032927,0.711,0.638,0.424,-0.07,6773699.30541316,15.1932547748,-1.0,-1.0,12503.0
2010-01-01,629373.5689481358,580477.94746721,1.0044119521833337,339228.046653262,626609.0,0.1,4.31,-0.11,0.03292531818,0.711,0.638,0.424,-0.06,6773699.30541316,13.7561240345,621497.0,-1.0,13688.0
2010-02-01,629373.5689481358,580477.94746721,1.0044119521833337,339228.046653262,626609.0,0.64,0.75,1.01,0.03292515,0.711,0.638,0.424,-0.02,6930862.75002851,13.7561240345,-1.0,-1.0,8696.0
2010-03-01,629373.5689481358,580477.94746721,1.0044119521833337,339228.046653262,626609.0,0.36,1.54,1.09,0.032927,0.711,0.638,0.424,0.08,6930862.75002851,13.7561240345,-1.0,-1.0,11639.0
2010-04-01,629373.5689481358,580477.94746721,1.0044119521833337,339228.046653262,626609.0,0.75,2.06,0.63,0.032927,0.711,0.638,0.424,0.18,6930862.75002851,13.7561240345,113195.0,-1.0,8572.0
2010-05-01,629373.5689481358,580477.94746721,1.0044119521833337,339228.046653262,626609.0,0.84,2.65,0.72,0.0331908,0.711,0.638,0.424,0.29,6930862.75002851,13.7561240345,178525.0,-1.0,8742.0
2010-06-01,629373.5689481358,580477.94746721,1.0044119521833337,339228.046653262,626609.0,1.81,3.09,1.57,0.03565185714,0.711,0.638,0.424,0.43,6930862.75002851,13.7561240345,21776.0,-1.0,14176.0
2010-07-01,629373.5689481358,580477.94746721,1.0044119521833337,339228.046653262,626609.0,1.09,3.09,0.34,0.0376,0.711,0.638,0.424,0.6,6930862.75002851,13.7561240345,81156.0,-1.0,15360.0
2010-08-01,629373.5689481358,580477.94746721,1.0044119521833337,339228.046653262,626609.0,0.44,3.1,0.22,0.03897777273,0.711,0.638,0.424,0.67,6930862.75002851,13.7561240345,524648.0,-1.0,14198.0
2010-09-01,629373.5689481358,580477.94746721,1.0044119521833337,339228.046653262,626609.0,0.14,3.14,1.1,0.040203,0.711,0.638,0.424,0.74,6930862.75002851,13.7561240345,66770.0,-1.0,16247.0
2010-10-01,629373.5689481358,580477.94746721,1.0044119521833337,339228.046653262,626609.0,0.21,3.6,1.1,0.040203,0.711,0.638,0.424,0.85,6930862.75002851,13.7561240345,232998.0,-1.0,12404.0
2010-11-01,629373.5689481358,580477.94746721,1.0044119521833337,339228.046653262,626609.0,0.2,4.38,1.03,0.040203,0.711,0.638,0.424,0.93,6930862.75002851,13.7561240345,175603.0,-1.0,12009.0
2010-12-01,629373.5689481358,580477.94746721,1.0044119521833337,339228.046653262,626609.0,0.37,5.25,1.58,0.040203,0.711,0.638,0.424,0.99,6930862.75002851,13.7561240345,-1.0,-1.0,15811.0
2011-01-01,633476.2198225142,633476.2198225142,0.9231830679166668,374755.81855186,669526.0,0.67,5.91,0.38,0.04020769565,0.813,0.694,0.629,1.23,6930862.75002851,13.7561240345,604622.0,-1.0,15404.0
2011-02-01,633476.2198225142,633476.2198225142,0.9231830679166668,374755.81855186,669526.0,0.41,0.83,0.98,0.04089519048,0.813,0.694,0.629,1.22,7102235.53510611,13.7561240345,-1.0,-1.0,11193.0
2011-03-01,633476.2198225142,633476.2198225142,0.9231830679166668,374755.81855186,669526.0,0.28,1.64,0.96,0.0420272,0.813,0.694,0.629,1.18,7102235.53510611,13.7561240345,-1.0,-1.0,9357.0
2011-04-01,633476.2198225142,633476.2198225142,0.9231830679166668,374755.81855186,669526.0,0.43,2.44,0.61,0.04364038095,0.813,0.694,0.629,1.15,7102235.53510611,13.7561240345,112482.0,-1.0,11456.0
2011-05-01,633476.2198225142,633476.2198225142,0.9231830679166668,374755.81855186,669526.0,1.06,3.23,0.5,0.04404368421,0.813,0.694,0.629,1.17,7102235.53510611,13.7561240345,193794.0,-1.0,15365.0
2011-06-01,633476.2198225142,633476.2198225142,0.9231830679166668,374755.81855186,669526.0,2.94,3.71,0.01,0.044698,0.813,0.694,0.629,1.11,7102235.53510611,13.7561240345,26205.0,-1.0,12067.0
2011-07-01,633476.2198225142,633476.2198225142,0.9231830679166668,374755.81855186,669526.0,0.37,3.87,-0.13,0.04533085714,0.813,0.694,0.629,0.91,7102235.53510611,13.7561240345,91550.0,-1.0,12195.0
2011-08-01,633476.2198225142,633476.2198225142,0.9231830679166668,374755.81855186,669526.0,0.45,4.04,-0.05,0.04587866667,0.813,0.694,0.629,0.84,7102235.53510611,13.7561240345,523697.0,-1.0,13571.0
2011-09-01,633476.2198225142,633476.2198225142,0.9231830679166668,374755.81855186,669526.0,0.13,4.42,0.61,0.04646017391,0.813,0.694,0.629,0.78,7102235.53510611,13.7561240345,76321.0,-1.0,13957.0
2011-10-01,633476.2198225142,633476.2198225142,0.9231830679166668,374755.81855186,669526.0,0.14,4.97,0.75,0.04464585714,0.813,0.694,0.629,0.73,7102235.53510611,13.7561240345,262848.0,-1.0,13166.0
2011-11-01,633476.2198225142,633476.2198225142,0.9231830679166668,374755.81855186,669526.0,0.23,5.43,0.4,0.04391405,0.813,0.694,0.629,0.7,7102235.53510611,13.7561240345,189860.0,-1.0,15633.0
2011-12-01,633476.2198225142,633476.2198225142,0.9231830679166668,374755.81855186,669526.0,0.72,5.97,0.43,0.042849,0.813,0.694,0.629,0.64,7102235.53510611,13.7561240345,-1.0,-1.0,18606.0
2012-01-01,670610.1555883158,726395.4798097025,0.9799814931416666,478230.497600685,684309.0,0.11,6.5,-0.16,0.04106463636,0.813,0.694,0.629,0.46,7102235.53510611,14.2148120548,618729.0,-1.0,16481.0
2012-02-01,670610.1555883158,726395.4798097025,0.9799814931416666,478230.497600685,684309.0,0.89,0.56,0.3,0.0403295,0.813,0.694,0.629,0.38,7283723.05855449,14.2148120548,-1.0,-1.0,16803.0
2012-03-01,670610.1555883158,726395.4798097025,0.9799814931416666,478230.497600685,684309.0,0.3,1.01,0.07,0.03927,0.813,0.694,0.629,0.3,7283723.05855449,14.2148120548,-1.0,-1.0,14899.0
2012-04-01,670610.1555883158,726395.4798097025,0.9799814931416666,478230.497600685,684309.0,0.51,1.22,0.56,0.037179,0.813,0.694,0.629,0.26,7283723.05855449,14.2148120548,113229.0,-1.0,18744.0
2012-05-01,670610.1555883158,726395.4798097025,0.9799814931416666,478230.497600685,684309.0,0.75,1.87,1.02,0.035474,0.813,0.694,0.629,0.25,7283723.05855449,14.2148120548,203451.0,-1.0,17009.0
2012-06-01,670610.1555883158,726395.4798097025,0.9799814931416666,478230.497600685,684309.0,1.88,2.24,0.91,0.03373136364,0.813,0.694,0.629,0.35,7283723.05855449,14.2148120548,53536.0,-1.0,17839.0
2012-07-01,670610.1555883158,726395.4798097025,0.9799814931416666,478230.497600685,684309.0,0.73,2.32,0.69,0.0319778,0.813,0.694,0.629,0.51,7283723.05855449,14.2148120548,89253.0,-1.0,29446.0
2012-08-01,670610.1555883158,726395.4798097025,0.9799814931416666,478230.497600685,684309.0,0.67,2.76,1.52,0.03080763636,0.813,0.694,0.629,0.61,7283723.05855449,14.2148120548,472190.0,-1.0,24859.0
2012-09-01,670610.1555883158,726395.4798097025,0.9799814931416666,478230.497600685,684309.0,0.26,3.18,1.29,0.02997965217,0.813,0.694,0.629,0.79,7283723.05855449,14.2148120548,105373.0,-1.0,28779.0
2012-10-01,670610.1555883158,726395.4798097025,0.9799814931416666,478230.497600685,684309.0,0.22,3.77,0.88,0.028296,0.813,0.694,0.629,0.88,7283723.05855449,14.2148120548,248417.0,-1.0,29925.0
2012-11-01,670610.1555883158,726395.4798097025,0.9799814931416666,478230.497600685,684309.0,0.21,4.38,-0.31,0.02770736364,0.813,0.694,0.629,0.89,7283723.05855449,14.2148120548,189345.0,-1.0,22249.0
2012-12-01,670610.1555883158,726395.4798097025,0.9799814931416666,478230.497600685,684309.0,0.33,5.01,0.25,0.027371,0.813,0.694,0.629,0.84,7283723.05855449,14.2148120548,-1.0,-1.0,24087.0
2013-01-01,730582.2025500926,854214.7967885,1.0457774277083334,649747.696337554,698602.0,0.16,5.84,0.66,0.02743595,0.8,0.694,0.66,0.88,7283723.05855449,10.9137897476,644776.0,-1.0,19544.0
2013-02-01,730582.2025500926,854214.7967885,1.0457774277083334,649747.696337554,698602.0,0.65,0.86,0.31,0.02726,0.8,0.694,0.66,0.98,7469859.82561107,10.9137897476,-1.0,-1.0,22741.0
2013-03-01,730582.2025500926,854214.7967885,1.0457774277083334,649747.696337554,698602.0,0.6,1.47,0.2,0.0273115,0.8,0.694,0.66,1.0,7469859.82561107,8.0,-1.0,-1.0,25145.0
2013-04-01,730582.2025500926,854214.7967885,1.0457774277083334,649747.696337554,698602.0,0.5,1.94,0.31,0.02739875,0.8,0.694,0.66,1.03,7469859.82561107,7.8,141418.0,-1.0,22572.0
