,Alagoas - PIB - Estadual,Alagoas - PIB - Construção Civil,Alagoas - PIB - Per Capita,Alagoas - PIB - Preços de Mercado
2006-3,27020770.42596665,1349698.5561765577,7.656539544493436,23927888.97817989
2006-4,27045525.929477282,1350730.8208610187,7.65813571135674,23934003.85467757
2006-5,27070281.432987917,1351763.08554548,7.659731878220044,23940118.731175244
2006-6,27095036.936498553,1352795.3502299413,7.661328045083349,23946233.607672922
2006-7,27119792.440009184,1353827.6149144024,7.6629242119466525,23952348.4841706
2006-8,27144547.94351982,1354859.8795988634,7.664520378809957,23958463.360668276
2006-9,27169303.447030455,1355892.1442833247,7.666116545673262,23964578.237165954
2006-10,27194058.95054109,1356924.408967786,7.667712712536566,23970693.11366363
2006-11,27218814.454051726,1357956.673652247,7.66930887939987,23976807.990161307
2006-12,27243569.957562357,1358988.9383367081,7.670905046263174,23982922.866658982
2007-1,27268325.461072993,1360021.2030211694,7.672501213126479,23989037.74315666
2007-2,27288733.982250713,1360849.563817445,7.673491697329826,23991790.002863195
2007-3,27309142.50342843,1361677.9246137205,7.674482181533174,23994542.26256973
2007-4,27329551.02460615,1362506.2854099963,7.675472665736521,23997294.522276264
2007-5,27349959.54578387,1363334.6462062718,7.6764631499398694,24000046.781982798
2007-6,27370368.066961586,1364163.0070025474,7.677453634143217,24002799.041689333
2007-7,27390776.588139307,1364991.367798823,7.678444118346564,24005551.301395867
2007-8,27411185.109317027,1365819.7285950985,7.679434602549912,24008303.5611024
2007-9,27431593.630494744,1366648.089391374,7.680425086753259,24011055.820808936
2007-10,27452002.151672464,1367476.4501876496,7.681415570956608,24013808.08051547
2007-11,27472410.672850184,1368304.8109839254,7.682406055159955,24016560.340222005
2007-12,27492819.1940279,1369133.171780201,7.683396539363303,24019312.59992854
2008-1,27513227.71520562,1369961.5325764765,7.68438702356665,24022064.859635074
2008-2,27529452.47672982,1370170.061333027,7.684828283301007,24023420.108781267
2008-3,27545677.23825402,1370378.5900895773,7.685269543035363,24024775.357927456
2008-4,27561901.999778222,1370587.1188461278,7.68571080276972,24026130.60707365
2008-5,27578126.761302423,1370795.6476026783,7.686152062504077,24027485.856219843
2008-6,27594351.522826623,1371004.1763592286,7.6865933222384335,24028841.105366033
2008-7,27610576.284350824,1371212.705115779,7.6870345819727905,24030196.354512226
2008-8,27626801.045875024,1371421.2338723296,7.687475841707148,24031551.60365842
2008-9,27643025.807399224,1371629.7626288799,7.687917101441504,24032906.85280461
2008-10,27659250.568923425,1371838.2913854304,7.688358361175861,24034262.101950802
2008-11,27675475.330447625,1372046.820141981,7.688799620910218,24035617.351096995
2008-12,27691700.091971826,1372255.3488985312,7.689240880644574,24036972.600243185
2009-1,27707924.853496026,1372463.8776550817,7.689682140378931,24038327.849389378
2009-2,27767829.510708407,1372252.3249476065,7.692905719728611,24053337.97235246
2009-3,27827734.167920787,1372040.7722401314,7.696129299078291,24068348.095315546
2009-4,27887638.825133167,1371829.2195326565,7.699352878427971,24083358.218278628
2009-5,27947543.482345548,1371617.6668251813,7.70257645777765,24098368.341241714
2009-6,28007448.139557928,1371406.1141177062,7.7058000371273305,24113378.464204796
2009-7,28067352.796770304,1371194.561410231,7.70902361647701,24128388.58716788
2009-8,28127257.453982685,1370983.008702756,7.71224719582669,24143398.710130963
2009-9,28187162.111195065,1370771.4559952808,7.71547077517637,24158408.833094046
2009-10,28247066.768407445,1370559.9032878056,7.71869435452605,24173418.95605713
2009-11,28306971.425619826,1370348.3505803307,7.721917933875729,24188429.079020213
2009-12,28366876.082832206,1370136.7978728556,7.7251415132254095,24203439.2019833
2010-1,28426780.740044586,1369925.2451653804,7.728365092575089,24218449.32494638
2010-2,28483842.16594082,1369353.9698684057,7.73168499524205,24232307.621970966
2010-3,28540903.591837056,1368782.6945714313,7.735004897909011,24246165.918995548
2010-4,28597965.017733287,1368211.4192744566,7.738324800575971,24260024.216020133
2010-5,28655026.443629522,1367640.143977482,7.741644703242932,24273882.513044715
2010-6,28712087.869525757,1367068.8686805074,7.744964605909893,24287740.8100693
2010-7,28769149.295421988,1366497.593383533,7.7482845085768535,24301599.107093886
2010-8,28826210.721318223,1365926.3180865583,7.7516044112438145,24315457.404118467
2010-9,28883272.147214457,1365355.0427895836,7.7549243139107755,24329315.701143052
2010-10,28940333.573110692,1364783.767492609,7.7582442165777366,24343173.998167634
2010-11,28997394.999006927,1364212.4921956344,7.761564119244698,24357032.29519222
2010-12,29054456.424903158,1363641.21689866,7.764884021911658,24370890.5922168
2011-1,29111517.850799393,1363069.9416016852,7.768203924578619,24384748.889241386
2011-2,29160978.83872524,1361943.6517100749,7.769573541349388,24393901.539111026
2011-3,29210439.82665109,1360817.3618184642,7.770943158120158,24403054.18898066
2011-4,29259900.814576935,1359691.0719268539,7.772312774890927,24412206.8388503
2011-5,29309361.80250278,1358564.7820352432,7.773682391661696,24421359.48871994
2011-6,29358822.79042863,1357438.4921436328,7.775052008432465,24430512.138589576
2011-7,29408283.778354477,1356312.2022520225,7.776421625203234,24439664.788459215
2011-8,29457744.766280323,1355185.9123604118,7.777791241974004,24448817.438328855
2011-9,29507205.754206173,1354059.6224688014,7.779160858744773,24457970.08819849
2011-10,29556666.74213202,1352933.3325771908,7.780530475515542,24467122.73806813
2011-11,29606127.730057865,1351807.0426855804,7.781900092286312,24476275.38793777
2011-12,29655588.717983715,1350680.7527939698,7.783269709057081,24485428.037807405
2012-1,29705049.70590956,1349554.4629023594,7.78463932582785,24494580.687677044
2012-2,29749475.390510883,1348587.9073910639,7.785787429348307,24502537.03230934
2012-3,29793901.0751122,1347621.3518797683,7.786935532868765,24510493.376941632
2012-4,29838326.759713523,1346654.7963684727,7.788083636389222,24518449.721573927
2012-5,29882752.44431484,1345688.240857177,7.789231739909679,24526406.06620622
2012-6,29927178.128916163,1344721.6853458814,7.790379843430136,24534362.410838515
2012-7,29971603.81351748,1343755.1298345858,7.791527946950593,24542318.755470805
2012-8,30016029.498118803,1342788.5743232903,7.792676050471051,24550275.1001031
2012-9,30060455.182720125,1341822.0188119947,7.793824153991507,24558231.444735393
2012-10,30104880.867321443,1340855.463300699,7.794972257511965,24566187.789367687
2012-11,30149306.551922765,1339888.9077894033,7.796120361032422,24574144.13399998
2012-12,30193732.236524083,1338922.3522781078,7.79726846455288,24582100.478632275
2013-1,30238157.921125405,1337955.7967668122,7.798416568073336,24590056.82326457
2013-2,30277477.07853373,1336852.31455877,7.8002661384362835,24597354.721387345
2013-3,30316796.235942055,1335748.832350728,7.802115708799231,24604652.61951012
2013-4,30356115.393350378,1334645.350142686,7.8039652791621785,24611950.517632894
2013-5,30395434.550758705,1333541.8679346438,7.805814849525126,24619248.41575567
2013-6,30434753.70816703,1332438.3857266016,7.807664419888073,24626546.313878447
2013-7,30474072.865575355,1331334.9035185594,7.80951399025102,24633844.212001223
2013-8,30513392.022983678,1330231.4213105175,7.811363560613968,24641142.110124
2013-9,30552711.180392005,1329127.9391024753,7.813213130976915,24648440.008246776
2013-10,30592030.33780033,1328024.4568944331,7.815062701339862,24655737.906369552
2013-11,30631349.495208655,1326920.9746863912,7.81691227170281,24663035.804492325
2013-12,30670668.652616978,1325817.492478349,7.818761842065757,24670333.7026151
2014-1,30709987.810025305,1324714.0102703068,7.820611412428704,24677631.600737877
2014-2,30740497.993091226,1323554.7590457525,7.822022607469636,24682721.465064004
2014-3,30771008.176157147,1322395.507821198,7.823433802510568,24687811.32939013
2014-4,30801518.359223068,1321236.2565966437,7.8248449975515,24692901.193716258
