,Maranhão - Desemprego
2012-2,10.376157001089627
2012-3,10.450111926477177
2012-4,10.524066851864728
2012-5,10.598021777252278
2012-6,10.671976702639828
2012-7,10.745931628027378
2012-8,10.819886553414927
2012-9,10.893841478802477
2012-10,10.967796404190027
2012-11,11.041751329577577
2012-12,11.115706254965128
2013-1,11.189661180352678
2013-2,11.256066155894503
2013-3,11.322471131436329
2013-4,11.388876106978154
2013-5,11.45528108251998
2013-6,11.521686058061805
2013-7,11.588091033603632
2013-8,11.654496009145458
2013-9,11.720900984687283
2013-10,11.787305960229109
2013-11,11.853710935770934
2013-12,11.92011591131276
2014-1,11.986520886854585
2014-2,12.031764336825551
2014-3,12.07700778679652
2014-4,12.122251236767486
2014-5,12.167494686738454
2014-6,12.21273813670942
2014-7,12.257981586680387
2014-8,12.303225036651355
2014-9,12.348468486622322
2014-10,12.39371193659329
2014-11,12.438955386564256
2014-12,12.484198836535224
2015-1,12.52944228650619
2015-2,12.548851904845579
2015-3,12.568261523184967
2015-4,12.587671141524353
2015-5,12.607080759863742
2015-6,12.62649037820313
2015-7,12.645899996542518
2015-8,12.665309614881906
2015-9,12.684719233221294
2015-10,12.704128851560682
2015-11,12.723538469900069
2015-12,12.742948088239457
2016-1,12.762357706578845
2016-2,12.73717245885875
2016-3,12.711987211138654
2016-4,12.686801963418558
2016-5,12.661616715698463
2016-6,12.636431467978367
2016-7,12.611246220258273
2016-8,12.586060972538178
2016-9,12.560875724818082
2016-10,12.535690477097987
2016-11,12.510505229377891
2016-12,12.485319981657796
2017-1,12.4601347339377
2017-2,12.448359894393626
2017-3,12.43658505484955
2017-4,12.424810215305476
2017-5,12.4130353757614
2017-6,12.401260536217325
2017-7,12.389485696673251
2017-8,12.377710857129175
2017-9,12.365936017585101
2017-10,12.354161178041025
2017-11,12.34238633849695
2017-12,12.330611498952875
2018-1,12.3188366594088
2018-2,12.309302046347835
2018-3,12.29976743328687
2018-4,12.290232820225905
2018-5,12.280698207164939
2018-6,12.271163594103973
2018-7,12.261628981043007
2018-8,12.252094367982043
2018-9,12.242559754921077
2018-10,12.23302514186011
2018-11,12.223490528799147
2018-12,12.21395591573818
2019-1,12.204421302677215
2019-2,12.190661184823714
2019-3,12.176901066970213
2019-4,12.163140949116713
2019-5,12.149380831263212
2019-6,12.135620713409711
2019-7,12.12186059555621
2019-8,12.10810047770271
2019-9,12.094340359849209
2019-10,12.080580241995708
2019-11,12.066820124142208
2019-12,12.053060006288707
2020-1,12.039299888435206
2020-2,12.022864287447977
2020-3,12.006428686460746
2020-4,11.989993085473516
2020-5,11.973557484486285
2020-6,11.957121883499056
2020-7,11.940686282511827
2020-8,11.924250681524596
2020-9,11.907815080537366
2020-10,11.891379479550135
2020-11,11.874943878562906
2020-12,11.858508277575675
2021-1,11.842072676588446
2021-2,11.843300062374732
2021-3,11.844527448161019
2021-4,11.845754833947307
2021-5,11.846982219733594
2021-6,11.84820960551988
2021-7,11.849436991306167
2021-8,11.850664377092453
2021-9,11.85189176287874
2021-10,11.853119148665026
2021-11,11.854346534451315
2021-12,11.855573920237601
2022-1,11.856801306023888
