,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
2004,9.311193824223999,9.359775644820154,9.185784922409042,9.064928173357524,8.86123777763373,8.762381663138683,8.769148870195671,8.56137545531403,8.578621929981216,8.60962887792867,8.635669270322323,8.591247259686112,8.630636135974488,8.717591248795763,8.718236226391904,8.67476263366568,8.533988994545886,8.665197210051291,8.734091140419856,8.626929203157628,8.592728798356061,8.683237495409989,8.609666272073321,8.67762549762048,8.825474886176798,8.718949242508703,8.581635785576593
2005,10.218186572004,10.234892555842462,10.135739223131349,10.035988946184363,9.964657818691194,9.923663549768646,9.95341019030452,9.821758320771353,9.802955927018443,9.802698554737642,9.886934124676074,9.905170956071482,9.931226101388946,9.977269662447796,9.987494935590306,10.035658813652912,9.937498750454871,10.052554493079125,10.147183583845019,10.046612706168908,9.97509260900109,10.06005755955298,9.806929589336425,9.903231991656295,10.088225099643566,9.933725057304454,9.84857288180711
2006,8.758448368567999,8.821647785133383,8.68364705141857,8.655974697159998,8.72965277236222,8.673391609534896,8.685116162302855,8.576040781965922,8.615779101283179,8.65159165098626,8.659173010019085,8.656241935827198,8.663316185168949,8.647266215634463,8.624554447646851,8.62224865735229,8.523256141332004,8.644360933918374,8.692068056148685,8.572266793594933,8.529550564016967,8.55964389067315,8.509692069361046,8.568396347470713,8.694517138158519,8.630599000818096,8.559179694338209
2007,9.097828163324,9.241464463677845,9.18483540569266,9.071726710318314,8.8028423609264,8.745768758327378,8.777744339476541,8.660380453397893,8.580922921864483,8.594372927800205,8.605518384500213,8.619814328859478,8.698931294783904,8.709269536316642,8.708772696220962,8.716641875521738,8.558689297881802,8.704939703947796,8.796953392360676,8.741319025825886,8.692865745097215,8.704931406004519,8.580147429119503,8.626485645153558,8.753515295718504,8.701187678303619,8.646782787904796
2008,7.960126087156001,7.977401216994462,7.921418801724092,7.843975605865724,7.57178008109038,7.462080685727061,7.479245356931767,7.340134082536647,7.3809367012528195,7.387016748876999,7.412751797442813,7.438592616751806,7.422718916635206,7.467199587880956,7.4928087246765465,7.479287527549752,7.358371266429372,7.445492080815645,7.536208998149557,7.4576392950143555,7.414125947451924,7.39046453163533,7.391949256566267,7.4404962150168705,7.540222993406384,7.489984127812412,7.442374572213628
2009,9.374299919368,9.460605926233384,9.303450858592644,9.187214953318296,9.017996098459715,8.956812835650815,8.99552219861566,8.904112233119944,8.919913467950314,8.9352140835744,8.956388368980859,8.98813233432089,9.054021865229071,9.135046275744962,9.093975847754036,9.066505844893074,8.917306047503928,9.054656208055926,9.13830121079133,9.134203085416935,9.039410897706452,9.036362192399283,8.9518321349437,9.035528068671246,9.160993533829439,9.043375822906011,8.996394462657157
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,7.825639226831999,7.894459801393538,7.7804275172416855,7.725052963054342,7.484691515211909,7.372655666334572,7.419146412854371,7.402129681782311,7.3809951119927675,7.471233065255462,7.4470474167389975,7.484699786658962,7.58178216484633,7.579829554807305,7.50431991605202,7.398144566931726,7.318743219855122,7.329165665097903,7.415658488108937,7.3842699768388975,7.267905459799597,7.381064196792176,7.292647260980775,7.377016269739322,7.516696221959297,7.449417016443396,7.443735650711127
2012,7.349562360752,7.286963723425078,7.073233808502856,7.0020338502362955,6.857154002185787,6.7340242348445205,6.739741677298021,6.678489555772022,6.711604641919133,6.777834926871694,6.776047290766941,6.797081507784236,6.910499161098467,6.971735474320632,6.941115630280656,6.86552696189105,6.738822297812941,6.78021085247268,6.850407297090187,6.851194346689823,6.80430661116352,6.819511794380687,6.695104575283676,6.75943742949048,6.89331592249383,6.813867888710586,6.812508765534429
2013,8.001144466668,7.88983149109877,7.662860357532104,7.5690933280221815,7.3641178096748545,7.27148673371096,7.266060263900255,7.189982186644709,7.2271442217574755,7.282356487859605,7.217970893728479,7.2397984047591635,7.36470931131691,7.456010227054573,7.376862289075113,7.285823716944561,7.218817619420286,7.227396287895112,7.327917910065302,7.316863131056608,7.150115851021668,7.1889672619076554,7.160529225711643,7.2470859777083705,7.390955030016088,7.29323693493394,7.294364926556703
2014,7.902694560272,7.829175576691231,7.58132388288012,7.460787827712716,7.354704883387262,7.257302303534939,7.221091419543639,7.13760514007859,7.137404672037056,7.210324416756946,7.177239680292389,7.181585980584699,7.281279847313762,7.3728671535920505,7.286199346991755,7.241126284047006,7.1585763311746735,7.201105809314476,7.296695577000197,7.267221341829834,7.086769218486495,7.148724324085993,7.108172902437327,7.186088654723895,7.336171854091447,7.2637675596995575,7.215841655951873
