,Piauí - Desemprego
2011-7,8.516488344316166
2011-8,8.61351775945761
2011-9,8.710547174599055
2011-10,8.807576589740501
2011-11,8.904606004881945
2011-12,9.00163542002339
2012-1,9.098664835164836
2012-2,9.163343708936365
2012-3,9.228022582707894
2012-4,9.292701456479422
2012-5,9.357380330250951
2012-6,9.42205920402248
2012-7,9.486738077794008
2012-8,9.551416951565537
2012-9,9.616095825337066
2012-10,9.680774699108595
2012-11,9.745453572880123
2012-12,9.810132446651652
2013-1,9.87481132042318
2013-2,9.927655760526076
2013-3,9.980500200628972
2013-4,10.033344640731867
2013-5,10.086189080834764
2013-6,10.139033520937659
2013-7,10.191877961040554
2013-8,10.24472240114345
2013-9,10.297566841246345
2013-10,10.350411281349242
2013-11,10.403255721452137
2013-12,10.456100161555034
2014-1,10.508944601657928
2014-2,10.546982610180304
2014-3,10.58502061870268
2014-4,10.623058627225056
2014-5,10.661096635747432
2014-6,10.699134644269808
2014-7,10.737172652792186
2014-8,10.775210661314562
2014-9,10.813248669836938
2014-10,10.851286678359314
2014-11,10.88932468688169
2014-12,10.927362695404065
2015-1,10.965400703926441
2015-2,10.985268072313369
2015-3,11.005135440700297
2015-4,11.025002809087226
2015-5,11.044870177474154
2015-6,11.064737545861082
2015-7,11.08460491424801
2015-8,11.104472282634937
2015-9,11.124339651021865
2015-10,11.144207019408793
2015-11,11.164074387795722
2015-12,11.18394175618265
2016-1,11.203809124569577
2016-2,11.201244724869056
2016-3,11.198680325168535
2016-4,11.196115925468014
2016-5,11.193551525767495
2016-6,11.190987126066974
2016-7,11.188422726366452
2016-8,11.185858326665931
2016-9,11.18329392696541
2016-10,11.18072952726489
2016-11,11.17816512756437
2016-12,11.175600727863849
2017-1,11.173036328163327
2017-2,11.161722908569603
2017-3,11.150409488975878
2017-4,11.139096069382154
2017-5,11.12778264978843
2017-6,11.116469230194705
2017-7,11.10515581060098
2017-8,11.093842391007255
2017-9,11.08252897141353
2017-10,11.071215551819806
2017-11,11.059902132226082
2017-12,11.048588712632357
2018-1,11.037275293038633
2018-2,11.035498068703955
2018-3,11.033720844369277
2018-4,11.0319436200346
2018-5,11.030166395699924
2018-6,11.028389171365246
2018-7,11.026611947030569
2018-8,11.024834722695891
2018-9,11.023057498361213
2018-10,11.021280274026537
2018-11,11.01950304969186
2018-12,11.017725825357182
2019-1,11.015948601022505
2019-2,11.00475474291411
2019-3,10.993560884805715
2019-4,10.982367026697322
2019-5,10.971173168588926
2019-6,10.959979310480533
2019-7,10.948785452372139
2019-8,10.937591594263743
2019-9,10.92639773615535
2019-10,10.915203878046954
2019-11,10.90401001993856
2019-12,10.892816161830165
2020-1,10.881622303721771
2020-2,10.874250836203235
2020-3,10.8668793686847
2020-4,10.859507901166163
2020-5,10.852136433647626
2020-6,10.844764966129091
2020-7,10.837393498610554
2020-8,10.830022031092017
2020-9,10.822650563573482
2020-10,10.815279096054946
2020-11,10.807907628536409
2020-12,10.800536161017874
2021-1,10.793164693499337
2021-2,10.799668719482792
2021-3,10.806172745466247
2021-4,10.812676771449702
2021-5,10.819180797433157
2021-6,10.825684823416612
2021-7,10.832188849400065
2021-8,10.83869287538352
2021-9,10.845196901366975
2021-10,10.85170092735043
2021-11,10.858204953333885
2021-12,10.86470897931734
2022-1,10.871213005300795
