,Ceará - Desemprego
2011-4,8.459897558723158
2011-5,8.610892717598805
2011-6,8.761887876474454
2011-7,8.912883035350102
2011-8,9.06387819422575
2011-9,9.214873353101398
2011-10,9.365868511977045
2011-11,9.516863670852693
2011-12,9.66785882972834
2012-1,9.818853988603989
2012-2,9.852438153540206
2012-3,9.886022318476423
2012-4,9.91960648341264
2012-5,9.953190648348857
2012-6,9.986774813285074
2012-7,10.02035897822129
2012-8,10.053943143157507
2012-9,10.087527308093724
2012-10,10.121111473029941
2012-11,10.154695637966158
2012-12,10.188279802902375
2013-1,10.221863967838592
2013-2,10.257743766311341
2013-3,10.293623564784088
2013-4,10.329503363256837
2013-5,10.365383161729584
2013-6,10.401262960202333
2013-7,10.43714275867508
2013-8,10.473022557147829
2013-9,10.508902355620577
2013-10,10.544782154093324
2013-11,10.580661952566073
2013-12,10.61654175103882
2014-1,10.652421549511569
2014-2,10.683088202782866
2014-3,10.71375485605416
2014-4,10.744421509325457
2014-5,10.775088162596752
2014-6,10.805754815868049
2014-7,10.836421469139346
2014-8,10.86708812241064
2014-9,10.897754775681937
2014-10,10.928421428953232
2014-11,10.959088082224529
2014-12,10.989754735495824
2015-1,11.02042138876712
2015-2,11.024819532151925
2015-3,11.029217675536728
2015-4,11.033615818921533
2015-5,11.038013962306337
2015-6,11.04241210569114
2015-7,11.046810249075945
2015-8,11.05120839246075
2015-9,11.055606535845552
2015-10,11.060004679230357
2015-11,11.064402822615161
2015-12,11.068800965999964
2016-1,11.073199109384769
2016-2,11.043173097115039
2016-3,11.013147084845308
2016-4,10.983121072575578
2016-5,10.953095060305849
2016-6,10.923069048036119
2016-7,10.89304303576639
2016-8,10.863017023496658
2016-9,10.832991011226929
2016-10,10.802964998957199
2016-11,10.772938986687468
2016-12,10.742912974417738
2017-1,10.712886962148009
2017-2,10.701910185950773
2017-3,10.690933409753539
2017-4,10.679956633556303
2017-5,10.668979857359068
2017-6,10.658003081161834
2017-7,10.647026304964598
2017-8,10.636049528767362
2017-9,10.625072752570128
2017-10,10.614095976372893
2017-11,10.603119200175657
2017-12,10.592142423978423
2018-1,10.581165647781187
2018-2,10.582313563225853
2018-3,10.58346147867052
2018-4,10.584609394115187
2018-5,10.585757309559853
2018-6,10.586905225004518
2018-7,10.588053140449185
2018-8,10.589201055893852
2018-9,10.590348971338518
2018-10,10.591496886783183
2018-11,10.59264480222785
2018-12,10.593792717672518
2019-1,10.594940633117183
2019-2,10.590363634658466
2019-3,10.58578663619975
2019-4,10.581209637741031
2019-5,10.576632639282314
2019-6,10.572055640823597
2019-7,10.567478642364879
2019-8,10.562901643906162
2019-9,10.558324645447446
2019-10,10.553747646988729
2019-11,10.549170648530012
2019-12,10.544593650071294
2020-1,10.540016651612577
2020-2,10.527802331320752
2020-3,10.515588011028926
2020-4,10.503373690737101
2020-5,10.491159370445276
2020-6,10.47894505015345
2020-7,10.466730729861627
2020-8,10.454516409569802
2020-9,10.442302089277977
2020-10,10.430087768986152
2020-11,10.417873448694326
2020-12,10.405659128402501
2021-1,10.393444808110676
2021-2,10.391254726681424
2021-3,10.389064645252171
2021-4,10.38687456382292
2021-5,10.384684482393666
2021-6,10.382494400964415
2021-7,10.380304319535163
2021-8,10.37811423810591
2021-9,10.375924156676659
2021-10,10.373734075247405
2021-11,10.371543993818154
2021-12,10.3693539123889
2022-1,10.36716383095965
