,Rio de Janeiro - Desemprego
2012-6,10.33723720048587
2012-7,10.426417424465829
2012-8,10.515597648445787
2012-9,10.604777872425744
2012-10,10.693958096405701
2012-11,10.78313832038566
2012-12,10.87231854436562
2013-1,10.961498768345576
2013-2,11.031410019316123
2013-3,11.10132127028667
2013-4,11.171232521257217
2013-5,11.241143772227764
2013-6,11.31105502319831
2013-7,11.380966274168856
2013-8,11.450877525139402
2013-9,11.52078877610995
2013-10,11.590700027080496
2013-11,11.660611278051043
2013-12,11.73052252902159
2014-1,11.800433779992137
2014-2,11.856345556368016
2014-3,11.912257332743897
2014-4,11.968169109119776
2014-5,12.024080885495655
2014-6,12.079992661871536
2014-7,12.135904438247415
2014-8,12.191816214623294
2014-9,12.247727990999175
2014-10,12.303639767375055
2014-11,12.359551543750934
2014-12,12.415463320126815
2015-1,12.471375096502694
2015-2,12.504238746857862
2015-3,12.53710239721303
2015-4,12.569966047568197
2015-5,12.602829697923365
2015-6,12.635693348278533
2015-7,12.6685569986337
2015-8,12.701420648988869
2015-9,12.734284299344036
2015-10,12.767147949699204
2015-11,12.800011600054372
2015-12,12.83287525040954
2016-1,12.865738900764708
2016-2,12.854312083892367
2016-3,12.842885267020026
2016-4,12.831458450147686
2016-5,12.820031633275345
2016-6,12.808604816403005
2016-7,12.797177999530664
2016-8,12.785751182658322
2016-9,12.774324365785981
2016-10,12.76289754891364
2016-11,12.7514707320413
2016-12,12.74004391516896
2017-1,12.728617098296619
2017-2,12.71599286405069
2017-3,12.70336862980476
2017-4,12.690744395558832
2017-5,12.678120161312904
2017-6,12.665495927066976
2017-7,12.652871692821048
2017-8,12.640247458575118
2017-9,12.62762322432919
2017-10,12.614998990083262
2017-11,12.602374755837332
2017-12,12.589750521591403
2018-1,12.577126287345475
2018-2,12.574394517823997
2018-3,12.571662748302517
2018-4,12.568930978781038
2018-5,12.566199209259558
2018-6,12.56346743973808
2018-7,12.560735670216602
2018-8,12.558003900695121
2018-9,12.555272131173643
2018-10,12.552540361652163
2018-11,12.549808592130685
2018-12,12.547076822609204
2019-1,12.544345053087726
2019-2,12.53968801382525
2019-3,12.535030974562773
2019-4,12.530373935300297
2019-5,12.52571689603782
2019-6,12.521059856775343
2019-7,12.516402817512866
2019-8,12.51174577825039
2019-9,12.507088738987914
2019-10,12.502431699725436
2019-11,12.49777466046296
2019-12,12.493117621200483
2020-1,12.488460581938007
2020-2,12.48832999578387
2020-3,12.48819940962973
2020-4,12.488068823475594
2020-5,12.487938237321455
2020-6,12.487807651167318
2020-7,12.48767706501318
2020-8,12.487546478859041
2020-9,12.487415892704904
2020-10,12.487285306550765
2020-11,12.487154720396628
2020-12,12.487024134242489
2021-1,12.486893548088352
2021-2,12.488213276567054
2021-3,12.489533005045756
2021-4,12.490852733524457
2021-5,12.49217246200316
2021-6,12.493492190481861
2021-7,12.494811918960561
2021-8,12.496131647439263
2021-9,12.497451375917965
2021-10,12.498771104396667
2021-11,12.500090832875369
2021-12,12.50141056135407
2022-1,12.502730289832773
