,São Paulo - Desemprego
2019-10,11.08307963024874
2019-11,11.070213380469713
2019-12,11.057347130690687
2020-1,11.04448088091166
2020-2,11.027869854593073
2020-3,11.011258828274485
2020-4,10.994647801955898
2020-5,10.97803677563731
2020-6,10.961425749318723
2020-7,10.944814723000135
2020-8,10.928203696681546
2020-9,10.911592670362959
2020-10,10.894981644044371
2020-11,10.878370617725784
2020-12,10.861759591407196
2021-1,10.845148565088609
2021-2,10.845917870119713
2021-3,10.84668717515082
2021-4,10.847456480181924
2021-5,10.84822578521303
2021-6,10.848995090244134
2021-7,10.84976439527524
2021-8,10.850533700306345
2021-9,10.85130300533745
2021-10,10.852072310368555
2021-11,10.85284161539966
2021-12,10.853610920430766
2022-1,10.85438022546187
