,Rondônia - Desemprego
2009-7,7.989712237727392
2009-8,7.986634907559207
2009-9,7.9835575773910215
2009-10,7.980480247222836
2009-11,7.9774029170546505
2009-12,7.974325586886464
2010-1,7.971248256718279
2010-2,7.9700287757240895
2010-3,7.9688092947299
2010-4,7.967589813735712
2010-5,7.966370332741523
2010-6,7.9651508517473335
2010-7,7.963931370753144
2010-8,7.962711889758955
2010-9,7.961492408764766
2010-10,7.960272927770577
2010-11,7.959053446776388
2010-12,7.957833965782199
2011-1,7.95661448478801
2011-2,7.839104011679743
2011-3,7.721593538571476
2011-4,7.604083065463209
2011-5,7.486572592354943
2011-6,7.369062119246676
2011-7,7.2515516461384095
2011-8,7.134041173030142
2011-9,7.0165306999218755
2011-10,6.899020226813609
2011-11,6.7815097537053415
2011-12,6.663999280597075
2012-1,6.546488807488808
2012-2,6.57738313907911
2012-3,6.608277470669411
2012-4,6.639171802259713
2012-5,6.670066133850015
2012-6,6.700960465440316
2012-7,6.731854797030618
2012-8,6.76274912862092
2012-9,6.793643460211221
2012-10,6.824537791801522
2012-11,6.855432123391824
2012-12,6.886326454982125
2013-1,6.917220786572427
2013-2,6.948057428948406
2013-3,6.978894071324385
2013-4,7.009730713700364
2013-5,7.040567356076343
2013-6,7.071403998452322
2013-7,7.102240640828301
2013-8,7.133077283204281
2013-9,7.1639139255802595
2013-10,7.1947505679562385
2013-11,7.225587210332217
2013-12,7.256423852708196
2014-1,7.287260495084175
2014-2,7.317863240571163
2014-3,7.348465986058151
2014-4,7.379068731545138
2014-5,7.409671477032126
2014-6,7.440274222519114
2014-7,7.470876968006101
2014-8,7.501479713493088
2014-9,7.532082458980076
2014-10,7.562685204467064
2014-11,7.5932879499540515
2014-12,7.623890695441039
2015-1,7.654493440928027
2015-2,7.653591722011776
2015-3,7.652690003095525
2015-4,7.651788284179275
2015-5,7.650886565263024
2015-6,7.649984846346773
2015-7,7.649083127430522
2015-8,7.6481814085142705
2015-9,7.64727968959802
2015-10,7.646377970681769
2015-11,7.645476251765518
2015-12,7.644574532849267
2016-1,7.643672813933017
2016-2,7.613541534769666
2016-3,7.583410255606317
2016-4,7.553278976442967
2016-5,7.523147697279617
2016-6,7.493016418116267
2016-7,7.462885138952917
2016-8,7.4327538597895675
2016-9,7.402622580626217
2016-10,7.372491301462867
2016-11,7.342360022299518
2016-12,7.312228743136168
2017-1,7.282097463972818
2017-2,7.271270939835558
2017-3,7.260444415698298
2017-4,7.249617891561038
2017-5,7.2387913674237785
2017-6,7.227964843286518
2017-7,7.217138319149258
2017-8,7.206311795011999
2017-9,7.195485270874738
2017-10,7.184658746737479
2017-11,7.173832222600219
2017-12,7.163005698462959
2018-1,7.152179174325699
2018-2,7.139852136823789
2018-3,7.127525099321879
2018-4,7.115198061819969
2018-5,7.10287102431806
2018-6,7.09054398681615
2018-7,7.07821694931424
2018-8,7.06588991181233
2018-9,7.05356287431042
2018-10,7.041235836808511
2018-11,7.028908799306601
2018-12,7.016581761804691
2019-1,7.004254724302781
2019-2,6.989783808627968
2019-3,6.9753128929531565
2019-4,6.960841977278344
2019-5,6.946371061603531
2019-6,6.9319001459287195
2019-7,6.917429230253907
2019-8,6.902958314579094
2019-9,6.8884873989042825
2019-10,6.87401648322947
2019-11,6.859545567554657
2019-12,6.8450746518798455
2020-1,6.830603736205033
2020-2,6.811014062569774
2020-3,6.791424388934516
2020-4,6.771834715299257
2020-5,6.752245041663999
2020-6,6.73265536802874
2020-7,6.713065694393482
2020-8,6.693476020758224
2020-9,6.6738863471229655
2020-10,6.654296673487707
2020-11,6.634706999852448
2020-12,6.61511732621719
2021-1,6.595527652581931
2021-2,6.5936529082881785
2021-3,6.591778163994427
2021-4,6.589903419700674
2021-5,6.588028675406921
2021-6,6.586153931113168
2021-7,6.5842791868194155
2021-8,6.582404442525664
2021-9,6.580529698231911
2021-10,6.578654953938158
2021-11,6.576780209644406
2021-12,6.574905465350653
2022-1,6.573030721056901
