,Pernambuco - Desemprego
2010-9,8.03331699097494
2010-10,8.032208249413944
2010-11,8.031099507852947
2010-12,8.029990766291949
2011-1,8.028882024730951
2011-2,8.375876389987905
2011-3,8.72287075524486
2011-4,9.069865120501815
2011-5,9.41685948575877
2011-6,9.763853851015725
2011-7,10.110848216272679
2011-8,10.457842581529635
2011-9,10.804836946786589
2011-10,11.151831312043544
2011-11,11.498825677300498
2011-12,11.845820042557452
2012-1,12.192814407814408
2012-2,12.269855108958627
2012-3,12.346895810102847
2012-4,12.423936511247065
2012-5,12.500977212391284
2012-6,12.578017913535504
2012-7,12.655058614679723
2012-8,12.732099315823941
2012-9,12.809140016968161
2012-10,12.88618071811238
2012-11,12.963221419256598
2012-12,13.040262120400818
2013-1,13.117302821545037
2013-2,13.178986654098287
2013-3,13.240670486651537
2013-4,13.302354319204786
2013-5,13.364038151758036
2013-6,13.425721984311286
2013-7,13.487405816864534
2013-8,13.549089649417784
2013-9,13.610773481971034
2013-10,13.672457314524284
2013-11,13.734141147077533
2013-12,13.795824979630783
2014-1,13.857508812184033
2014-2,13.914642697155058
2014-3,13.97177658212608
2014-4,14.028910467097106
2014-5,14.086044352068129
2014-6,14.143178237039153
2014-7,14.200312122010178
2014-8,14.257446006981201
2014-9,14.314579891952226
2014-10,14.371713776923249
2014-11,14.428847661894274
2014-12,14.485981546865297
2015-1,14.543115431836322
2015-2,14.567335085809688
2015-3,14.591554739783053
2015-4,14.61577439375642
2015-5,14.639994047729784
2015-6,14.66421370170315
2015-7,14.688433355676516
2015-8,14.712653009649882
2015-9,14.736872663623249
2015-10,14.761092317596614
2015-11,14.78531197156998
2015-12,14.809531625543345
2016-1,14.833751279516711
2016-2,14.812626951607317
2016-3,14.791502623697923
2016-4,14.770378295788529
2016-5,14.749253967879135
2016-6,14.72812963996974
2016-7,14.707005312060346
2016-8,14.685880984150954
2016-9,14.66475665624156
2016-10,14.643632328332165
2016-11,14.622508000422771
2016-12,14.601383672513377
2017-1,14.580259344603983
2017-2,14.559262503829633
2017-3,14.538265663055281
2017-4,14.51726882228093
2017-5,14.49627198150658
2017-6,14.47527514073223
2017-7,14.454278299957878
2017-8,14.433281459183526
2017-9,14.412284618409176
2017-10,14.391287777634826
2017-11,14.370290936860474
2017-12,14.349294096086123
2018-1,14.328297255311773
2018-2,14.324618938066068
2018-3,14.320940620820364
2018-4,14.31726230357466
2018-5,14.313583986328956
2018-6,14.309905669083252
2018-7,14.30622735183755
2018-8,14.302549034591845
2018-9,14.29887071734614
2018-10,14.295192400100436
2018-11,14.291514082854732
2018-12,14.287835765609028
2019-1,14.284157448363324
2019-2,14.28257733870369
2019-3,14.28099722904406
2019-4,14.279417119384426
2019-5,14.277837009724795
2019-6,14.276256900065162
2019-7,14.274676790405529
2019-8,14.273096680745898
2019-9,14.271516571086265
2019-10,14.269936461426633
2019-11,14.268356351767
2019-12,14.266776242107369
2020-1,14.265196132447736
2020-2,14.263132214089348
2020-3,14.26106829573096
2020-4,14.259004377372571
2020-5,14.256940459014183
2020-6,14.254876540655795
2020-7,14.252812622297409
2020-8,14.25074870393902
2020-9,14.248684785580632
2020-10,14.246620867222244
2020-11,14.244556948863856
2020-12,14.242493030505468
2021-1,14.24042911214708
2021-2,14.242485299439245
2021-3,14.244541486731409
2021-4,14.246597674023574
2021-5,14.24865386131574
2021-6,14.250710048607903
2021-7,14.252766235900069
2021-8,14.254822423192234
2021-9,14.256878610484398
2021-10,14.258934797776563
2021-11,14.260990985068728
2021-12,14.263047172360892
2022-1,14.265103359653057
