,Alagoas - Desemprego
2019-3,13.874471595867576
2019-4,13.859629149443295
2019-5,13.844786703019015
2019-6,13.829944256594734
2019-7,13.815101810170454
2019-8,13.800259363746175
2019-9,13.785416917321895
2019-10,13.770574470897614
2019-11,13.755732024473334
2019-12,13.740889578049053
2020-1,13.726047131624773
2020-2,13.703089977078191
2020-3,13.68013282253161
2020-4,13.657175667985026
2020-5,13.634218513438444
2020-6,13.611261358891863
2020-7,13.588304204345281
2020-8,13.5653470497987
2020-9,13.542389895252118
2020-10,13.519432740705536
2020-11,13.496475586158953
2020-12,13.473518431612371
2021-1,13.45056127706579
2021-2,13.452212275321328
2021-3,13.453863273576868
2021-4,13.455514271832406
2021-5,13.457165270087946
2021-6,13.458816268343485
2021-7,13.460467266599025
2021-8,13.462118264854563
2021-9,13.463769263110102
2021-10,13.465420261365642
2021-11,13.46707125962118
2021-12,13.46872225787672
2022-1,13.470373256132259
