,Pará - Desemprego
2013-6,10.01853404588857
2013-7,10.050779973246593
2013-8,10.083025900604616
2013-9,10.115271827962639
2013-10,10.147517755320663
2013-11,10.179763682678686
2013-12,10.21200961003671
2014-1,10.244255537394732
2014-2,10.268676238805789
2014-3,10.293096940216847
2014-4,10.317517641627903
2014-5,10.34193834303896
2014-6,10.366359044450018
2014-7,10.390779745861074
2014-8,10.415200447272131
2014-9,10.43962114868319
2014-10,10.464041850094246
2014-11,10.488462551505302
2014-12,10.51288325291636
2015-1,10.537303954327417
2015-2,10.54152658085603
2015-3,10.54574920738464
2015-4,10.549971833913252
2015-5,10.554194460441865
2015-6,10.558417086970476
2015-7,10.562639713499088
2015-8,10.5668623400277
2015-9,10.571084966556311
2015-10,10.575307593084924
2015-11,10.579530219613536
2015-12,10.583752846142147
2016-1,10.58797547267076
2016-2,10.564546726798453
2016-3,10.541117980926145
2016-4,10.51768923505384
2016-5,10.494260489181533
2016-6,10.470831743309226
2016-7,10.44740299743692
2016-8,10.423974251564612
2016-9,10.400545505692305
2016-10,10.377116759819998
2016-11,10.353688013947693
2016-12,10.330259268075386
2017-1,10.306830522203079
2017-2,10.298851745150603
2017-3,10.290872968098128
2017-4,10.282894191045655
2017-5,10.27491541399318
2017-6,10.266936636940704
2017-7,10.25895785988823
2017-8,10.250979082835755
2017-9,10.24300030578328
2017-10,10.235021528730805
2017-11,10.22704275167833
2017-12,10.219063974625856
2018-1,10.21108519757338
2018-2,10.208317559999356
2018-3,10.205549922425332
2018-4,10.202782284851308
2018-5,10.200014647277284
2018-6,10.19724700970326
2018-7,10.194479372129233
2018-8,10.19171173455521
2018-9,10.188944096981185
2018-10,10.18617645940716
2018-11,10.183408821833137
2018-12,10.180641184259112
2019-1,10.177873546685088
2019-2,10.172656704260476
2019-3,10.167439861835863
2019-4,10.162223019411249
2019-5,10.157006176986636
2019-6,10.151789334562023
2019-7,10.146572492137409
2019-8,10.141355649712796
2019-9,10.136138807288184
2019-10,10.130921964863571
2019-11,10.125705122438958
2019-12,10.120488280014344
2020-1,10.115271437589731
2020-2,10.107329903155124
2020-3,10.099388368720517
2020-4,10.09144683428591
2020-5,10.083505299851302
2020-6,10.075563765416694
2020-7,10.067622230982085
2020-8,10.059680696547478
2020-9,10.05173916211287
2020-10,10.043797627678263
2020-11,10.035856093243655
2020-12,10.027914558809048
2021-1,10.01997302437444
2021-2,10.021633090744398
2021-3,10.023293157114356
2021-4,10.024953223484314
2021-5,10.026613289854273
2021-6,10.028273356224231
2021-7,10.029933422594189
2021-8,10.031593488964146
2021-9,10.033253555334104
2021-10,10.034913621704064
2021-11,10.036573688074022
2021-12,10.03823375444398
2022-1,10.039893820813937
