,Paraíba - Desemprego
2011-4,8.582135066256486
2011-5,8.757517246069618
2011-6,8.932899425882752
2011-7,9.108281605695886
2011-8,9.283663785509018
2011-9,9.459045965322153
2011-10,9.634428145135285
2011-11,9.809810324948419
2011-12,9.985192504761551
2012-1,10.160574684574685
2012-2,10.186749507939036
2012-3,10.212924331303388
2012-4,10.239099154667738
2012-5,10.26527397803209
2012-6,10.29144880139644
2012-7,10.317623624760792
2012-8,10.343798448125142
2012-9,10.369973271489492
2012-10,10.396148094853844
2012-11,10.422322918218194
2012-12,10.448497741582546
2013-1,10.474672564946896
2013-2,10.506616243611159
2013-3,10.53855992227542
2013-4,10.57050360093968
2013-5,10.602447279603943
2013-6,10.634390958268206
2013-7,10.666334636932467
2013-8,10.698278315596728
2013-9,10.73022199426099
2013-10,10.762165672925253
2013-11,10.794109351589514
2013-12,10.826053030253775
2014-1,10.857996708918037
2014-2,10.877157224948188
2014-3,10.896317740978338
2014-4,10.91547825700849
2014-5,10.93463877303864
2014-6,10.95379928906879
2014-7,10.972959805098942
2014-8,10.992120321129093
2014-9,11.011280837159243
2014-10,11.030441353189394
2014-11,11.049601869219545
2014-12,11.068762385249695
2015-1,11.087922901279846
2015-2,11.097873424195994
2015-3,11.10782394711214
2015-4,11.117774470028287
2015-5,11.127724992944433
2015-6,11.13767551586058
2015-7,11.147626038776728
2015-8,11.157576561692874
2015-9,11.167527084609022
2015-10,11.177477607525168
2015-11,11.187428130441315
2015-12,11.197378653357461
2016-1,11.207329176273609
2016-2,11.196876797843096
2016-3,11.186424419412585
2016-4,11.175972040982073
2016-5,11.16551966255156
2016-6,11.155067284121047
2016-7,11.144614905690535
2016-8,11.134162527260024
2016-9,11.123710148829511
2016-10,11.113257770398999
2016-11,11.102805391968488
2016-12,11.092353013537975
2017-1,11.081900635107463
2017-2,11.084379604486637
2017-3,11.08685857386581
2017-4,11.089337543244984
2017-5,11.091816512624158
2017-6,11.09429548200333
2017-7,11.096774451382505
2017-8,11.099253420761679
2017-9,11.101732390140851
2017-10,11.104211359520026
2017-11,11.1066903288992
2017-12,11.109169298278372
2018-1,11.111648267657547
2018-2,11.118350549093675
2018-3,11.125052830529803
2018-4,11.131755111965932
2018-5,11.13845739340206
2018-6,11.145159674838188
2018-7,11.151861956274317
2018-8,11.158564237710443
2018-9,11.165266519146572
2018-10,11.1719688005827
2018-11,11.178671082018829
2018-12,11.185373363454957
2019-1,11.192075644891085
2019-2,11.19150794870178
2019-3,11.190940252512476
2019-4,11.19037255632317
2019-5,11.189804860133867
2019-6,11.189237163944561
2019-7,11.188669467755258
2019-8,11.188101771565952
2019-9,11.187534075376647
2019-10,11.186966379187343
2019-11,11.186398682998037
2019-12,11.185830986808734
2020-1,11.185263290619428
2020-2,11.182065903746995
2020-3,11.178868516874564
2020-4,11.175671130002131
2020-5,11.1724737431297
2020-6,11.169276356257267
2020-7,11.166078969384834
2020-8,11.162881582512403
2020-9,11.15968419563997
2020-10,11.15648680876754
2020-11,11.153289421895106
2020-12,11.150092035022675
2021-1,11.146894648150242
2021-2,11.143672080256884
2021-3,11.140449512363524
2021-4,11.137226944470166
2021-5,11.134004376576806
2021-6,11.130781808683448
2021-7,11.127559240790088
2021-8,11.12433667289673
2021-9,11.121114105003372
2021-10,11.117891537110012
2021-11,11.114668969216654
2021-12,11.111446401323294
2022-1,11.108223833429935
