,Amapá - Desemprego
2009-10,8.278892295740135
2009-11,8.27621917738987
2009-12,8.273546059039603
2010-1,8.270872940689337
2010-2,8.269861623237828
2010-3,8.26885030578632
2010-4,8.267838988334812
2010-5,8.266827670883304
2010-6,8.265816353431795
2010-7,8.264805035980288
2010-8,8.26379371852878
2010-9,8.26278240107727
2010-10,8.261771083625762
2010-11,8.260759766174253
2010-12,8.259748448722746
2011-1,8.258737131271237
2011-2,8.747020195593127
2011-3,9.235303259915014
2011-4,9.723586324236903
2011-5,10.211869388558792
2011-6,10.700152452880682
2011-7,11.18843551720257
2011-8,11.676718581524458
2011-9,12.165001645846347
2011-10,12.653284710168236
2011-11,13.141567774490124
2011-12,13.629850838812013
2012-1,14.118133903133902
2012-2,14.185136009647735
2012-3,14.252138116161568
2012-4,14.3191402226754
2012-5,14.386142329189234
2012-6,14.453144435703067
2012-7,14.5201465422169
2012-8,14.58714864873073
2012-9,14.654150755244563
2012-10,14.721152861758396
2012-11,14.788154968272229
2012-12,14.855157074786062
2013-1,14.922159181299895
2013-2,14.976794521740556
2013-3,15.031429862181218
2013-4,15.086065202621878
2013-5,15.14070054306254
2013-6,15.195335883503201
2013-7,15.249971223943863
2013-8,15.304606564384525
2013-9,15.359241904825186
2013-10,15.413877245265848
2013-11,15.468512585706508
2013-12,15.52314792614717
2014-1,15.577783266587831
2014-2,15.634293542148894
2014-3,15.690803817709956
2014-4,15.747314093271019
2014-5,15.80382436883208
2014-6,15.860334644393143
2014-7,15.916844919954205
2014-8,15.973355195515268
2014-9,16.02986547107633
2014-10,16.086375746637394
2014-11,16.142886022198454
2014-12,16.199396297759517
2015-1,16.25590657332058
2015-2,16.271222086828708
2015-3,16.286537600336832
2015-4,16.30185311384496
2015-5,16.317168627353087
2015-6,16.33248414086121
2015-7,16.34779965436934
2015-8,16.363115167877467
2015-9,16.37843068138559
2015-10,16.39374619489372
2015-11,16.409061708401847
2015-12,16.42437722190997
2016-1,16.4396927354181
2016-2,16.410586512269624
2016-3,16.381480289121154
2016-4,16.35237406597268
2016-5,16.323267842824205
2016-6,16.294161619675734
2016-7,16.26505539652726
2016-8,16.235949173378785
2016-9,16.206842950230314
2016-10,16.17773672708184
2016-11,16.148630503933365
2016-12,16.119524280784894
2017-1,16.09041805763642
2017-2,16.06728885730817
2017-3,16.044159656979918
2017-4,16.02103045665167
2017-5,15.99790125632342
2017-6,15.97477205599517
2017-7,15.951642855666918
2017-8,15.92851365533867
2017-9,15.905384455010418
2017-10,15.88225525468217
2017-11,15.859126054353919
2017-12,15.83599685402567
2018-1,15.812867653697419
2018-2,15.787564879159607
2018-3,15.762262104621795
2018-4,15.736959330083984
2018-5,15.711656555546174
2018-6,15.686353781008362
2018-7,15.66105100647055
2018-8,15.63574823193274
2018-9,15.610445457394928
2018-10,15.585142682857118
2018-11,15.559839908319306
2018-12,15.534537133781495
2019-1,15.509234359243683
2019-2,15.494266853238564
2019-3,15.479299347233443
2019-4,15.464331841228324
2019-5,15.449364335223203
2019-6,15.434396829218084
2019-7,15.419429323212963
2019-8,15.404461817207844
2019-9,15.389494311202725
2019-10,15.374526805197604
2019-11,15.359559299192485
2019-12,15.344591793187364
2020-1,15.329624287182245
2020-2,15.311700374000337
2020-3,15.293776460818428
2020-4,15.275852547636518
2020-5,15.25792863445461
2020-6,15.240004721272701
2020-7,15.22208080809079
2020-8,15.204156894908882
2020-9,15.186232981726974
2020-10,15.168309068545065
2020-11,15.150385155363157
2020-12,15.132461242181247
2021-1,15.114537328999338
2021-2,15.121751423027744
2021-3,15.12896551705615
2021-4,15.136179611084554
2021-5,15.14339370511296
2021-6,15.150607799141365
2021-7,15.157821893169771
2021-8,15.165035987198177
2021-9,15.172250081226583
2021-10,15.179464175254989
2021-11,15.186678269283393
2021-12,15.193892363311798
2022-1,15.201106457340204
