Ano,Fundo de garantia por tempo de serviço (FGTS) (R$),Apagar
1996-2,922092,
1996-3,894014,
1996-4,887218,
1996-5,913271,
1996-6,928393,
1996-7,953066,
1996-8,954398,
1996-9,936656,
1996-10,957497.197,
1996-11,974780.929,
1996-12,1125952.284,
1997-1,1355414.731,
1997-2,1012064.247,
1997-3,996926.542,
1997-4,1013694.65936,
1997-5,1021931.434,
1997-6,1029835.00514,
1997-7,1043661.77506,
1997-8,1060419.6572,
1997-9,1048934.60715,
1997-10,1044775.61688,
1997-11,1048567.91659,
1997-12,1248885.31439,
1998-1,1430458.41053,
1998-2,1133148.39654,
1998-3,1416105.25773,
1998-4,1348023.84533,
1998-5,1349283.26469,
1998-6,1394255.97591,
1998-7,1395874.98824,
1998-8,1385695.92575,
1998-9,1354208.10074,
1998-10,1391165.57001,
1998-11,1487666.92904,
1998-12,1692878.11416,
1999-1,1762595.34531,
1999-2,1386839.72321,
1999-3,1503138.48719,
1999-4,1363374.54332,
1999-5,1391966.30145,
1999-6,1400671.28541,
1999-7,1398371.7942,
1999-8,1409842.89653,
1999-9,1365934.28423,
1999-10,1369360.3133,
1999-11,1354499.27682,
1999-12,1703652.06505,
2000-1,1800481.24101,
2000-2,1509114.30174,
2000-3,1513193.56606,
2000-4,1423691.49052,
2000-5,1506473.97081,
2000-6,1511910.47525,
2000-7,1503669.76129,
2000-8,1563228.46915,
2000-9,1468067.59449,
2000-10,1492892.68561,
2000-11,1502072.80697,
2000-12,1913734.1642,
2001-1,2029716.71783,
2001-2,1630080.52354,
2001-3,1674489.75756,
2001-4,1634785.8296,
2001-5,1740248.62903,
2001-6,1682193.09404,
2001-7,1739559.14237,
2001-8,1775801.80879,
2001-9,1656082.7341,
2001-10,1752739.66081,
2001-11,1693210.14544,
2001-12,2065144.16304,
2002-1,2197925.33666,
2002-2,1755442.31288,
2002-3,1784936.48285,
2002-4,1773837.437,
2002-5,1769056.27214,
2002-6,1723384.94706,
2002-7,1826947.46724,
2002-8,1863443.93933,
2002-9,1802699.48997,
2002-10,1856486.86158,
2002-11,1834643.7195,
2002-12,2233192.43422,
2003-1,2422580.74723,
2003-2,1993514.338,
2003-3,1900012.01807,
2003-4,1889790.36932,
2003-5,1929061.64806,
2003-6,1988282.4591,
2003-7,2042655.44158,
2003-8,2032398.98402,
2003-9,2026309.99946,
2003-10,2053967.7,
2003-11,2036420.78917,
2003-12,2641357.74857,
2004-1,2705046.23377,
2004-2,2180072.89601,
2004-3,2298662.25563,
2004-4,2176308.80073,
2004-5,2194428.4579,
2004-6,2254956.3009,
2004-7,2285573.8537,
2004-8,2329685.84447,
2004-9,2239804.47411,
2004-10,2284695.42338,
2004-11,2334284.2181,
2004-12,2985814.55822,
2005-1,3095584.675,
2005-2,2462926.67353,
2005-3,2612850.09098,
2005-4,2462337.03124,
2005-5,2513290.35468,
2005-6,2605511.90638,
2005-7,2601994.28526,
2005-8,2684069.94023,
2005-9,2607442.23192,
2005-10,2578331.81389,
2005-11,2668292.65701,
2005-12,3355245.35715,
2006-1,3478286.0477,
2006-2,2809442.86243,
2006-3,2966990.32768,
2006-4,2729928.62942,
2006-5,2905193.30554,
2006-6,2934949.47623,
2006-7,2936979.35085,
2006-8,3069891.01736,
2006-9,2927114.36654,
2006-10,2958118.37503,
2006-11,3027151.37289,
2006-12,3761359.49766,
2007-1,3961671.64425,
2007-2,3160896.4604,
2007-3,3355604.0389,
2007-4,3147174.89466,
2007-5,3285827.6948,
2007-6,3288373.08929,
2007-7,3379918.56288,
2007-8,3534370.30875,
2007-9,3308584.0853,
2007-10,3454673.69252,
2007-11,3463173.9783,
2007-12,4290240.39911,
2008-1,4597505.6046,
2008-2,3665927.72276,
2008-3,3723049.86882,
2008-4,3790936.28383,
2008-5,3727382.05297,
2008-6,3869635.92763,
2008-7,4023147.77282,
2008-8,3988787.34638,
2008-9,3997143.84952,
2008-10,4052767.43928,
2008-11,4060857.52392,
2008-12,5217238.44411,
2009-1,5355136.72574,
2009-2,4321508.3307,
2009-3,4416234.02999,
2009-4,4314964.497,
2009-5,4254839.99691,
2009-6,4439730.73389,
2009-7,4483874.46537,
2009-8,4369823.1019,
2009-9,4298476.80801,
2009-10,4374633.06257,
2009-11,4422952.53948,
2009-12,5673773.56885,
2010-1,5731109.04289,
2010-2,4632907.63758,
2010-3,4995075.93705,
2010-4,4742815.78127,
2010-5,4813952.31556,
2010-6,4864107.51897,
2010-7,5018698.38179,
2010-8,5144033.62426,
2010-9,5039373.63353,
2010-10,5053427.08521,
2010-11,5193981.88248,
2010-12,6567730.60218,
2011-1,6696032.25199,
2011-2,5581559.98314,
2011-3,5589253.56355,
2011-4,5511505.36402,
2011-5,5756180.59169,
2011-6,5792934.1003,
2011-7,5839222.37836,
2011-8,6068950.71013,
2011-9,5875770.17996,
2011-10,5995515.62904,
2011-11,6026417.04169,
2011-12,7527597.49875,
2012-1,7826707.9012,
2012-2,6341432.32461,
2012-3,6616268.19779,
2012-4,6413625.71732,
2012-5,6650108.27666,
2012-6,6585513.56054,
2012-7,6718048.50791,
2012-8,6998675.59363,
2012-9,6566300.1164,
2012-10,6887278.17495,
2012-11,6877300.39472,
2012-12,8552254.7531,
2013-1,8965150.59397,
2013-2,7124148.38196,
2013-3,7351823.54071,
2013-4,7479150.7542,
2013-5,7538256.86403,
2013-6,7465982.9369,
2013-7,7725406.85498,
2013-8,7856910.56606,
2013-9,7551808.11017,
2013-10,7835871.24486,
2013-11,7803111.55359,
2013-12,9717519.76411,
2014-1,10108135.3302,
2014-2,8366891.5214,
2014-3,7941681.08276,
2014-4,8214988.32392,
2014-5,8381010.77877,
2014-6,8235864.9525,
2014-7,8512701.25482,
2014-8,8519323.7167,
2014-9,8529740.91851,
2014-10,8684111.56779,
2014-11,8552521.91401,
2014-12,10697221.59016,
2015-1,10884253.41981,
2015-2,8891656.92855,
2015-3,9176796.63638,
2015-4,9084629.39091,
2015-5,9001327.26838,
2015-6,9112752.01496,
2015-7,9303130.73038,
2015-8,9179180.83368,
2015-9,8979869.7933,
2015-10,9116994.49789,
2015-11,9175431.12195,
2015-12,11623362.11479,
2016-1,11489948.03527,
2016-2,9604742.89331,
2016-3,9907334.60348,
2016-4,9472779.14164,
2016-5,9589843.92402,
2016-6,9664460.94129,
2016-7,9581767.14909,
2016-8,9661704.68942,
2016-9,9341651.82093,
2016-10,9531519.87136,
2016-11,9481778.75284,
2016-12,11761805.08525,
2017-1,12228736.91507,
2017-2,9949325.33566,
2017-3,10273860.42071,
2017-4,9609042.67141,
2017-5,10034514.33903,
2017-6,10044583.23879,
2017-7,9892355.67681,
2017-8,10241256.78803,
2017-9,9871641.44223,
2017-10,9902097.92264,
2017-11,9533924.05776,
2017-12,11953668.76188,
2018-1,12069974.32848,
2018-2,9513450.79021,
2018-3,9734261.60837,
2018-4,9559760.00201,
2018-5,9621618.52996,
2018-6,9643511.5627,
2018-7,9652802.84837,
2018-8,9911859.61276,
2018-9,9352458.77988,
2018-10,9683240.98508,
2018-11,9637382.56116,
2018-12,12277959.35249,
2019-1,12773094.67834,
2019-2,10352446.59507,
2019-3,9951816.67165,
2019-4,10150587.32823,
2019-5,10299619.37843,
2019-6,10050071.02242,
2019-7,10428351.12434,
2019-8,10537910.43595,
2019-9,10212906.52016,
2019-10,10502733.3117,
2019-11,10372978.33215,
2019-12,13077107.28147,
2020-1,13502535.86876,
2020-2,10577244.22378,
2020-3,10585454.12628,
2020-4,6896089.79306,
2020-5,6807233.35992,
2020-6,6314726.51541,
2020-7,11432884.81337,
2020-8,11782724.66396,
2020-9,11660719.13559,
2020-10,11472098.00896,
2020-11,11531241.96338,
2020-12,14711187.30341,
2021-1,13321724.10921,
2021-2,10669635.34628,
2021-3,10926305.07805,
2021-4,10727461.04113,
2021-5,9402808.55701,
2021-6,9281044.94539,
2021-7,9457232.68557,
2021-8,9609288.691,
2021-9,12416017.99109,
2021-10,12602604.79223,
2021-11,12681995.0144,
2021-12,16065212.06269,
2022-1,15067358.39826,
2022-2,12045140.94895,
2022-3,12378986.30234,
2022-4,12180374.61617,
2022-5,12264626.4285,
2022-6,12403692.59566,
2022-7,12539009.97102,
2022-8,12906558.56611,
2022-9,12626705.04714,
2022-10,12610924.82788,
2022-11,12806945.15066,
2022-12,16467185.64359,
2023-1,17460682.3845,
2023-2,13596575.80803,
2023-3,13982250.21095,
2023-4,13542269.86827,
2023-5,13961690.73329,
2023-6,14127848.26693,
2023-7,13991240.55575,
