,Santa Catarina - PIB - Estadual,Santa Catarina - PIB - Construção Civil,Santa Catarina - PIB - Per Capita,Santa Catarina - PIB - Preços de Mercado
2009-4,142321821.34762266,6856478.551474834,20.056249297156302,125304869.60230449
2009-5,142628462.13108665,6861041.849865367,20.060315975555753,125381401.05117704
2009-6,142935102.91455063,6865605.1482559,20.064382653955203,125457932.50004959
2009-7,143241743.69801462,6870168.446646433,20.068449332354653,125534463.94892214
2009-8,143548384.48147857,6874731.745036966,20.072516010754104,125610995.3977947
2009-9,143855025.26494256,6879295.043427499,20.076582689153554,125687526.84666725
2009-10,144161666.04840654,6883858.341818032,20.080649367553004,125764058.2955398
2009-11,144468306.8318705,6888421.640208565,20.084716045952455,125840589.74441235
2009-12,144774947.61533448,6892984.9385990985,20.088782724351905,125917121.1932849
2010-1,145081588.39879847,6897548.236989631,20.092849402751355,125993652.64215745
2010-2,145357752.2536847,6896774.853482168,20.095025905847447,126048311.34512436
2010-3,145633916.10857093,6896001.469974705,20.097202408943538,126102970.04809128
2010-4,145910079.96345717,6895228.086467242,20.099378912039633,126157628.75105819
2010-5,146186243.8183434,6894454.70295978,20.101555415135724,126212287.45402509
2010-6,146462407.67322963,6893681.3194523165,20.103731918231816,126266946.156992
2010-7,146738571.52811587,6892907.935944853,20.10590842132791,126321604.85995892
2010-8,147014735.3830021,6892134.55243739,20.108084924424002,126376263.56292583
2010-9,147290899.23788834,6891361.168929927,20.110261427520093,126430922.26589274
2010-10,147567063.09277457,6890587.785422465,20.112437930616185,126485580.96885964
2010-11,147843226.9476608,6889814.401915002,20.114614433712276,126540239.67182656
2010-12,148119390.80254704,6889041.0184075385,20.11679093680837,126594898.37479347
2011-1,148395554.65743327,6888267.634900075,20.118967439904463,126649557.07776038
2011-2,148643205.1192738,6887037.061975124,20.118810072104136,126691167.0752496
2011-3,148890855.58111438,6885806.489050173,20.11865270430381,126732777.07273881
2011-4,149138506.04295492,6884575.916125222,20.118495336503482,126774387.07022803
2011-5,149386156.5047955,6883345.343200271,20.118337968703155,126815997.06771724
2011-6,149633806.96663603,6882114.77027532,20.11818060090283,126857607.06520645
2011-7,149881457.42847657,6880884.19735037,20.118023233102498,126899217.06269565
2011-8,150129107.89031714,6879653.624425419,20.11786586530217,126940827.06018487
2011-9,150376758.35215768,6878423.051500468,20.117708497501845,126982437.05767408
2011-10,150624408.81399825,6877192.4785755165,20.117551129701518,127024047.0551633
2011-11,150872059.2758388,6875961.905650565,20.11739376190119,127065657.05265251
2011-12,151119709.73767936,6874731.332725614,20.117236394100864,127107267.05014172
2012-1,151367360.1995199,6873500.759800663,20.117079026300537,127148877.04763094
2012-2,151585648.68446904,6870539.898778913,20.115866707100864,127181646.64979693
2012-3,151803937.1694182,6867579.037757162,20.11465438790119,127214416.25196294
2012-4,152022225.65436733,6864618.176735411,20.113442068701517,127247185.85412896
2012-5,152240514.1393165,6861657.315713661,20.112229749501843,127279955.45629495
2012-6,152458802.62426564,6858696.45469191,20.11101743030217,127312725.05846095
2012-7,152677091.10921478,6855735.59367016,20.109805111102496,127345494.66062696
2012-8,152895379.59416392,6852774.732648409,20.108592791902822,127378264.26279297
