,Alagoas - IDH,Alagoas - Depósito Poupança (R$),Alagoas - Consumo de Cimento (t),Alagoas - IDH Longevidade,Alagoas - value,Alagoas - IDH Renda,Alagoas- custo m2 (R$),Alagoas - Desemprego,Alagoas - Produção de Cimento (t),Alagoas - PIB - Estadual,Alagoas - PIB - Construção Civil,Alagoas - PIB - Per Capita,Alagoas - PIB - Preços de Mercado,Alagoas - IDH Educacao,Operações de crédito - saldo da carteira de crédito (R$),Estoque liquido de capital fixo - (R$),EMBI + Risco-Brasil,Fundo de garantia por tempo de serviço (FGTS) (R$),IGP-DI,Inadimplência da carteira de crédito  - total - (%), INCC (%), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),PIB - Atividades imobiliárias (média 1995 = 100),População,PPC (US$),Taxa Selic (%)
2005-6,0.646246918451078,1684286.3016847991,20.299,0.740044813924886,0.3045299148566346,0.5982573962425956,12895.829427531267,8.633724366170151,37.04052399258141,26777924.37965869,1341082.185181409,7.639071480743391,23860132.95079756,0.5883350869951406,542053.2699314717,7489480.716699338,392.0132128694499,2602254.4460729035,0.4199780553732319,3.383053915878488,0.5804670357747842,0.4302028729547594,-7431.800235590503,4.256101726196984,140.35562311331756,182295321.4014512,212.9231644277816,1.3784705106585684
2005-7,0.6465826143190805,1692145.747030525,22.784,0.7403963582524562,0.3041927020421754,0.5985843417620853,12955.29165948128,8.627188985804143,37.47707209651328,26805543.670985363,1342018.162556584,7.641110870746739,23868065.275709983,0.5887979875592121,549511.0197966119,7494793.726008162,383.1926176814535,2613066.753887254,0.426655987569031,3.367315651727427,0.5645649922940777,0.4313751989691616,-7447.830376487559,4.16168717243741,140.75650402245432,182460911.1794265,214.85454833768284,1.4515065266492553
2005-8,0.6469183101870831,1700005.1923762509,23.659,0.7407479025800264,0.3042396997740101,0.5989112872815752,13012.797557784455,8.620653605438132,37.55761426971564,26833162.96231203,1342954.139931759,7.643150260750087,23875997.600622408,0.5892608881232836,557945.6579456168,7500106.735316987,375.1392726452125,2617033.037200032,0.4533210772878235,3.351418700818644,0.5609756759595197,0.4316478866297594,-7426.454566904413,4.079825078928361,141.25619441715205,182626500.957402,216.74393954992289,1.314802317799124
2005-9,0.6472540060550858,1707864.6377219767,23.77,0.7410994469075968,0.3040679333740219,0.599238232801065,13071.12717339994,8.614118225072122,37.979812915840505,26860782.253638703,1343890.1173069344,7.645189650753435,23883929.925534837,0.5897237886873551,567582.3355484458,7505419.744625812,368.2338259987535,2616833.298781457,0.4844114534007803,3.3353885918976194,0.5646643450021134,0.4277093852365702,-7512.020875107958,4.012628248908924,141.75588481184974,182792090.7353773,218.62954399113875,1.4544913446504557
2005-10,0.6475897019230883,1715724.0830677026,25.386,0.741450991235167,0.3042908123253435,0.5995651783205548,13128.61973726237,8.607582844706114,38.01302612926414,26888401.54496537,1344826.0946821098,7.647229040756783,23891862.25044726,0.5901866892514267,579729.7986988125,7510732.753934638,358.7241761047338,2767147.232806297,0.4945726100320757,3.319250853709838,0.5644640550493971,0.4225131084131527,-7687.979669089395,3.9602332396446167,142.25557520654746,182957680.51335275,220.47998778707412,1.2166346637056376
2005-11,0.6479253977910909,1723583.5284134282,26.776,0.7418025355627372,0.3047138082072878,0.5998921238400446,13186.89576281227,8.601047464340104,38.35433132903616,26916020.83629204,1345762.0720572849,7.649268430760131,23899794.575359687,0.5906495898154982,590638.0268494517,7516045.763243463,349.8309358272843,2977160.918689552,0.4959029929217597,3.303031015000783,0.5622657106505984,0.410747290823505,-7676.736667287167,3.9221772649399615,142.75695932798442,183123270.29132813,222.3706268867923,1.5774291835856542
2005-12,0.6482610936590935,1731442.973759154,33.636,0.7421540798903076,0.3038681537688154,0.6002190693595344,13244.442115414207,8.594512083974095,38.45815296145659,26943640.12761871,1346698.0494324602,7.651307820763479,23907726.900272112,0.5911124903795697,600358.5651096528,7521358.772552288,336.6366349826133,3077456.4837551704,0.5121818479826961,3.286754604515938,0.5630711908624105,0.4101195327303973,-7542.184036343686,3.892160292125506,143.2583434494214,183288860.0693036,224.28049234109324,1.4013372679118714
2006-1,0.6485967895270961,1739302.41910488,30.849,0.7425056242178778,0.3038317966001201,0.6005460148790243,13301.639391311874,8.587976703608085,38.81902991063843,26971259.41894538,1347634.026807635,7.653347210766827,23915659.225184537,0.5915753909436412,608237.7183918209,7526671.781861113,320.968605621138,3061867.328050945,0.5246513831169914,3.270447151000785,0.5580933471517024,0.4093210137705744,-7965.495545452277,3.8684439286332686,143.75972757085836,183454449.8472789,226.2314361414988,1.0664559084527
2006-2,0.6488961002357586,1759845.2910263357,25.234,0.7428093890417168,0.3037859397449551,0.600852959565668,13360.153886850036,8.58700307410173,39.01348901487804,26996014.92245601,1348666.2914920966,7.654943377630132,23921774.101682216,0.5920128251915914,617499.8567002948,7531879.804076586,305.73921061538874,2929137.126267223,0.5117940136540285,3.2541341832008084,0.5540061208774786,0.4028183365263698,-7956.205189035386,3.846872965752776,144.5557082419601,183612058.601541,228.1727223075623,1.277179270614667
2006-3,0.649195410944421,1780388.1629477916,33.238,0.7431131538655557,0.3043440048729757,0.6011599042523116,13419.136213124208,8.586029444595374,39.46880818676593,27020770.42596665,1349698.5561765577,7.656539544493436,23927888.97817989,0.5924502594395415,628619.3150184231,7537087.826292059,289.90661112109984,2918623.3433916336,0.5216724461884032,3.2378412298614907,0.558308779155122,0.3998570076790366,-8153.367564422752,3.842818789820434,145.35168891306182,183769667.35580307,230.6418605830073,1.0970203410953332
