,Goiás - Depósito Poupança (R$)
2014-3,11269582.120269135
2014-4,11192448.2151125
2014-5,11115314.309955867
2014-6,11038180.404799234
2014-7,10961046.4996426
2014-8,10883912.594485966
2014-9,10806778.689329334
2014-10,10729644.7841727
2014-11,10652510.879016068
2014-12,10575376.973859433
2015-1,10498243.0687028
2015-2,10459199.829020584
2015-3,10420156.589338366
2015-4,10381113.34965615
2015-5,10342070.109973934
2015-6,10303026.870291717
2015-7,10263983.630609501
2015-8,10224940.390927283
2015-9,10185897.151245067
2015-10,10146853.91156285
2015-11,10107810.671880633
2015-12,10068767.432198416
2016-1,10029724.1925162
2016-2,10083844.056397317
2016-3,10137963.920278434
2016-4,10192083.78415955
2016-5,10246203.648040667
2016-6,10300323.511921784
2016-7,10354443.3758029
2016-8,10408563.239684016
2016-9,10462683.103565132
2016-10,10516802.967446249
2016-11,10570922.831327366
2016-12,10625042.695208482
2017-1,10679162.5590896
2017-2,10740143.350543683
2017-3,10801124.141997766
2017-4,10862104.93345185
2017-5,10923085.724905932
2017-6,10984066.516360017
2017-7,11045047.307814099
2017-8,11106028.099268183
2017-9,11167008.890722267
2017-10,11227989.68217635
2017-11,11288970.473630434
2017-12,11349951.265084516
2018-1,11410932.0565386
2018-2,11452069.666622609
2018-3,11493207.276706617
2018-4,11534344.886790626
2018-5,11575482.496874634
2018-6,11616620.106958643
2018-7,11657757.717042651
2018-8,11698895.327126658
2018-9,11740032.937210666
2018-10,11781170.547294674
2018-11,11822308.157378683
2018-12,11863445.767462691
2019-1,11904583.3775467
2019-2,12108012.658342957
2019-3,12311441.939139217
2019-4,12514871.219935475
2019-5,12718300.500731733
2019-6,12921729.781527992
2019-7,13125159.06232425
2019-8,13328588.343120508
2019-9,13532017.623916768
2019-10,13735446.904713025
2019-11,13938876.185509283
2019-12,14142305.466305543
2020-1,14345734.7471018
2020-2,14234191.110551393
2020-3,14122647.474000983
2020-4,14011103.837450575
2020-5,13899560.200900167
2020-6,13788016.56434976
2020-7,13676472.927799352
2020-8,13564929.291248942
2020-9,13453385.654698534
2020-10,13341842.018148126
2020-11,13230298.381597716
2020-12,13118754.745047309
2021-1,13007211.1084969
2021-2,12896307.582770417
2021-3,12785404.057043934
2021-4,12674500.53131745
2021-5,12563597.005590968
2021-6,12452693.479864484
2021-7,12341789.954138
2021-8,12230886.428411517
2021-9,12119982.902685033
2021-10,12009079.37695855
2021-11,11898175.851232067
2021-12,11787272.325505584
2022-1,11676368.7997791
2022-2,11676368.7997791
2022-3,11676368.7997791
2022-4,11676368.7997791
2022-5,11676368.7997791
2022-6,11676368.7997791
2022-7,11676368.7997791
2022-8,11676368.7997791
2022-9,11676368.7997791
2022-10,11676368.7997791
2022-11,11676368.7997791
2022-12,11676368.7997791
2023-1,11676368.7997791
