UF,Código,Estado,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MG,31,Minas Gerais,22637406.1176643,23727748.9176092,23863440.6024853,25730972.4442909,30181291.0687302,32039761.4459661,34323199.6725258,38137075.414,39079601.9592703,42593639.6563351,47797824.2195427,49700769.5990086,46544078.4000086,44289882.9755457,46145410.4991232,48241392.6101074,49892568.814564,56832068.5373699,52242934.0434853,46125176.2232599,
MS,50,Mato Grosso do Sul,1583944.28412848,1676590.44479738,1569796.07160659,1670584.42338354,2086427.04644151,2214986.12503483,2324946.5336,2632524.749,2765668.8142218,3107790.14508702,3521151.07914276,3692309.08898362,3474959.56300697,3277401.48180809,3442047.20383087,3633893.23438021,3640901.01021136,4133847.84720835,3788808.05161881,3355525.944175,
MT,51,Mato Grosso,1402869.96310549,1587059.84650544,1442845.35505496,1604467.46807916,2154178.85148302,2322920.39646323,2471818.88461728,2751177.936,2830494.22097945,3270492.24849827,3703907.02830858,3922090.38560298,3751838.06288277,3593217.90370872,3806608.24094033,4045040.95729911,4126927.40310449,4923698.18094564,4506939.80808741,3973915.43331552,
PA,15,Pará,2208326.8442654,2376767.62693985,2439261.47509104,2634570.01221511,3103162.43367465,3513527.90717741,3747783.09033222,4142020.438,4554100.2028855,5117512.65988922,5694145.0787605,6031809.56994172,5861641.28794282,5447143.7143151,5592859.60891924,5933055.86418824,6187668.14364311,7553277.75618669,6734246.47398582,6197347.01759081,
PB,25,Paraíba,1938190.05779081,2071415.48543476,2156342.35654786,2391612.72218899,2872518.24785721,3135032.06484206,3371676.3232618,3779617.784,3922438.1760953,4279384.39258716,4700495.15425096,4933258.99077212,4739805.23808526,4625796.95278008,4815009.96303375,5000027.52447924,5123823.4976266,6076466.40649847,5193973.22095405,4925463.12191882,
PE,26,Pernambuco,5799058.7588588,6074038.27720233,6085841.02426525,6583910.46743426,7579404.07015624,8051974.92727236,9110564.49589963,10495008.8,10548277.1036372,11513860.9556114,12672676.0347147,13597635.0914957,12748765.1093901,11711610.4827256,12340294.5012467,12766406.1176618,12982798.6032745,14883392.5256997,12942085.3099205,12081705.5608675,
PI,22,Piauí,1392135.6263237,1516597.28288355,1614186.93848999,1713313.515713,1916902.75073067,2159413.02140095,2348383.03617709,2588926.174,2783991.0381295,3047738.93021206,3456931.17317617,3628424.41505058,3601219.05327823,3576537.6623933,3754349.68382428,3889824.4147796,3989629.49008666,5004502.44839604,4278841.34213899,4154539.97110596,
PR,41,Paraná,13120294.7989858,13310999.2337094,12830673.5537872,13178501.5782162,16013912.2181689,16963561.0958781,18640899.6435504,20834451.511,22140967.6203611,24935683.6486462,28134468.6404209,28560585.7092848,26283231.8789787,24619837.6383687,25938865.8856868,27477858.2965443,27653516.766733,31038619.4410957,28058272.0645242,23988567.5662348,
RJ,33,Rio de Janeiro,36752875.7782028,36679419.9943739,35436374.7527939,35873590.9395823,40774194.9780264,42458688.8552117,47793940.0323379,51917137.203,52933842.7415767,57693416.711523,64497752.2574311,65445628.9340226,59719604.9390321,55175237.0864823,56581382.910469,58645913.8942139,58892735.00241,62968326.9860064,56480928.031032,49814403.3553737,
RN,24,Rio Grande do Norte,1843383.51452857,1989659.58542825,2042178.07321598,2252853.97218646,2573341.40468419,2640785.27864678,2776817.14635463,3021950.789,3102611.14473392,3338127.34830384,3709722.92694493,3966472.49680631,3853460.05348546,3709152.40615779,3869110.06210274,4057810.88647848,4060473.05932355,4859162.47371607,4156530.50700313,3868414.07519181,
RO,11,Rondônia,571416.48834659,626482.380765653,644900.601177885,708848.625547076,900588.108769262,1044761.88901992,1205505.91297339,1470232.714,1559391.25444664,1634068.40628336,1869085.80794085,1973320.23232776,1878887.49413929,1808656.75579946,1860913.4816502,1994219.44626471,1966349.64287413,2372878.67063592,2134902.71482014,1831489.78138407,
RR,14,Roraima,137154.814617456,147387.904446923,152846.938565937,221087.202784077,275519.839740793,471886.078342795,414799.404824494,401300.112,410851.764119103,444921.920077933,546035.82124242,485388.74268144,447384.412163821,395395.4858035,404400.892929223,431993.838179926,490071.832549789,603175.424441209,597703.620685723,534766.776008258,
RS,43,Rio Grande do Sul,20462814.8431873,21138957.1767437,20903555.0237816,21439235.5205216,25412554.6498391,26363002.0049985,28609321.1242706,30199185.893,30217394.9591943,33134470.438744,36966380.109604,37485652.2562918,35522303.3434939,34402636.5115581,37214594.0439325,40451352.9557287,41558159.9866861,46693103.1549488,43869506.5138916,38694906.6778873,
SC,42,Santa Catarina,8001966.89861661,8436550.23869145,8375574.02977726,8566028.57050336,10227378.4076879,13857519.1572036,14281151.441401,14895019.77,15726514.5263218,17049195.2882871,19103150.4712095,19467398.6805669,18288901.5425106,17477989.0224416,18364733.1238888,19208494.0117275,19394278.3379825,21430475.684987,19420060.2097527,16408288.5105891,
SE,28,Sergipe,1618044.93186782,1670496.64211484,1714597.54838732,1811475.28669106,2140600.68624545,2345187.91381917,2522124.54555736,2892812.149,2929514.28928252,3181092.09634408,3472974.7703189,3708905.72166731,3483571.73726583,3411290.73432791,3521772.90969264,3707144.39227205,3785692.24462382,4470308.99575505,3915180.08763697,3684232.61821476,
SP,35,São Paulo,86522992.4832384,87347214.6170997,85309592.0359326,87253091.6659028,101734269.212456,108260908.025907,119919163.968602,129867688.999,131044422.769314,142761843.001791,160112652.088643,162934760.037706,145537999.898773,134788454.91268,141749806.848894,148756444.501549,150555001.862822,175575844.875574,154328090.849815,136993008.42422,
