,Sergipe - Depósito Poupança (R$)
2010-2,2895870.6606902103
2010-3,2898929.1723804204
2010-4,2901987.68407063
2010-5,2905046.19576084
2010-6,2908104.70745105
2010-7,2911163.21914126
2010-8,2914221.73083147
2010-9,2917280.24252168
2010-10,2920338.75421189
2010-11,2923397.2659021
2010-12,2926455.7775923098
2011-1,2929514.28928252
2011-2,2950479.10653765
2011-3,2971443.92379278
2011-4,2992408.74104791
2011-5,3013373.55830304
2011-6,3034338.37555817
2011-7,3055303.1928132996
2011-8,3076268.0100684296
2011-9,3097232.8273235597
2011-10,3118197.6445786897
2011-11,3139162.4618338197
2011-12,3160127.27908895
2012-1,3181092.09634408
2012-2,3205415.652508648
2012-3,3229739.2086732164
2012-4,3254062.7648377847
2012-5,3278386.321002353
2012-6,3302709.8771669213
2012-7,3327033.4333314896
2012-8,3351356.9894960583
2012-9,3375680.5456606266
2012-10,3400004.101825195
2012-11,3424327.657989763
2012-12,3448651.2141543315
2013-1,3472974.7703189
2013-2,3492635.682931267
2013-3,3512296.595543635
2013-4,3531957.5081560025
2013-5,3551618.42076837
2013-6,3571279.3333807373
2013-7,3590940.2459931048
2013-8,3610601.1586054727
2013-9,3630262.07121784
2013-10,3649922.9838302075
2013-11,3669583.8964425754
2013-12,3689244.809054943
2014-1,3708905.72166731
2014-2,3690127.8896338535
2014-3,3671350.0576003967
2014-4,3652572.2255669404
2014-5,3633794.3935334836
2014-6,3615016.561500027
2014-7,3596238.72946657
2014-8,3577460.8974331133
2014-9,3558683.0653996565
2014-10,3539905.2333662
2014-11,3521127.4013327435
2014-12,3502349.5692992867
2015-1,3483571.73726583
2015-2,3477548.3203543364
2015-3,3471524.9034428434
2015-4,3465501.48653135
2015-5,3459478.069619857
2015-6,3453454.6527083633
2015-7,3447431.2357968697
2015-8,3441407.8188853767
2015-9,3435384.401973883
2015-10,3429360.98506239
2015-11,3423337.5681508966
2015-12,3417314.1512394035
2016-1,3411290.73432791
2016-2,3420497.5822749706
2016-3,3429704.4302220317
2016-4,3438911.2781690927
2016-5,3448118.1261161533
2016-6,3457324.974063214
2016-7,3466531.822010275
2016-8,3475738.669957336
2016-9,3484945.5179043966
2016-10,3494152.365851457
2016-11,3503359.2137985183
2016-12,3512566.0617455794
2017-1,3521772.90969264
2017-2,3537220.533240924
2017-3,3552668.1567892083
2017-4,3568115.7803374925
2017-5,3583563.4038857766
2017-6,3599011.027434061
2017-7,3614458.650982345
2017-8,3629906.274530629
2017-9,3645353.8980789133
2017-10,3660801.5216271975
2017-11,3676249.1451754817
2017-12,3691696.768723766
2018-1,3707144.39227205
2018-2,3713690.0466346974
2018-3,3720235.700997345
2018-4,3726781.3553599925
2018-5,3733327.00972264
2018-6,3739872.6640852876
2018-7,3746418.318447935
2018-8,3752963.9728105823
2018-9,3759509.62717323
2018-10,3766055.2815358774
2018-11,3772600.9358985247
2018-12,3779146.5902611725
2019-1,3785692.24462382
2019-2,3842743.6405514223
2019-3,3899795.036479025
2019-4,3956846.4324066276
2019-5,4013897.82833423
2019-6,4070949.2242618324
2019-7,4128000.620189435
2019-8,4185052.0161170377
2019-9,4242103.412044641
2019-10,4299154.807972243
2019-11,4356206.2038998455
2019-12,4413257.599827448
2020-1,4470308.99575505
2020-2,4424048.253411877
2020-3,4377787.511068704
2020-4,4331526.76872553
2020-5,4285266.026382357
2020-6,4239005.2840391835
2020-7,4192744.54169601
2020-8,4146483.799352837
2020-9,4100223.0570096634
2020-10,4053962.31466649
2020-11,4007701.5723233167
2020-12,3961440.8299801433
2021-1,3915180.08763697
2021-2,3895934.4651851193
2021-3,3876688.842733268
2021-4,3857443.2202814175
2021-5,3838197.597829567
2021-6,3818951.9753777157
2021-7,3799706.352925865
2021-8,3780460.7304740143
2021-9,3761215.108022163
2021-10,3741969.4855703125
2021-11,3722723.863118462
2021-12,3703478.2406666107
2022-1,3684232.61821476
2022-2,3684232.61821476
2022-3,3684232.61821476
2022-4,3684232.61821476
2022-5,3684232.61821476
2022-6,3684232.61821476
2022-7,3684232.61821476
2022-8,3684232.61821476
2022-9,3684232.61821476
2022-10,3684232.61821476
2022-11,3684232.61821476
2022-12,3684232.61821476
2023-1,3684232.61821476
