,Alagoas - Depósito Poupança (R$)
2010-11,3069575.7924994333
2010-12,3081488.109649377
2011-1,3093400.42679932
2011-2,3112698.9652596833
2011-3,3131997.503720047
2011-4,3151296.04218041
2011-5,3170594.5806407733
2011-6,3189893.119101137
2011-7,3209191.6575615
2011-8,3228490.1960218633
2011-9,3247788.734482227
2011-10,3267087.27294259
2011-11,3286385.811402953
2011-12,3305684.349863317
2012-1,3324982.88832368
2012-2,3343491.0251062815
2012-3,3361999.1618888834
2012-4,3380507.298671485
2012-5,3399015.435454087
2012-6,3417523.5722366883
2012-7,3436031.7090192903
2012-8,3454539.8458018918
2012-9,3473047.9825844932
2012-10,3491556.119367095
2012-11,3510064.2561496967
2012-12,3528572.3929322986
2013-1,3547080.5297149
2013-2,3550244.0390002285
2013-3,3553407.548285557
2013-4,3556571.057570885
2013-5,3559734.5668562134
2013-6,3562898.076141542
2013-7,3566061.58542687
2013-8,3569225.0947121982
2013-9,3572388.6039975267
2013-10,3575552.113282855
2013-11,3578715.6225681836
2013-12,3581879.1318535116
2014-1,3585042.64113884
2014-2,3579615.1320944442
2014-3,3574187.6230500485
2014-4,3568760.1140056523
2014-5,3563332.6049612565
2014-6,3557905.0959168607
2014-7,3552477.586872465
2014-8,3547050.077828069
2014-9,3541622.5687836735
2014-10,3536195.0597392777
2014-11,3530767.5506948815
2014-12,3525340.0416504857
2015-1,3519912.53260609
2015-2,3502723.088823195
2015-3,3485533.6450402997
2015-4,3468344.201257405
2015-5,3451154.75747451
2015-6,3433965.313691615
2015-7,3416775.8699087203
2015-8,3399586.426125825
2015-9,3382396.98234293
2015-10,3365207.538560035
2015-11,3348018.09477714
2015-12,3330828.650994245
2016-1,3313639.20721135
2016-2,3320385.0512929345
2016-3,3327130.8953745184
2016-4,3333876.7394561027
2016-5,3340622.5835376866
2016-6,3347368.427619271
2016-7,3354114.2717008553
2016-8,3360860.1157824392
2016-9,3367605.9598640236
2016-10,3374351.8039456075
2016-11,3381097.648027192
2016-12,3387843.492108776
2017-1,3394589.33619036
2017-2,3408257.6749540186
2017-3,3421926.0137176765
2017-4,3435594.352481335
2017-5,3449262.6912449934
2017-6,3462931.030008652
2017-7,3476599.36877231
2017-8,3490267.707535968
2017-9,3503936.0462996266
2017-10,3517604.385063285
2017-11,3531272.723826943
2017-12,3544941.0625906014
2018-1,3558609.40135426
2018-2,3564389.258040212
2018-3,3570169.114726165
2018-4,3575948.9714121176
2018-5,3581728.82809807
2018-6,3587508.684784022
2018-7,3593288.541469975
2018-8,3599068.3981559277
2018-9,3604848.25484188
2018-10,3610628.111527832
2018-11,3616407.968213785
2018-12,3622187.8248997377
2019-1,3627967.68158569
2019-2,3689442.113247794
2019-3,3750916.544909898
2019-4,3812390.9765720023
2019-5,3873865.408234107
2019-6,3935339.839896211
2019-7,3996814.271558315
2019-8,4058288.703220419
2019-9,4119763.134882523
2019-10,4181237.566544628
2019-11,4242711.998206732
2019-12,4304186.429868836
2020-1,4365660.86153094
2020-2,4325712.971929709
2020-3,4285765.082328478
2020-4,4245817.192727247
2020-5,4205869.303126017
2020-6,4165921.413524786
2020-7,4125973.523923555
2020-8,4086025.634322324
2020-9,4046077.744721093
2020-10,4006129.8551198626
2020-11,3966181.9655186315
2020-12,3926234.0759174004
2021-1,3886286.18631617
2021-2,3876618.071972679
2021-3,3866949.957629188
2021-4,3857281.8432856975
2021-5,3847613.7289422066
2021-6,3837945.6145987157
2021-7,3828277.500255225
2021-8,3818609.3859117343
2021-9,3808941.2715682434
2021-10,3799273.1572247525
2021-11,3789605.0428812616
2021-12,3779936.928537771
2022-1,3770268.81419428
2022-2,3770268.81419428
2022-3,3770268.81419428
2022-4,3770268.81419428
2022-5,3770268.81419428
2022-6,3770268.81419428
2022-7,3770268.81419428
2022-8,3770268.81419428
2022-9,3770268.81419428
2022-10,3770268.81419428
2022-11,3770268.81419428
2022-12,3770268.81419428
2023-1,3770268.81419428
