,Mato Grosso - Depósito Poupança (R$)
2014-4,3879527.304922927
2014-5,3865339.61136291
2014-6,3851151.9178028926
2014-7,3836964.224242875
2014-8,3822776.530682857
2014-9,3808588.83712284
2014-10,3794401.1435628226
2014-11,3780213.450002805
2014-12,3766025.756442787
2015-1,3751838.06288277
2015-2,3738619.7162849326
2015-3,3725401.369687095
2015-4,3712183.0230892575
2015-5,3698964.67649142
2015-6,3685746.3298935825
2015-7,3672527.983295745
2015-8,3659309.6366979075
2015-9,3646091.29010007
2015-10,3632872.9435022324
2015-11,3619654.596904395
2015-12,3606436.2503065574
2016-1,3593217.90370872
2016-2,3611000.431811354
2016-3,3628782.9599139886
2016-4,3646565.4880166226
2016-5,3664348.0161192566
2016-6,3682130.544221891
2016-7,3699913.072324525
2016-8,3717695.600427159
2016-9,3735478.1285297936
2016-10,3753260.6566324276
2016-11,3771043.1847350616
2016-12,3788825.712837696
2017-1,3806608.24094033
2017-2,3826477.6339702285
2017-3,3846347.027000127
2017-4,3866216.420030025
2017-5,3886085.8130599232
2017-6,3905955.2060898216
2017-7,3925824.59911972
2017-8,3945693.9921496185
2017-9,3965563.385179517
2017-10,3985432.7782094153
2017-11,4005302.171239313
2017-12,4025171.5642692116
2018-1,4045040.95729911
2018-2,4051864.8277828917
2018-3,4058688.6982666734
2018-4,4065512.568750455
2018-5,4072336.4392342367
2018-6,4079160.3097180184
2018-7,4085984.1802018
2018-8,4092808.0506855818
2018-9,4099631.9211693634
2018-10,4106455.791653145
2018-11,4113279.662136927
2018-12,4120103.5326207085
2019-1,4126927.40310449
2019-2,4193324.967924586
2019-3,4259722.532744681
2019-4,4326120.097564777
2019-5,4392517.662384873
2019-6,4458915.227204969
2019-7,4525312.792025065
2019-8,4591710.356845161
2019-9,4658107.921665257
2019-10,4724505.486485353
2019-11,4790903.051305449
2019-12,4857300.6161255445
2020-1,4923698.18094564
2020-2,4888968.316540788
2020-3,4854238.452135935
2020-4,4819508.587731083
2020-5,4784778.72332623
2020-6,4750048.858921378
2020-7,4715318.994516525
2020-8,4680589.130111673
2020-9,4645859.26570682
2020-10,4611129.401301968
2020-11,4576399.536897115
2020-12,4541669.672492263
2021-1,4506939.80808741
2021-2,4462521.110189753
2021-3,4418102.412292095
2021-4,4373683.714394438
2021-5,4329265.01649678
2021-6,4284846.318599123
2021-7,4240427.620701466
2021-8,4196008.922803808
2021-9,4151590.2249061503
2021-10,4107171.5270084925
2021-11,4062752.829110835
2021-12,4018334.131213178
2022-1,3973915.43331552
2022-2,3973915.43331552
2022-3,3973915.43331552
2022-4,3973915.43331552
2022-5,3973915.43331552
2022-6,3973915.43331552
2022-7,3973915.43331552
2022-8,3973915.43331552
2022-9,3973915.43331552
2022-10,3973915.43331552
2022-11,3973915.43331552
2022-12,3973915.43331552
2023-1,3973915.43331552
