,Roraima - Depósito Poupança (R$)
2014-5,472720.63250890037
2014-6,469553.60496576544
2014-7,466386.5774226305
2014-8,463219.5498794956
2014-9,460052.52233636065
2014-10,456885.4947932258
2014-11,453718.46725009085
2014-12,450551.4397069559
2015-1,447384.412163821
2015-2,443052.0016337942
2015-3,438719.5911037675
2015-4,434387.18057374074
2015-5,430054.770043714
2015-6,425722.35951368726
2015-7,421389.9489836605
2015-8,417057.5384536337
2015-9,412725.127923607
2015-10,408392.71739358024
2015-11,404060.3068635535
2015-12,399727.89633352676
2016-1,395395.4858035
2016-2,396145.93639731023
2016-3,396896.3869911205
2016-4,397646.83758493076
2016-5,398397.288178741
2016-6,399147.73877255124
2016-7,399898.1893663615
2016-8,400648.6399601718
2016-9,401399.090553982
2016-10,402149.54114779225
2016-11,402899.99174160254
2016-12,403650.4423354128
2017-1,404400.892929223
2017-2,406700.30503344827
2017-3,408999.7171376735
2017-4,411299.1292418988
2017-5,413598.541346124
2017-6,415897.9534503493
2017-7,418197.3655545745
2017-8,420496.7776587997
2017-9,422796.189763025
2017-10,425095.6018672502
2017-11,427395.0139714755
2017-12,429694.4260757007
2018-1,431993.838179926
2018-2,436833.6710440812
2018-3,441673.5039082365
2018-4,446513.33677239175
2018-5,451353.169636547
2018-6,456193.0025007022
2018-7,461032.83536485746
2018-8,465872.66822901275
2018-9,470712.501093168
2018-10,475552.3339573232
2018-11,480392.1668214785
2018-12,485231.99968563375
2019-1,490071.832549789
2019-2,499497.131874074
2019-3,508922.431198359
2019-4,518347.730522644
2019-5,527773.029846929
2019-6,537198.329171214
2019-7,546623.628495499
2019-8,556048.927819784
2019-9,565474.2271440689
2019-10,574899.5264683539
2019-11,584324.8257926389
2019-12,593750.1251169239
2020-1,603175.424441209
2020-2,602719.4407949185
2020-3,602263.457148628
2020-4,601807.4735023375
2020-5,601351.489856047
2020-6,600895.5062097565
2020-7,600439.522563466
2020-8,599983.5389171755
2020-9,599527.555270885
2020-10,599071.5716245945
2020-11,598615.587978304
2020-12,598159.6043320135
2021-1,597703.620685723
2021-2,592458.8836292676
2021-3,587214.1465728122
2021-4,581969.4095163568
2021-5,576724.6724599013
2021-6,571479.935403446
2021-7,566235.1983469905
2021-8,560990.461290535
2021-9,555745.7242340797
2021-10,550500.9871776243
2021-11,545256.2501211688
2021-12,540011.5130647135
2022-1,534766.776008258
2022-2,534766.776008258
2022-3,534766.776008258
2022-4,534766.776008258
2022-5,534766.776008258
2022-6,534766.776008258
2022-7,534766.776008258
2022-8,534766.776008258
2022-9,534766.776008258
2022-10,534766.776008258
2022-11,534766.776008258
2022-12,534766.776008258
2023-1,534766.776008258
