,Rio Grande do Norte - Depósito Poupança (R$)
2010-12,3095889.4484227602
2011-1,3102611.14473392
2011-2,3122237.4950314136
2011-3,3141863.845328907
2011-4,3161490.1956264004
2011-5,3181116.5459238933
2011-6,3200742.8962213867
2011-7,3220369.24651888
2011-8,3239995.5968163735
2011-9,3259621.947113867
2011-10,3279248.29741136
2011-11,3298874.6477088532
2011-12,3318500.9980063466
2012-1,3338127.34830384
2012-2,3369093.646523931
2012-3,3400059.9447440216
2012-4,3431026.2429641127
2012-5,3461992.5411842032
2012-6,3492958.8394042943
2012-7,3523925.137624385
2012-8,3554891.435844476
2012-9,3585857.734064567
2012-10,3616824.0322846575
2012-11,3647790.3305047485
2012-12,3678756.6287248395
2013-1,3709722.92694493
2013-2,3731118.7244333783
2013-3,3752514.5219218265
2013-4,3773910.319410275
2013-5,3795306.1168987234
2013-6,3816701.9143871716
2013-7,3838097.7118756203
2013-8,3859493.5093640685
2013-9,3880889.3068525167
2013-10,3902285.104340965
2013-11,3923680.901829413
2013-12,3945076.699317862
2014-1,3966472.49680631
2014-2,3957054.793196239
2014-3,3947637.0895861685
2014-4,3938219.3859760975
2014-5,3928801.6823660266
2014-6,3919383.978755956
2014-7,3909966.275145885
2014-8,3900548.571535814
2014-9,3891130.8679257436
2014-10,3881713.1643156726
2014-11,3872295.4607056016
2014-12,3862877.757095531
2015-1,3853460.05348546
2015-2,3841434.4162081545
2015-3,3829408.7789308485
2015-4,3817383.1416535424
2015-5,3805357.504376237
2015-6,3793331.867098931
2015-7,3781306.229821625
2015-8,3769280.592544319
2015-9,3757254.9552670135
2015-10,3745229.317989708
2015-11,3733203.680712402
2015-12,3721178.043435096
2016-1,3709152.40615779
2016-2,3722482.2108198693
2016-3,3735812.0154819484
2016-4,3749141.8201440275
2016-5,3762471.624806107
2016-6,3775801.429468186
2016-7,3789131.234130265
2016-8,3802461.0387923443
2016-9,3815790.8434544234
2016-10,3829120.648116503
2016-11,3842450.452778582
2016-12,3855780.257440661
2017-1,3869110.06210274
2017-2,3884835.1308007184
2017-3,3900560.1994986967
2017-4,3916285.268196675
2017-5,3932010.3368946533
2017-6,3947735.4055926315
2017-7,3963460.4742906103
2017-8,3979185.5429885886
2017-9,3994910.611686567
2017-10,4010635.680384545
2017-11,4026360.7490825234
2017-12,4042085.8177805017
2018-1,4057810.88647848
2018-2,4058032.734215569
2018-3,4058254.5819526585
2018-4,4058476.4296897473
2018-5,4058698.2774268365
2018-6,4058920.125163926
2018-7,4059141.972901015
2018-8,4059363.8206381043
2018-9,4059585.6683751936
2018-10,4059807.516112283
2018-11,4060029.3638493717
2018-12,4060251.211586461
2019-1,4060473.05932355
2019-2,4127030.5105229267
2019-3,4193587.9617223036
2019-4,4260145.41292168
2019-5,4326702.864121057
2019-6,4393260.315320433
2019-7,4459817.76651981
2019-8,4526375.217719187
2019-9,4592932.668918563
2019-10,4659490.12011794
2019-11,4726047.571317317
2019-12,4792605.022516693
2020-1,4859162.47371607
2020-2,4800609.809823325
2020-3,4742057.14593058
2020-4,4683504.482037835
2020-5,4624951.81814509
2020-6,4566399.154252345
2020-7,4507846.4903596
2020-8,4449293.826466855
2020-9,4390741.16257411
2020-10,4332188.498681365
2020-11,4273635.83478862
2020-12,4215083.1708958745
2021-1,4156530.50700313
2021-2,4132520.8043521866
2021-3,4108511.1017012433
2021-4,4084501.3990503
2021-5,4060491.6963993567
2021-6,4036481.9937484134
2021-7,4012472.2910974696
2021-8,3988462.5884465263
2021-9,3964452.885795583
2021-10,3940443.1831446397
2021-11,3916433.4804936964
2021-12,3892423.777842753
2022-1,3868414.07519181
2022-2,3868414.07519181
2022-3,3868414.07519181
2022-4,3868414.07519181
2022-5,3868414.07519181
2022-6,3868414.07519181
2022-7,3868414.07519181
2022-8,3868414.07519181
2022-9,3868414.07519181
2022-10,3868414.07519181
2022-11,3868414.07519181
2022-12,3868414.07519181
2023-1,3868414.07519181
