,Rio Grande do Sul - Depósito Poupança (R$)
2014-12,35685915.75289372
2015-1,35522303.3434939
2015-2,35428997.77416592
2015-3,35335692.20483793
2015-4,35242386.63550995
2015-5,35149081.066181965
2015-6,35055775.496853985
2015-7,34962469.927526
2015-8,34869164.35819802
2015-9,34775858.78887004
2015-10,34682553.21954205
2015-11,34589247.65021407
2015-12,34495942.08088608
2016-1,34402636.5115581
2016-2,34636966.305922635
2016-3,34871296.10028717
2016-4,35105625.894651696
2016-5,35339955.68901623
2016-6,35574285.483380765
2016-7,35808615.2777453
2016-8,36042945.07210983
2016-9,36277274.86647437
2016-10,36511604.6608389
2016-11,36745934.45520343
2016-12,36980264.24956796
2017-1,37214594.0439325
2017-2,37484323.95324885
2017-3,37754053.8625652
2017-4,38023783.77188155
2017-5,38293513.6811979
2017-6,38563243.59051425
2017-7,38832973.4998306
2017-8,39102703.40914695
2017-9,39372433.3184633
2017-10,39642163.22777965
2017-11,39911893.137096
2017-12,40181623.04641235
2018-1,40451352.9557287
2018-2,40543586.87497515
2018-3,40635820.7942216
2018-4,40728054.71346805
2018-5,40820288.6327145
2018-6,40912522.55196095
2018-7,41004756.4712074
2018-8,41096990.39045385
2018-9,41189224.3097003
2018-10,41281458.22894675
2018-11,41373692.1481932
2018-12,41465926.06743965
2019-1,41558159.9866861
2019-2,41986071.91737466
2019-3,42413983.848063216
2019-4,42841895.778751776
2019-5,43269807.709440336
2019-6,43697719.640128896
2019-7,44125631.570817456
2019-8,44553543.50150601
2019-9,44981455.43219457
2019-10,45409367.36288313
2019-11,45837279.29357168
2019-12,46265191.22426024
2020-1,46693103.1549488
2020-2,46457803.4348607
2020-3,46222503.7147726
2020-4,45987203.9946845
2020-5,45751904.2745964
2020-6,45516604.5545083
2020-7,45281304.834420204
2020-8,45046005.1143321
2020-9,44810705.394244
2020-10,44575405.6741559
2020-11,44340105.9540678
2020-12,44104806.2339797
2021-1,43869506.5138916
2021-2,43438289.86089124
2021-3,43007073.20789088
2021-4,42575856.55489053
2021-5,42144639.901890166
2021-6,41713423.248889804
2021-7,41282206.59588945
2021-8,40850989.942889094
2021-9,40419773.28988873
2021-10,39988556.63688837
2021-11,39557339.983888015
2021-12,39126123.33088766
2022-1,38694906.6778873
2022-2,38694906.6778873
2022-3,38694906.6778873
2022-4,38694906.6778873
2022-5,38694906.6778873
2022-6,38694906.6778873
2022-7,38694906.6778873
2022-8,38694906.6778873
2022-9,38694906.6778873
2022-10,38694906.6778873
2022-11,38694906.6778873
2022-12,38694906.6778873
2023-1,38694906.6778873
