,Pernambuco - Depósito Poupança (R$)
2013-3,12826835.877511535
2013-4,12903915.798909951
2013-5,12980995.720308367
2013-6,13058075.641706783
2013-7,13135155.5631052
2013-8,13212235.484503618
2013-9,13289315.405902034
2013-10,13366395.32730045
2013-11,13443475.248698868
2013-12,13520555.170097284
2014-1,13597635.0914957
2014-2,13526895.926320234
2014-3,13456156.761144767
2014-4,13385417.5959693
2014-5,13314678.430793833
2014-6,13243939.265618367
2014-7,13173200.100442901
2014-8,13102460.935267434
2014-9,13031721.770091968
2014-10,12960982.6049165
2014-11,12890243.439741034
2014-12,12819504.274565566
2015-1,12748765.1093901
2015-2,12662335.557168059
2015-3,12575906.004946018
2015-4,12489476.452723976
2015-5,12403046.900501933
2015-6,12316617.348279892
2015-7,12230187.79605785
2015-8,12143758.243835809
2015-9,12057328.691613767
2015-10,11970899.139391724
2015-11,11884469.587169683
2015-12,11798040.034947641
2016-1,11711610.4827256
2016-2,11764000.817602359
2016-3,11816391.152479116
2016-4,11868781.487355875
2016-5,11921171.822232634
2016-6,11973562.157109391
2016-7,12025952.49198615
2016-8,12078342.826862909
2016-9,12130733.161739666
2016-10,12183123.496616425
2016-11,12235513.831493184
2016-12,12287904.166369941
2017-1,12340294.5012467
2017-2,12375803.802614626
2017-3,12411313.10398255
2017-4,12446822.405350475
2017-5,12482331.7067184
2017-6,12517841.008086326
2017-7,12553350.309454251
2017-8,12588859.610822175
2017-9,12624368.9121901
2017-10,12659878.213558026
2017-11,12695387.51492595
2017-12,12730896.816293875
2018-1,12766406.1176618
2018-2,12784438.824796192
2018-3,12802471.531930584
2018-4,12820504.239064975
2018-5,12838536.946199367
2018-6,12856569.653333759
2018-7,12874602.36046815
2018-8,12892635.067602541
2018-9,12910667.774736933
2018-10,12928700.481871326
2018-11,12946733.189005718
2018-12,12964765.896140108
2019-1,12982798.6032745
2019-2,13141181.430143267
2019-3,13299564.257012034
2019-4,13457947.0838808
2019-5,13616329.910749566
2019-6,13774712.737618333
2019-7,13933095.5644871
2019-8,14091478.391355867
2019-9,14249861.218224633
2019-10,14408244.045093399
2019-11,14566626.871962165
2019-12,14725009.698830932
2020-1,14883392.5256997
2020-2,14721616.924384765
2020-3,14559841.323069833
2020-4,14398065.7217549
2020-5,14236290.120439965
2020-6,14074514.519125033
2020-7,13912738.9178101
2020-8,13750963.316495165
2020-9,13589187.715180233
2020-10,13427412.1138653
2020-11,13265636.512550365
2020-12,13103860.911235433
2021-1,12942085.3099205
2021-2,12870386.997499416
2021-3,12798688.685078332
2021-4,12726990.372657249
2021-5,12655292.060236165
2021-6,12583593.747815082
2021-7,12511895.435394
2021-8,12440197.122972917
2021-9,12368498.810551833
2021-10,12296800.49813075
2021-11,12225102.185709666
2021-12,12153403.873288583
2022-1,12081705.5608675
2022-2,12081705.5608675
2022-3,12081705.5608675
2022-4,12081705.5608675
2022-5,12081705.5608675
2022-6,12081705.5608675
2022-7,12081705.5608675
2022-8,12081705.5608675
2022-9,12081705.5608675
2022-10,12081705.5608675
2022-11,12081705.5608675
2022-12,12081705.5608675
2023-1,12081705.5608675
