,Rio de Janeiro - Depósito Poupança (R$)
2009-4,48824739.32500342
2009-5,49168339.08922526
2009-6,49511938.85344711
2009-7,49855538.61766895
2009-8,50199138.38189079
2009-9,50542738.146112636
2009-10,50886337.910334475
2009-11,51229937.674556315
2009-12,51573537.43877816
2010-1,51917137.203
2010-2,52001862.66454806
2010-3,52086588.126096115
2010-4,52171313.587644175
2010-5,52256039.049192235
2010-6,52340764.510740295
2010-7,52425489.972288355
2010-8,52510215.43383641
2010-9,52594940.89538447
2010-10,52679666.35693253
2010-11,52764391.81848058
2010-12,52849117.28002864
2011-1,52933842.7415767
2011-2,53330473.90573889
2011-3,53727105.06990109
2011-4,54123736.234063275
2011-5,54520367.398225464
2011-6,54916998.56238766
2011-7,55313629.72654985
2011-8,55710260.89071204
2011-9,56106892.054874234
2011-10,56503523.21903642
2011-11,56900154.38319861
2011-12,57296785.54736081
2012-1,57693416.711523
2012-2,58260444.673682004
2012-3,58827472.63584101
2012-4,59394500.59800002
2012-5,59961528.56015903
2012-6,60528556.522318035
2012-7,61095584.48447704
2012-8,61662612.44663606
2012-9,62229640.408795066
2012-10,62796668.370954074
2012-11,63363696.33311308
2012-12,63930724.29527209
2013-1,64497752.2574311
2013-2,64576741.98048039
2013-3,64655731.70352968
2013-4,64734721.42657897
2013-5,64813711.14962827
2013-6,64892700.87267756
2013-7,64971690.59572685
2013-8,65050680.31877614
2013-9,65129670.04182543
2013-10,65208659.76487473
2013-11,65287649.48792402
2013-12,65366639.21097331
2014-1,65445628.9340226
2014-2,64968460.26777339
2014-3,64491291.60152418
2014-4,64014122.93527497
2014-5,63536954.269025765
2014-6,63059785.60277656
2014-7,62582616.93652735
2014-8,62105448.27027814
2014-9,61628279.60402893
2014-10,61151110.937779725
2014-11,60673942.27153052
2014-12,60196773.60528131
2015-1,59719604.9390321
2015-2,59340907.617986284
2015-3,58962210.29694047
2015-4,58583512.97589465
2015-5,58204815.65484884
2015-6,57826118.33380302
2015-7,57447421.0127572
2015-8,57068723.69171138
2015-9,56690026.370665565
2015-10,56311329.04961975
2015-11,55932631.72857393
2015-12,55553934.40752812
2016-1,55175237.0864823
2016-2,55292415.90514786
2016-3,55409594.723813415
2016-4,55526773.54247898
2016-5,55643952.361144535
2016-6,55761131.17981009
2016-7,55878309.998475656
2016-8,55995488.81714121
2016-9,56112667.63580677
2016-10,56229846.454472326
2016-11,56347025.27313788
2016-12,56464204.09180345
2017-1,56581382.910469
2017-2,56753427.15911441
2017-3,56925471.407759815
2017-4,57097515.656405225
2017-5,57269559.905050635
2017-6,57441604.153696045
2017-7,57613648.402341455
2017-8,57785692.65098686
2017-9,57957736.89963227
2017-10,58129781.14827768
2017-11,58301825.39692308
2017-12,58473869.64556849
2018-1,58645913.8942139
2018-2,58666482.31989691
2018-3,58687050.74557991
2018-4,58707619.17126293
2018-5,58728187.596945934
2018-6,58748756.02262894
2018-7,58769324.448311955
2018-8,58789892.87399496
2018-9,58810461.29967797
2018-10,58831029.725360975
2018-11,58851598.15104398
2018-12,58872166.576726995
2019-1,58892735.00241
2019-2,59232367.6677097
2019-3,59572000.3330094
2019-4,59911632.998309106
2019-5,60251265.663608804
2019-6,60590898.3289085
2019-7,60930530.9942082
2019-8,61270163.6595079
2019-9,61609796.3248076
2019-10,61949428.9901073
2019-11,62289061.655407004
2019-12,62628694.3207067
2020-1,62968326.9860064
2020-2,62427710.4064252
2020-3,61887093.826844
2020-4,61346477.247262806
2020-5,60805860.667681605
2020-6,60265244.0881004
2020-7,59724627.5085192
2020-8,59184010.928938
2020-9,58643394.3493568
2020-10,58102777.7697756
2020-11,57562161.190194406
2020-12,57021544.610613205
2021-1,56480928.031032
2021-2,55925384.30806048
2021-3,55369840.58508895
2021-4,54814296.862117425
2021-5,54258753.1391459
2021-6,53703209.41617438
2021-7,53147665.69320285
2021-8,52592121.970231324
2021-9,52036578.2472598
2021-10,51481034.52428828
2021-11,50925490.80131675
2021-12,50369947.078345224
2022-1,49814403.3553737
2022-2,49814403.3553737
2022-3,49814403.3553737
2022-4,49814403.3553737
2022-5,49814403.3553737
2022-6,49814403.3553737
2022-7,49814403.3553737
2022-8,49814403.3553737
2022-9,49814403.3553737
2022-10,49814403.3553737
2022-11,49814403.3553737
2022-12,49814403.3553737
2023-1,49814403.3553737
