,Distrito Federal - Depósito Poupança (R$)
2016-1,10019421.0885526
2016-2,10093816.617261091
2016-3,10168212.145969583
2016-4,10242607.674678074
2016-5,10317003.203386566
2016-6,10391398.732095057
2016-7,10465794.26080355
2016-8,10540189.789512042
2016-9,10614585.318220533
2016-10,10688980.846929025
2016-11,10763376.375637516
2016-12,10837771.904346008
2017-1,10912167.4330545
2017-2,11004938.102803832
2017-3,11097708.772553166
2017-4,11190479.442302499
2017-5,11283250.112051833
2017-6,11376020.781801166
2017-7,11468791.451550499
2017-8,11561562.121299833
2017-9,11654332.791049166
2017-10,11747103.4607985
2017-11,11839874.130547833
2017-12,11932644.800297167
2018-1,12025415.4700465
2018-2,12081047.142039208
2018-3,12136678.814031916
2018-4,12192310.486024626
2018-5,12247942.158017334
2018-6,12303573.830010042
2018-7,12359205.50200275
2018-8,12414837.173995458
2018-9,12470468.845988166
2018-10,12526100.517980874
2018-11,12581732.189973583
2018-12,12637363.861966291
2019-1,12692995.533959
2019-2,12930556.10479499
2019-3,13168116.675630983
2019-4,13405677.246466976
2019-5,13643237.817302966
2019-6,13880798.388138957
2019-7,14118358.95897495
2019-8,14355919.529810943
2019-9,14593480.100646934
2019-10,14831040.671482924
2019-11,15068601.242318917
2019-12,15306161.81315491
2020-1,15543722.3839909
2020-2,15458725.903297083
2020-3,15373729.422603268
2020-4,15288732.941909451
2020-5,15203736.461215634
2020-6,15118739.980521817
2020-7,15033743.499828
2020-8,14948747.019134184
2020-9,14863750.538440367
2020-10,14778754.05774655
2020-11,14693757.577052735
2020-12,14608761.096358918
2021-1,14523764.6156651
2021-2,14375360.44624821
2021-3,14226956.276831318
2021-4,14078552.107414424
2021-5,13930147.937997533
2021-6,13781743.768580642
2021-7,13633339.59916375
2021-8,13484935.429746859
2021-9,13336531.260329967
2021-10,13188127.090913076
2021-11,13039722.921496183
2021-12,12891318.752079291
2022-1,12742914.5826624
2022-2,12742914.5826624
2022-3,12742914.5826624
2022-4,12742914.5826624
2022-5,12742914.5826624
2022-6,12742914.5826624
2022-7,12742914.5826624
2022-8,12742914.5826624
2022-9,12742914.5826624
2022-10,12742914.5826624
2022-11,12742914.5826624
2022-12,12742914.5826624
2023-1,12742914.5826624
