,Minas Gerais - Depósito Poupança (R$)
2015-8,45229131.069071904
2015-9,45041281.45036666
2015-10,44853431.83166142
2015-11,44665582.21295618
2015-12,44477732.59425094
2016-1,44289882.9755457
2016-2,44444510.26917715
2016-3,44599137.56280862
2016-4,44753764.856440075
2016-5,44908392.15007153
2016-6,45063019.44370299
2016-7,45217646.737334445
2016-8,45372274.03096591
2016-9,45526901.324597366
2016-10,45681528.61822882
2016-11,45836155.91186029
2016-12,45990783.205491744
2017-1,46145410.4991232
2017-2,46320075.675038554
2017-3,46494740.8509539
2017-4,46669406.02686925
2017-5,46844071.2027846
2017-6,47018736.37869995
2017-7,47193401.554615304
2017-8,47368066.73053065
2017-9,47542731.906446
2017-10,47717397.08236135
2017-11,47892062.2582767
2017-12,48066727.43419205
2018-1,48241392.6101074
2018-2,48378990.62714545
2018-3,48516588.6441835
2018-4,48654186.66122155
2018-5,48791784.678259596
2018-6,48929382.69529765
2018-7,49066980.7123357
2018-8,49204578.729373746
2018-9,49342176.7464118
2018-10,49479774.76344985
2018-11,49617372.780487895
2018-12,49754970.79752595
2019-1,49892568.814564
2019-2,50470860.45813116
2019-3,51049152.10169832
2019-4,51627443.74526547
2019-5,52205735.38883263
2019-6,52784027.03239979
2019-7,53362318.67596695
2019-8,53940610.31953411
2019-9,54518901.96310127
2019-10,55097193.60666843
2019-11,55675485.25023558
2019-12,56253776.89380274
2020-1,56832068.5373699
2020-2,56449640.66287952
2020-3,56067212.78838913
2020-4,55684784.91389875
2020-5,55302357.03940836
2020-6,54919929.16491798
2020-7,54537501.290427595
2020-8,54155073.415937215
2020-9,53772645.541446835
2020-10,53390217.66695645
2020-11,53007789.79246607
2020-12,52625361.91797568
2021-1,52242934.0434853
2021-2,51733120.89179985
2021-3,51223307.7401144
2021-4,50713494.58842895
2021-5,50203681.4367435
2021-6,49693868.28505805
2021-7,49184055.133372605
2021-8,48674241.98168715
2021-9,48164428.830001704
2021-10,47654615.67831625
2021-11,47144802.526630804
2021-12,46634989.37494536
2022-1,46125176.2232599
2022-2,46125176.2232599
2022-3,46125176.2232599
2022-4,46125176.2232599
2022-5,46125176.2232599
2022-6,46125176.2232599
2022-7,46125176.2232599
2022-8,46125176.2232599
2022-9,46125176.2232599
2022-10,46125176.2232599
2022-11,46125176.2232599
2022-12,46125176.2232599
2023-1,46125176.2232599
