,Mato Grosso do Sul - Depósito Poupança (R$)
2018-8,3637981.1036150474
2018-9,3638565.08493431
2018-10,3639149.0662535727
2018-11,3639733.0475728353
2018-12,3640317.0288920975
2019-1,3640901.01021136
2019-2,3681979.9132944425
2019-3,3723058.816377525
2019-4,3764137.7194606075
2019-5,3805216.6225436903
2019-6,3846295.5256267725
2019-7,3887374.4287098553
2019-8,3928453.3317929376
2019-9,3969532.23487602
2019-10,4010611.1379591026
2019-11,4051690.041042185
2019-12,4092768.9441252677
2020-1,4133847.84720835
2020-2,4105094.5309092216
2020-3,4076341.2146100933
2020-4,4047587.898310965
2020-5,4018834.5820118366
2020-6,3990081.2657127082
2020-7,3961327.94941358
2020-8,3932574.6331144515
2020-9,3903821.316815323
2020-10,3875068.000516195
2020-11,3846314.6842170665
2020-12,3817561.367917938
2021-1,3788808.05161881
2021-2,3752701.209331826
2021-3,3716594.3670448414
2021-4,3680487.5247578574
2021-5,3644380.682470873
2021-6,3608273.840183889
2021-7,3572166.997896905
2021-8,3536060.1556099206
2021-9,3499953.3133229367
2021-10,3463846.471035952
2021-11,3427739.6287489682
2021-12,3391632.786461984
2022-1,3355525.944175
2022-2,3355525.944175
2022-3,3355525.944175
2022-4,3355525.944175
2022-5,3355525.944175
2022-6,3355525.944175
2022-7,3355525.944175
2022-8,3355525.944175
2022-9,3355525.944175
2022-10,3355525.944175
2022-11,3355525.944175
2022-12,3355525.944175
2023-1,3355525.944175
