,Acre - Depósito Poupança (R$)
2015-10,642104.9256853466
2015-11,640949.9881179997
2015-12,639795.0505506529
2016-1,638640.112983306
2016-2,638419.8029965936
2016-3,638199.4930098812
2016-4,637979.1830231688
2016-5,637758.8730364564
2016-6,637538.563049744
2016-7,637318.2530630315
2016-8,637097.9430763191
2016-9,636877.6330896067
2016-10,636657.3231028942
2016-11,636437.0131161818
2016-12,636216.7031294694
2017-1,635996.393142757
2017-2,640739.3991210738
2017-3,645482.4050993905
2017-4,650225.4110777073
2017-5,654968.417056024
2017-6,659711.4230343407
2017-7,664454.4290126575
2017-8,669197.4349909743
2017-9,673940.440969291
2017-10,678683.4469476077
2017-11,683426.4529259244
2017-12,688169.4589042412
2018-1,692912.464882558
2018-2,695256.4368171871
2018-3,697600.4087518163
2018-4,699944.3806864455
2018-5,702288.3526210746
2018-6,704632.3245557038
2018-7,706976.296490333
2018-8,709320.2684249622
2018-9,711664.2403595913
2018-10,714008.2122942205
2018-11,716352.1842288496
2018-12,718696.1561634789
2019-1,721040.128098108
2019-2,737872.1317945542
2019-3,754704.1354910005
2019-4,771536.1391874468
2019-5,788368.142883893
2019-6,805200.1465803392
2019-7,822032.1502767855
2019-8,838864.1539732318
2019-9,855696.157669678
2019-10,872528.1613661242
2019-11,889360.1650625705
2019-12,906192.1687590168
2020-1,923024.172455463
2020-2,912687.1424227573
2020-3,902350.1123900516
2020-4,892013.082357346
2020-5,881676.0523246403
2020-6,871339.0222919347
2020-7,861001.9922592291
2020-8,850664.9622265233
2020-9,840327.9321938177
2020-10,829990.902161112
2020-11,819653.8721284063
2020-12,809316.8420957007
2021-1,798979.812062995
2021-2,795115.8435328311
2021-3,791251.8750026671
2021-4,787387.906472503
2021-5,783523.937942339
2021-6,779659.969412175
2021-7,775796.000882011
2021-8,771932.032351847
2021-9,768068.063821683
2021-10,764204.0952915191
2021-11,760340.126761355
2021-12,756476.158231191
2022-1,752612.189701027
2022-2,752612.189701027
2022-3,752612.189701027
2022-4,752612.189701027
2022-5,752612.189701027
2022-6,752612.189701027
2022-7,752612.189701027
2022-8,752612.189701027
2022-9,752612.189701027
2022-10,752612.189701027
2022-11,752612.189701027
2022-12,752612.189701027
2023-1,752612.189701027
