Ano,Amazonas - Produção de Cimento (t),Amazonas - IDH,Amazonas - Valor Cimento Portland, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Amazonas - Consumo de Cimento (t),Amazonas - PIB - Estadual,Amazonas - PIB - Construção Civil,Amazonas - PIB - Per Capita,Amazonas - PIB - Preços de Mercado,Amazonas - Desemprego
2013,694.726016325916,0.7083648484848485,7.298679615541348,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,1036.606,54343676.97416584,2507099.0811639237,12.39409966921,44154521.1911503,12.00892052667675
2014,629.9068173619919,0.7088952525252524,7.338801583704782,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,771.5678571428572,54871066.55772448,2472487.1553467065,12.35911602616782,44128236.32504803,12.61021681897106
2015,585.6274239904403,0.7091365235690236,6.807207510392515,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,746.8674857142857,55276571.91769078,2446996.1272940994,12.336146867536584,44114405.23325801,13.139355659438117
2016,527.1232254818696,0.7130387014080196,6.315192807880764,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,739.4576571428571,55619967.87257329,2436679.96781624,12.339032269686298,44166889.06324488,13.263560785850125
2017,447.66543974589,0.7132240378996578,6.418896455019485,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,687.211,55811509.70368513,2432227.154994185,12.358278815928172,44248024.8426424,12.821072300336525
2018,427.7622197215429,0.7118807686178085,6.6024969341970845,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,350.177,55851577.179964736,2441181.5383372856,12.3815811079075,44307895.45344113,12.662273854114616
2019,464.8931165462264,0.7113244748557911,7.224426716448024,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,533.444,55598171.518561296,2458407.733926431,12.387236323448588,44292175.01703816,12.576163667325316
2020,474.9802474784629,0.7099903362063175,8.128439528291215,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,595.32,54991131.96298135,2476121.0651891744,12.382492526505668,44185871.715560585,12.440276706198675
2021,468.32666396725006,0.7084440031341646,8.673326689249862,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,610.155,54020920.98887213,2486958.860864038,12.396810477213776,44055053.50882462,12.255143275759364
2022,470.48383040841566,0.709211639782725,8.898434148035284,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,640.274,52844051.53549828,2500010.9244047604,12.412849941926426,43886691.71221306,12.276323382021529
