Ano,Tocantins - IDH,Tocantins - Desemprego, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Tocantins - Produção de Cimento (t),Tocantins - PIB - Estadual,Tocantins - PIB - Construção Civil,Tocantins - PIB - Per Capita,Tocantins - PIB - Preços de Mercado,Tocantins - Consumo de Cimento (t)
2013,0.7257421318742985,9.822893776246772,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,530.7569914890389,19133291.88461625,1228869.7401848757,10.67364320364518,22779873.940811023,525.234
2014,0.7263039761971567,10.19299143762296,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,534.4221926954918,19454605.01138493,1234495.4218660607,10.702690432953336,23013224.3523934,426.7672857142857
2015,0.7254126408802531,10.501089854035232,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,515.3837931383493,19715438.089469302,1239338.0775501044,10.728748975833192,23248250.1083597,454.92942857142856
2016,0.7357263588731734,10.392739827126608,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,535.1861077636606,19891995.324615203,1246861.7610110326,10.74632465497041,23477863.773530506,489.0162857142857
2017,0.7358833005889164,9.894472309144492,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,580.856957409161,19981956.741382327,1262231.3415159052,10.764439166374787,23716817.081230164,500.27
2018,0.7355090551879088,9.761228265491662,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,599.8119150341745,19968974.61989828,1273955.534988647,10.766723955133749,23941660.37914466,396.438
2019,0.734282605659537,9.617661967224004,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,654.7548154978535,19875891.738978773,1284681.7806525514,10.76242864133936,24181452.34341488,402.932
2020,0.7327628425376765,9.37149307082812,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,735.7478469321086,19608655.44744585,1299452.0727747355,10.729157552359885,24391927.90517209,500.126
2021,0.7307412827683745,9.06672793070744,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,778.6790124760463,19117629.093204305,1323080.4185864232,10.676667410623155,24579200.330760423,542.03
2022,0.7307177630200449,9.118915446595413,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,796.1025881963274,18527308.427373,1348818.984388131,10.61211360089997,24775395.193309583,554.321
