Ano,Roraima - Desemprego,Roraima - Valor Cimento Portland,Roraima - Consumo de Cimento (t),Roraima - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Roraima - Produção de Cimento (t),Roraima - PIB - Estadual,Roraima - PIB - Construção Civil,Roraima - PIB - Per Capita,Roraima - PIB - Preços de Mercado
2013,9.551097733773972,4.525008518386522,121.914,0.7359292181818181,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,0.0,7239848.492107861,349584.10065382905,12.18224260030205,5648191.918466686
2014,10.328300066137947,4.766966150518861,120.41757142857142,0.735756653030303,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,0.0,7349319.695531301,344289.7366271473,12.154910872861784,5667961.284129783
2015,10.723766652401402,4.9300660019596885,113.28205714285713,0.7350697074494948,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,0.0,7439257.98177897,340498.3564897025,12.130631287459824,5685184.983817315
2016,10.76410054018944,4.9952510030681525,105.48137142857142,0.7351676443411386,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,0.0,7513613.838505791,340512.0387012236,12.120014409962252,5705073.927727124
2017,10.533541976149433,5.090315724789317,99.723,0.733637430190333,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,0.0,7560264.93979676,340005.35791734443,12.115483468178258,5723617.424583924
2018,10.64220167334523,5.241760658385503,83.012,0.7325135602076361,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,0.0,7565390.829916128,340384.5456920989,12.089987900863004,5726484.56287206
2019,10.430271500792678,5.624626780038363,121.12,0.7300147929537849,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,0.0,7519466.888937675,340174.81950989953,12.077845243078883,5712961.074096622
2020,9.898626399748869,6.271599099737859,151.571,0.7282888650404925,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,0.0,7427921.883232112,340776.5848536629,12.078197035671565,5688955.672386168
2021,9.503368464811988,6.773945164705868,144.989,0.7273151254987191,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,0.0,7252612.996730357,340641.3911536676,12.095909092308265,5643384.230357151
2022,9.643865066543418,6.945644687366364,132.21699999999998,0.7298892278167844,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,0.0,7041849.039600415,340251.1267723755,12.115271469406776,5587542.994449749
