,São Paulo - PIB - Estadual,São Paulo - PIB - Construção Civil,São Paulo - PIB - Per Capita,São Paulo - PIB - Preços de Mercado
2005-6,1067443141.343827,47880298.961136356,24.068545524198978,991262400.7428079
2005-7,1068415284.4303572,47897236.80004974,24.072976010734333,991480330.6959955
2005-8,1069387427.5168873,47914174.638963126,24.07740649726969,991698260.649183
2005-9,1070359570.6034174,47931112.477876514,24.081836983805044,991916190.6023706
2005-10,1071331713.6899476,47948050.316789895,24.0862674703404,992134120.5555582
2005-11,1072303856.7764777,47964988.155703284,24.090697956875754,992352050.5087458
2005-12,1073275999.8630079,47981925.994616665,24.09512844341111,992569980.4619334
2006-1,1074248142.949538,47998863.83353005,24.099558929946465,992787910.415121
2006-2,1075097729.074698,48026871.16249654,24.102985030172004,992935946.1006722
2006-3,1075947315.1998582,48054878.49146302,24.106411130397547,993083981.7862235
2006-4,1076796901.3250182,48082885.820429504,24.109837230623086,993232017.4717748
2006-5,1077646487.4501784,48110893.14939599,24.11326333084863,993380053.1573261
2006-6,1078496073.5753384,48138900.47836247,24.116689431074168,993528088.8428774
2006-7,1079345659.7004986,48166907.807328954,24.12011553129971,993676124.5284286
2006-8,1080195245.8256586,48194915.13629543,24.12354163152525,993824160.2139798
2006-9,1081044831.9508185,48222922.465261914,24.12696773175079,993972195.8995311
2006-10,1081894418.0759788,48250929.7942284,24.13039383197633,994120231.5850824
2006-11,1082744004.2011387,48278937.12319488,24.13381993220187,994268267.2706337
2006-12,1083593590.326299,48306944.452161364,24.137246032427413,994416302.956185
2007-1,1084443176.451459,48334951.78112785,24.140672132652952,994564338.6417363
2007-2,1085105890.1855414,48351274.283404,24.140931684001753,994574206.4865351
2007-3,1085768603.9196239,48367596.785680145,24.141191235350554,994584074.3313338
2007-4,1086431317.6537066,48383919.2879563,24.14145078669935,994593942.1761326
2007-5,1087094031.387789,48400241.79023245,24.141710338048153,994603810.0209312
2007-6,1087756745.1218715,48416564.2925086,24.141969889396954,994613677.86573
2007-7,1088419458.8559542,48432886.794784755,24.142229440745755,994623545.7105289
2007-8,1089082172.5900366,48449209.2970609,24.142488992094556,994633413.5553275
2007-9,1089744886.324119,48465531.79933705,24.142748543443357,994643281.4001263
2007-10,1090407600.0582016,48481854.301613204,24.143008094792158,994653149.244925
2007-11,1091070313.792284,48498176.80388935,24.143267646140956,994663017.0897238
2007-12,1091733027.5263667,48514499.3061655,24.143527197489757,994672884.9345225
2008-1,1092395741.2604492,48530821.808441654,24.143786748838558,994682752.7793213
2008-2,1092918525.1655178,48547746.75676971,24.143600425283818,994684994.0440158
2008-3,1093441309.0705867,48564671.70509777,24.14341410172908,994687235.3087102
2008-4,1093964092.9756553,48581596.65342583,24.143227778174335,994689476.5734048
2008-5,1094486876.880724,48598521.60175389,24.143041454619595,994691717.8380992
2008-6,1095009660.7857926,48615446.550081946,24.142855131064856,994693959.1027937
2008-7,1095532444.6908612,48632371.49841,24.142668807510116,994696200.3674881
2008-8,1096055228.59593,48649296.446738064,24.142482483955376,994698441.6321826
2008-9,1096578012.5009987,48666221.39506612,24.142296160400637,994700682.896877
2008-10,1097100796.4060674,48683146.34339418,24.142109836845897,994702924.1615715
2008-11,1097623580.3111362,48700071.29172224,24.141923513291154,994705165.4262661
2008-12,1098146364.216205,48716996.2400503,24.141737189736414,994707406.6909605
2009-1,1098669148.1212735,48733921.18837836,24.141550866181674,994709647.955655
2009-2,1100780848.870156,48743351.402056776,24.14197164845223,995027320.1616733
2009-3,1102892549.6190386,48752781.615735196,24.14239243072279,995344992.3676915
2009-4,1105004250.367921,48762211.829413615,24.142813212993346,995662664.5737098
2009-5,1107115951.1168036,48771642.043092035,24.143233995263902,995980336.7797282
2009-6,1109227651.8656862,48781072.256770454,24.14365477753446,996298008.9857465
2009-7,1111339352.6145687,48790502.470448874,24.144075559805017,996615681.1917648
2009-8,1113451053.3634512,48799932.68412729,24.144496342075573,996933353.397783
2009-9,1115562754.1123338,48809362.89780571,24.144917124346133,997251025.6038014
2009-10,1117674454.8612163,48818793.11148413,24.14533790661669,997568697.8098197
2009-11,1119786155.6100988,48828223.32516255,24.145758688887245,997886370.0158379
2009-12,1121897856.3589814,48837653.53884097,24.146179471157804,998204042.2218562
2010-1,1124009557.107864,48847083.75251939,24.14660025342836,998521714.4278746
2010-2,1125895164.8972523,48822060.32219259,24.145574605316444,998708370.9486028
2010-3,1127780772.6866405,48797036.89186578,24.144548957204524,998895027.4693309
2010-4,1129666380.476029,48772013.46153898,24.143523309092608,999081683.9900591
2010-5,1131551988.2654173,48746990.03121217,24.14249766098069,999268340.5107874
2010-6,1133437596.0548055,48721966.60088537,24.14147201286877,999454997.0315155
2010-7,1135323203.844194,48696943.17055857,24.140446364756855,999641653.5522437
2010-8,1137208811.6335824,48671919.74023177,24.13942071664494,999828310.0729719
2010-9,1139094419.4229705,48646896.30990496,24.13839506853302,1000014966.5937
2010-10,1140980027.212359,48621872.87957816,24.137369420421102,1000201623.1144283
2010-11,1142865635.0017474,48596849.449251354,24.136343772309186,1000388279.6351565
2010-12,1144751242.7911355,48571826.01892455,24.135318124197266,1000574936.1558846
2011-1,1146636850.580524,48546802.588597745,24.13429247608535,1000761592.6766129
2011-2,1148310569.7135673,48521221.84512984,24.130573132580224,1000880453.9025358
2011-3,1149984288.8466105,48495641.101661935,24.126853789075096,1000999315.1284587
2011-4,1151658007.979654,48470060.35819403,24.12313444556997,1001118176.3543817
2011-5,1153331727.1126974,48444479.614726126,24.119415102064846,1001237037.5803046
2011-6,1155005446.2457407,48418898.87125822,24.115695758559717,1001355898.8062276
2011-7,1156679165.3787842,48393318.12779032,24.111976415054592,1001474760.0321505
2011-8,1158352884.5118275,48367737.38432242,24.108257071549467,1001593621.2580736
2011-9,1160026603.6448708,48342156.640854515,24.10453772804434,1001712482.4839965
2011-10,1161700322.777914,48316575.89738661,24.100818384539213,1001831343.7099195
2011-11,1163374041.9109573,48290995.153918706,24.097099041034088,1001950204.9358424
2011-12,1165047761.0440009,48265414.4104508,24.09337969752896,1002069066.1617653
2012-1,1166721480.1770442,48239833.6669829,24.089660354023835,1002187927.3876883
2012-2,1168180577.1851983,48208533.47827361,24.08568299811414,1002271147.0610292
2012-3,1169639674.1933525,48177233.28956431,24.081705642204447,1002354366.73437
