,Pará - PIB - Estadual,Pará - PIB - Construção Civil,Pará - PIB - Per Capita,Pará - PIB - Preços de Mercado
2006-5,81783846.80665892,4405558.929529289,9.38528097096718,70137815.32596903
2006-6,81871903.53972474,4409442.279740109,9.388682481967761,70169401.87581317
2006-7,81959960.27279054,4413325.629950929,9.392083992968342,70200988.42565732
2006-8,82048017.00585634,4417208.980161749,9.395485503968924,70232574.97550146
2006-9,82136073.73892215,4421092.330372569,9.398887014969505,70264161.52534561
2006-10,82224130.47198796,4424975.6805833895,9.402288525970086,70295748.07518974
2006-11,82312187.20505376,4428859.03079421,9.405690036970666,70327334.62503389
2006-12,82400243.93811956,4432742.38100503,9.409091547971247,70358921.17487803
2007-1,82488300.67118537,4436625.73121585,9.412493058971828,70390507.72472218
2007-2,82566979.52943242,4439892.5974029545,9.415366020034705,70415500.51089883
2007-3,82645658.38767944,4443159.463590058,9.41823898109758,70440493.29707547
2007-4,82724337.24592648,4446426.329777161,9.421111942160458,70465486.08325212
2007-5,82803016.10417353,4449693.195964265,9.423984903223335,70490478.86942877
2007-6,82881694.96242055,4452960.062151369,9.426857864286212,70515471.6556054
2007-7,82960373.8206676,4456226.928338472,9.42973082534909,70540464.44178206
2007-8,83039052.67891464,4459493.794525575,9.432603786411965,70565457.22795871
2007-9,83117731.53716166,4462760.660712679,9.435476747474842,70590450.01413535
2007-10,83196410.3954087,4466027.526899783,9.43834970853772,70615442.800312
2007-11,83275089.25365575,4469294.393086886,9.441222669600595,70640435.58648865
2007-12,83353768.11190277,4472561.259273989,9.444095630663472,70665428.37266529
2008-1,83432446.97014982,4475828.125461093,9.44696859172635,70690421.15884194
2008-2,83494804.24562314,4478472.701988856,9.44851854929746,70705112.43639238
2008-3,83557161.52109648,4481117.278516619,9.45006850686857,70719803.71394284
2008-4,83619518.79656981,4483761.855044382,9.451618464439681,70734494.99149328
2008-5,83681876.07204314,4486406.431572144,9.45316842201079,70749186.26904373
2008-6,83744233.34751648,4489051.008099907,9.454718379581902,70763877.54659419
2008-7,83806590.6229898,4491695.584627669,9.456268337153013,70778568.82414463
2008-8,83868947.89846313,4494340.161155432,9.457818294724122,70793260.10169508
2008-9,83931305.17393647,4496984.737683196,9.459368252295233,70807951.37924553
2008-10,83993662.4494098,4499629.314210958,9.460918209866342,70822642.65679598
2008-11,84056019.72488312,4502273.890738721,9.462468167437454,70837333.93434642
2008-12,84118377.00035647,4504918.467266483,9.464018125008563,70852025.21189688
2009-1,84180734.27582979,4507563.043794246,9.465568082579674,70866716.48944733
2009-2,84395428.01698199,4511581.461408216,9.471947311430501,70945205.27013008
2009-3,84610121.7581342,4515599.879022186,9.478326540281328,71023694.05081283
2009-4,84824815.4992864,4519618.296636155,9.484705769132155,71102182.83149558
2009-5,85039509.24043861,4523636.714250124,9.491084997982984,71180671.61217834
2009-6,85254202.9815908,4527655.131864094,9.497464226833811,71259160.39286108
2009-7,85468896.722743,4531673.549478063,9.503843455684638,71337649.17354384
2009-8,85683590.46389522,4535691.967092033,9.510222684535465,71416137.9542266
2009-9,85898284.20504741,4539710.384706003,9.516601913386292,71494626.73490934
2009-10,86112977.94619963,4543728.802319972,9.522981142237121,71573115.5155921
2009-11,86327671.68735182,4547747.219933941,9.529360371087948,71651604.29627486
2009-12,86542365.42850403,4551765.637547911,9.535739599938776,71730093.0769576
2010-1,86757059.16965623,4555784.05516188,9.542118828789603,71808581.85764036
2010-2,86936416.65982243,4557315.108035065,9.544631566840124,71853849.550494
2010-3,87115774.14998864,4558846.160908251,9.547144304890647,71899117.24334764
2010-4,87295131.64015484,4560377.213781437,9.54965704294117,71944384.93620127
2010-5,87474489.13032103,4561908.266654622,9.552169780991692,71989652.62905492
2010-6,87653846.62048723,4563439.319527807,9.554682519042213,72034920.32190856
2010-7,87833204.11065343,4564970.372400993,9.557195257092737,72080188.01476221
2010-8,88012561.60081963,4566501.425274178,9.55970799514326,72125455.70761585
2010-9,88191919.09098583,4568032.478147363,9.562220733193781,72170723.4004695
2010-10,88371276.58115202,4569563.531020548,9.564733471244303,72215991.09332314
2010-11,88550634.07131822,4571094.583893734,9.567246209294826,72261258.78617677
2010-12,88729991.56148443,4572625.63676692,9.569758947345349,72306526.47903042
2011-1,88909349.05165063,4574156.689640105,9.57227168539587,72351794.17188406
2011-2,89060334.03297594,4572967.509087175,9.572419270170247,72377434.46044809
2011-3,89211319.01430127,4571778.3285342455,9.572566854944624,72403074.74901211
2011-4,89362303.99562658,4570589.147981316,9.572714439719,72428715.03757612
2011-5,89513288.9769519,4569399.967428386,9.572862024493377,72454355.32614015
2011-6,89664273.95827721,4568210.786875457,9.573009609267753,72479995.61470418
2011-7,89815258.93960252,4567021.606322527,9.57315719404213,72505635.90326819
2011-8,89966243.92092785,4565832.425769597,9.573304778816507,72531276.19183221
2011-9,90117228.90225317,4564643.245216668,9.573452363590883,72556916.48039624
2011-10,90268213.88357848,4563454.064663738,9.57359994836526,72582556.76896027
2011-11,90419198.86490381,4562264.884110808,9.573747533139636,72608197.0575243
2011-12,90570183.84622912,4561075.703557879,9.573895117914013,72633837.3460883
2012-1,90721168.82755443,4559886.523004949,9.57404270268839,72659477.63465233
2012-2,90860261.28098968,4556987.387905467,9.574411381277978,72684130.57553253
2012-3,90999353.7344249,4554088.252805985,9.574780059867566,72708783.51641272
2012-4,91138446.18786015,4551189.117706503,9.575148738457154,72733436.45729291
2012-5,91277538.64129539,4548289.98260702,9.575517417046742,72758089.39817311
2012-6,91416631.09473062,4545390.847507538,9.57588609563633,72782742.3390533
2012-7,91555723.54816586,4542491.7124080565,9.576254774225916,72807395.27993351
2012-8,91694816.0016011,4539592.577308574,9.576623452815504,72832048.2208137
2012-9,91833908.45503633,4536693.442209092,9.576992131405092,72856701.1616939
2012-10,91973000.90847157,4533794.307109609,9.57736080999468,72881354.1025741
2012-11,92112093.36190681,4530895.172010127,9.577729488584268,72906007.04345429
2012-12,92251185.81534204,4527996.036910645,9.578098167173856,72930659.98433448
2013-1,92390278.26877728,4525096.901811163,9.578466845763444,72955312.92521468
2013-2,92499461.46256037,4520398.083516767,9.577860499018438,72966410.10168342
2013-3,92608644.65634346,4515699.265222371,9.577254152273433,72977507.27815217
2013-4,92717827.85012656,4511000.446927975,9.576647805528427,72988604.4546209
2013-5,92827011.04390965,4506301.628633578,9.576041458783422,72999701.63108964
2013-6,92936194.23769274,4501602.810339183,9.575435112038416,73010798.80755839
2013-7,93045377.43147583,4496903.992044786,9.574828765293411,73021895.98402713
2013-8,93154560.62525892,4492205.17375039,9.574222418548404,73032993.16049588
2013-9,93263743.81904201,4487506.355455995,9.573616071803398,73044090.33696462
2013-10,93372927.0128251,4482807.537161598,9.573009725058393,73055187.51343337
2013-11,93482110.2066082,4478108.718867202,9.572403378313387,73066284.6899021
2013-12,93591293.4003913,4473409.900572806,9.571797031568382,73077381.86637084
2014-1,93700476.59417439,4468711.08227841,9.571190684823376,73088479.04283959
2014-2,93803302.76649748,4462729.483046441,9.57216369780436,73108519.13067485
2014-3,93906128.93882059,4456747.883814473,9.573136710785343,73128559.21851014
2014-4,94008955.11114368,4450766.284582505,9.574109723766327,73148599.3063454
2014-5,94111781.28346679,4444784.685350536,9.57508273674731,73168639.39418067
2014-6,94214607.45578988,4438803.086118568,9.576055749728294,73188679.48201595
2014-7,94317433.62811297,4432821.486886599,9.577028762709276,73208719.56985122
2014-8,94420259.80043608,4426839.8876546305,9.57800177569026,73228759.65768649
2014-9,94523085.97275917,4420858.288422662,9.578974788671243,73248799.74552177
2014-10,94625912.14508228,4414876.689190693,9.579947801652226,73268839.83335704
2014-11,94728738.31740537,4408895.0899587255,9.58092081463321,73288879.9211923
2014-12,94831564.48972848,4402913.490726757,9.581893827614193,73308920.00902759
2015-1,94934390.66205157,4396931.891494788,9.582866840595177,73328960.09686285
2015-2,95022631.7749993,4390522.894044122,9.58488285171165,73353547.27612942
2015-3,95110872.88794705,4384113.896593455,9.586898862828125,73378134.45539601
2015-4,95199114.00089478,4377704.899142789,9.5889148739446,73402721.63466258
2015-5,95287355.11384252,4371295.901692122,9.590930885061073,73427308.81392917
2015-6,95375596.22679025,4364886.904241456,9.592946896177548,73451895.99319574
2015-7,95463837.33973798,4358477.906790789,9.594962907294022,73476483.17246231
2015-8,95552078.45268573,4352068.909340123,9.596978918410496,73501070.3517289
2015-9,95640319.56563346,4345659.911889456,9.59899492952697,73525657.53099547
2015-10,95728560.6785812,4339250.91443879,9.601010940643445,73550244.71026206
2015-11,95816801.79152894,4332841.916988123,9.603026951759919,73574831.88952863
2015-12,95905042.90447667,4326432.919537457,9.605042962876393,73599419.06879522
2016-1,95993284.0174244,4320023.92208679,9.607058973992867,73624006.24806179
2016-2,96061414.02683116,4319463.134385336,9.61012694052394,73653188.84822603
2016-3,96129544.03623793,4318902.346683883,9.613194907055012,73682371.44839026
2016-4,96197674.0456447,4318341.558982429,9.616262873586086,73711554.0485545
2016-5,96265804.05505146,4317780.771280976,9.619330840117158,73740736.64871873
2016-6,96333934.06445822,4317219.983579522,9.622398806648231,73769919.24888296
2016-7,96402064.073865,4316659.195878068,9.625466773179305,73799101.84904721
2016-8,96470194.08327176,4316098.408176615,9.628534739710377,73828284.44921145
2016-9,96538324.09267852,4315537.620475161,9.63160270624145,73857467.04937568
2016-10,96606454.10208528,4314976.832773708,9.634670672772522,73886649.64953992
2016-11,96674584.11149204,4314416.045072254,9.637738639303596,73915832.24970415
2016-12,96742714.12089881,4313855.257370801,9.640806605834667,73945014.84986839
2017-1,96810844.13030557,4313294.469669347,9.64387457236574,73974197.45003262
2017-2,96825353.21921809,4314328.507076707,9.644799548834998,73981065.25144577
2017-3,96839862.3081306,4315362.544484068,9.645724525304257,73987933.05285893
2017-4,96854371.39704312,4316396.581891428,9.646649501773513,73994800.85427208
2017-5,96868880.48595564,4317430.619298788,9.64757447824277,74001668.65568523
2017-6,96883389.57486816,4318464.656706148,9.648499454712029,74008536.4570984
2017-7,96897898.66378067,4319498.694113508,9.649424431181286,74015404.25851154
2017-8,96912407.75269319,4320532.731520869,9.650349407650543,74022272.05992469
2017-9,96926916.84160571,4321566.768928229,9.651274384119802,74029139.86133786
2017-10,96941425.93051822,4322600.806335589,9.652199360589059,74036007.662751
2017-11,96955935.01943074,4323634.84374295,9.653124337058316,74042875.46416415
2017-12,96970444.10834326,4324668.88115031,9.654049313527574,74049743.26557732
2018-1,96984953.19725578,4325702.91855767,9.654974289996831,74056611.06699046
