,Espírito Santo - PIB - Estadual,Espírito Santo - PIB - Construção Civil,Espírito Santo - PIB - Per Capita,Espírito Santo - PIB - Preços de Mercado
2006-7,66328631.72494442,3642855.48455799,16.994998434851407,60429838.19390461
2006-8,66379451.3511644,3643486.6277329265,16.995716635930307,60435690.57622223
2006-9,66430270.97738439,3644117.7709078626,16.996434837009208,60441542.95853985
2006-10,66481090.60360437,3644748.9140827986,16.997153038088108,60447395.34085747
2006-11,66531910.22982435,3645380.0572577347,16.997871239167004,60453247.723175086
2006-12,66582729.85604434,3646011.200432671,16.998589440245905,60459100.1054927
2007-1,66633549.48226432,3646642.343607607,16.999307641324805,60464952.48781032
2007-2,66673914.84239672,3648261.1385826264,16.99886547492069,60463692.7840571
2007-3,66714280.202529125,3649879.9335576463,16.99842330851658,60462433.080303885
2007-4,66754645.56266153,3651498.728532666,16.997981142112465,60461173.37655066
2007-5,66795010.92279393,3653117.5235076854,16.997538975708355,60459913.67279744
2007-6,66835376.282926336,3654736.3184827054,16.997096809304242,60458653.96904422
2007-7,66875741.64305873,3656355.113457725,16.99665464290013,60457394.265291005
2007-8,66916107.003191136,3657973.9084327444,16.996212476496016,60456134.56153779
2007-9,66956472.36332354,3659592.7034077644,16.995770310091903,60454874.85778457
2007-10,66996837.72345594,3661211.498382784,16.995328143687793,60453615.15403135
2007-11,67037203.08358835,3662830.2933578035,16.99488597728368,60452355.450278126
2007-12,67077568.44372075,3664449.0883328235,16.994443810879567,60451095.74652491
2008-1,67117933.80385315,3666067.883307843,16.994001644475453,60449836.04277169
2008-2,67140018.5956746,3667501.9781912984,16.98912194048768,60436839.78629619
2008-3,67162103.38749605,3668936.0730747543,16.98424223649991,60423843.529820696
2008-4,67184188.17931749,3670370.1679582098,16.979362532512134,60410847.273345195
2008-5,67206272.97113894,3671804.262841665,16.974482828524362,60397851.016869694
2008-6,67228357.76296039,3673238.357725121,16.96960312453659,60384854.76039419
2008-7,67250442.55478182,3674672.4526085765,16.964723420548815,60371858.50391869
2008-8,67272527.34660327,3676106.547492032,16.959843716561043,60358862.2474432
2008-9,67294612.13842472,3677540.642375488,16.95496401257327,60345865.9909677
2008-10,67316696.93024617,3678974.7372589433,16.9500843085855,60332869.7344922
2008-11,67338781.72206762,3680408.8321423987,16.945204604597727,60319873.478016704
2008-12,67360866.51388906,3681842.9270258546,16.94032490060995,60306877.2215412
2009-1,67382951.30571051,3683277.02190931,16.93544519662218,60293880.9650657
2009-2,67518989.92038427,3682453.141760064,16.93839005157337,60327140.66036583
2009-3,67655028.53505804,3681629.2616108176,16.94133490652456,60360400.35566596
2009-4,67791067.14973181,3680805.381461572,16.944279761475748,60393660.050966084
2009-5,67927105.76440558,3679981.5013123257,16.94722461642694,60426919.746266216
2009-6,68063144.37907934,3679157.6211630795,16.950169471378132,60460179.44156634
2009-7,68199182.9937531,3678333.7410138333,16.95311432632932,60493439.136866465
2009-8,68335221.60842687,3677509.860864587,16.95605918128051,60526698.8321666
2009-9,68471260.22310063,3676685.980715341,16.9590040362317,60559958.52746672
2009-10,68607298.8377744,3675862.1005660947,16.961948891182892,60593218.222766854
2009-11,68743337.45244817,3675038.220416849,16.96489374613408,60626477.91806698
2009-12,68879376.06712194,3674214.340267603,16.96783860108527,60659737.61336711
2010-1,69015414.6817957,3673390.4601183566,16.97078345603646,60692997.308667235
2010-2,69124415.40851283,3671914.6307035442,16.970130983032863,60704530.964260526
2010-3,69233416.13522995,3670438.8012887314,16.969478510029262,60716064.619853824
2010-4,69342416.86194706,3668962.971873919,16.968826037025664,60727598.275447115
2010-5,69451417.58866419,3667487.1424591066,16.968173564022067,60739131.93104041
2010-6,69560418.31538132,3666011.3130442942,16.967521091018465,60750665.586633705
2010-7,69669419.04209843,3664535.483629482,16.966868618014868,60762199.242227
2010-8,69778419.76881555,3663059.654214669,16.96621614501127,60773732.897820294
2010-9,69887420.49553268,3661583.8247998566,16.96556367200767,60785266.553413585
2010-10,69996421.2222498,3660107.9953850443,16.96491119900407,60796800.20900688
2010-11,70105421.94896692,3658632.1659702314,16.964258726000473,60808333.864600174
2010-12,70214422.67568403,3657156.336555419,16.963606252996872,60819867.52019347
2011-1,70323423.40240116,3655680.5071406066,16.962953779993274,60831401.17578676
2011-2,70395341.72518918,3653860.862666146,16.953157208145424,60816870.032026716
2011-3,70467260.04797721,3652041.218191685,16.943360636297577,60802338.888266675
2011-4,70539178.37076524,3650221.5737172244,16.933564064449726,60787807.74450663
2011-5,70611096.69355325,3648401.9292427637,16.92376749260188,60773276.60074659
2011-6,70683015.01634127,3646582.284768303,16.91397092075403,60758745.45698654
2011-7,70754933.3391293,3644762.640293842,16.90417434890618,60744214.31322649
2011-8,70826851.66191733,3642942.995819382,16.89437777705833,60729683.16946645
2011-9,70898769.98470534,3641123.351344921,16.88458120521048,60715152.0257064
2011-10,70970688.30749336,3639303.7068704604,16.874784633362633,60700620.88194636
2011-11,71042606.63028139,3637484.0623959997,16.864988061514783,60686089.738186315
2011-12,71114524.95306942,3635664.417921539,16.855191489666936,60671558.594426274
2012-1,71186443.27585743,3633844.773447078,16.845394917819085,60657027.45066623
2012-2,71232210.51566266,3629554.159547364,16.8326924366684,60630732.70164089
2012-3,71277977.75546788,3625263.5456476496,16.81998995551771,60604437.95261556
2012-4,71323744.9952731,3620972.9317479357,16.807287474367023,60578143.20359022
2012-5,71369512.23507832,3616682.3178482214,16.794584993216333,60551848.454564884
2012-6,71415279.47488354,3612391.703948507,16.781882512065646,60525553.705539554
2012-7,71461046.71468876,3608101.090048793,16.76918003091496,60499258.95651422
2012-8,71506813.95449398,3603810.4761490785,16.75647754976427,60472964.20748888
2012-9,71552581.1942992,3599519.862249364,16.743775068613584,60446669.45846355
2012-10,71598348.43410443,3595229.24834965,16.731072587462894,60420374.70943821
2012-11,71644115.67390965,3590938.634449936,16.718370106312207,60394079.960412875
2012-12,71689882.91371487,3586648.0205502217,16.705667625161517,60367785.211387545
2013-1,71735650.15352009,3582357.4066505074,16.69296514401083,60341490.46236221
2013-2,71772719.44960487,3578357.666660311,16.68540783441042,60320108.171266034
2013-3,71809788.74568966,3574357.926670115,16.677850524810008,60298725.88016986
2013-4,71846858.04177444,3570358.186679919,16.670293215209597,60277343.58907369
2013-5,71883927.33785923,3566358.4466897226,16.66273590560919,60255961.297977515
2013-6,71920996.633944,3562358.7066995264,16.655178596008778,60234579.00688134
2013-7,71958065.9300288,3558358.9667093297,16.647621286408366,60213196.71578516
2013-8,71995135.22611357,3554359.2267191336,16.640063976807955,60191814.42468899
2013-9,72032204.52219835,3550359.4867289374,16.632506667207544,60170432.133592814
2013-10,72069273.81828314,3546359.746738741,16.624949357607136,60149049.84249664
2013-11,72106343.11436792,3542360.006748545,16.617392048006725,60127667.55140047
2013-12,72143412.41045271,3538360.266758349,16.609834738406313,60106285.260304295
2014-1,72180481.70653749,3534360.5267681526,16.602277428805902,60084902.96920812
2014-2,72179926.40407082,3531831.4823726625,16.591841716676374,60049064.45684686
2014-3,72179371.10160418,3529302.437977172,16.581406004546842,60013225.944485605
2014-4,72178815.79913753,3526773.393581682,16.570970292417314,59977387.43212434
2014-5,72178260.49667087,3524244.3491861913,16.560534580287783,59941548.91976308
2014-6,72177705.19420421,3521715.3047907013,16.550098868158255,59905710.40740182
2014-7,72177149.89173757,3519186.260395211,16.539663156028723,59869871.89504056
2014-8,72176594.58927092,3516657.2159997206,16.529227443899195,59834033.3826793
2014-9,72176039.28680426,3514128.1716042305,16.518791731769667,59798194.87031804
2014-10,72175483.9843376,3511599.12720874,16.508356019640136,59762356.35795678
2014-11,72174928.68187095,3509070.08281325,16.497920307510608,59726517.84559552
2014-12,72174373.3794043,3506541.0384177594,16.487484595381076,59690679.33323426
2015-1,72173818.07693765,3504011.9940222693,16.47704888325155,59654840.820873
2015-2,72189533.99420105,3502460.033138169,16.474152805453173,59645090.35481342
2015-3,72205249.91146445,3500908.072254068,16.471256727654794,59635339.88875385
2015-4,72220965.82872787,3499356.111369968,16.468360649856418,59625589.422694266
2015-5,72236681.74599127,3497804.1504858676,16.46546457205804,59615838.95663469
2015-6,72252397.66325468,3496252.189601767,16.462568494259664,59606088.49057511
2015-7,72268113.5805181,3494700.2287176666,16.459672416461288,59596338.02451554
2015-8,72283829.4977815,3493148.2678335663,16.45677633866291,59586587.55845596
2015-9,72299545.4150449,3491596.3069494655,16.453880260864533,59576837.09239638
2015-10,72315261.3323083,3490044.3460653652,16.450984183066154,59567086.626336806
2015-11,72330977.24957171,3488492.385181265,16.44808810526778,59557336.160277225
2015-12,72346693.16683513,3486940.424297164,16.4451920274694,59547585.69421765
2016-1,72362409.08409853,3485388.463413064,16.442295949671024,59537835.22815807
2016-2,72394639.23300771,3486017.5065776366,16.44686515963989,59554193.94344907
2016-3,72426869.38191691,3486646.5497422097,16.451434369608762,59570552.65874007
2016-4,72459099.53082609,3487275.5929067824,16.45600357957763,59586911.374031074
2016-5,72491329.67973529,3487904.636071355,16.460572789546497,59603270.089322075
2016-6,72523559.82864447,3488533.6792359278,16.465141999515367,59619628.804613076
2016-7,72555789.97755367,3489162.7224005004,16.469711209484235,59635987.51990408
2016-8,72588020.12646285,3489791.7655650736,16.474280419453102,59652346.235195085
2016-9,72620250.27537203,3490420.8087296463,16.478849629421973,59668704.95048609
2016-10,72652480.42428122,3491049.851894219,16.48341883939084,59685063.66577709
2016-11,72684710.5731904,3491678.895058792,16.487988049359707,59701422.38106809
2016-12,72716940.7220996,3492307.9382233648,16.492557259328578,59717781.09635909
2017-1,72749170.87100878,3492936.9813879374,16.497126469297445,59734139.81165009
2017-2,72766987.02937783,3494331.662775084,16.502616156573577,59750638.36502053
2017-3,72784803.1877469,3495726.3441622304,16.50810584384971,59767136.918390974
2017-4,72802619.34611595,3497121.025549377,16.51359553112584,59783635.47176141
2017-5,72820435.504485,3498515.7069365233,16.519085218401973,59800134.02513185
2017-6,72838251.66285406,3499910.38832367,16.524574905678104,59816632.57850229
2017-7,72856067.82122311,3501305.0697108163,16.53006459295424,59833131.13187273
2017-8,72873883.97959216,3502699.7510979623,16.53555428023037,59849629.685243174
2017-9,72891700.13796122,3504094.4324851087,16.541043967506504,59866128.23861361
2017-10,72909516.29633027,3505489.113872255,16.546533654782635,59882626.79198405
2017-11,72927332.45469932,3506883.7952594017,16.552023342058767,59899125.3453545
2017-12,72945148.61306839,3508278.476646548,16.5575130293349,59915623.898724936
2018-1,72962964.77143744,3509673.1580336946,16.56300271661103,59932122.452095374
2018-2,72910773.60418338,3511798.0302876066,16.560515302047822,59919210.63801391
2018-3,72858582.43692932,3513922.902541518,16.558027887484617,59906298.82393245
2018-4,72806391.26967525,3516047.7747954302,16.555540472921408,59893387.00985098
2018-5,72754200.10242118,3518172.6470493423,16.553053058358202,59880475.19576952
2018-6,72702008.93516712,3520297.5193032543,16.550565643794993,59867563.38168805
2018-7,72649817.76791306,3522422.3915571664,16.548078229231784,59854651.56760658
2018-8,72597626.600659,3524547.263811078,16.54559081466858,59841739.75352512
2018-9,72545435.43340494,3526672.13606499,16.54310340010537,59828827.939443655
2018-10,72493244.26615086,3528797.008318902,16.540615985542164,59815916.125362195
2018-11,72441053.0988968,3530921.8805728136,16.538128570978955,59803004.31128073
2018-12,72388861.93164274,3533046.7528267256,16.53564115641575,59790092.49719927
2019-1,72336670.76438868,3535171.6250806376,16.53315374185254,59777180.6831178
2019-2,72273590.0179823,3536374.964113274,16.53364024726381,59771903.12823391
2019-3,72210509.27157591,3537578.3031459106,16.53412675267508,59766625.57335001
2019-4,72147428.52516954,3538781.6421785466,16.534613258086345,59761348.01846612
2019-5,72084347.77876316,3539984.981211183,16.535099763497616,59756070.46358223
2019-6,72021267.03235677,3541188.3202438196,16.535586268908887,59750792.90869834
2019-7,71958186.28595039,3542391.6592764556,16.536072774320154,59745515.35381445
2019-8,71895105.53954402,3543594.998309092,16.53655927973142,59740237.798930556
2019-9,71832024.79313762,3544798.3373417286,16.53704578514269,59734960.244046666
2019-10,71768944.04673125,3546001.676374365,16.537532290553962,59729682.689162776
2019-11,71705863.30032487,3547205.0154070016,16.53801879596523,59724405.13427888
2019-12,71642782.55391848,3548408.3544396376,16.538505301376496,59719127.57939499
2020-1,71579701.8075121,3549611.693472274,16.538991806787767,59713850.0245111
2020-2,71500216.38691646,3550061.9460057085,16.543852183993746,59718835.985778354
2020-3,71420730.96632083,3550512.1985391425,16.54871256119973,59723821.9470456
2020-4,71341245.5457252,3550962.451072577,16.553572938405708,59728807.90831286
2020-5,71261760.12512955,3551412.7036060113,16.55843331561169,59733793.869580105
2020-6,71182274.7045339,3551862.956139446,16.56329369281767,59738779.83084736
2020-7,71102789.28393827,3552313.20867288,16.568154070023652,59743765.792114615
2020-8,71023303.86334264,3552763.461206314,16.57301444722963,59748751.75338186
2020-9,70943818.442747,3553213.7137397486,16.57787482443561,59753737.71464912
2020-10,70864333.02215135,3553663.966273183,16.582735201641594,59758723.67591637
2020-11,70784847.60155572,3554114.218806617,16.587595578847573,59763709.63718362
2020-12,70705362.18096009,3554564.4713400514,16.592455956053556,59768695.59845087
2021-1,70625876.76036444,3555014.723873486,16.597316333259535,59773681.559718125
2021-2,70527947.4765195,3555655.753798687,16.602811648543298,59777868.43637597
2021-3,70430018.19267455,3556296.7837238885,16.608306963827058,59782055.31303381
2021-4,70332088.9088296,3556937.8136490895,16.61380227911082,59786242.189691655
2021-5,70234159.62498464,3557578.8435742906,16.61929759439458,59790429.0663495
2021-6,70136230.34113969,3558219.873499492,16.624792909678344,59794615.94300734
2021-7,70038301.05729474,3558860.9034246933,16.630288224962108,59798802.81966519
2021-8,69940371.7734498,3559501.9333498944,16.635783540245868,59802989.69632304
2021-9,69842442.48960485,3560142.963275096,16.64127885552963,59807176.57298088
2021-10,69744513.20575988,3560783.993200297,16.64677417081339,59811363.449638724
2021-11,69646583.92191494,3561425.023125498,16.652269486097154,59815550.32629657
2021-12,69548654.63806999,3562066.0530506996,16.657764801380914,59819737.20295441
2022-1,69450725.35422504,3562707.0829759007,16.663260116664677,59823924.079612255
