,Maranhão - PIB - Estadual,Maranhão - PIB - Construção Civil,Maranhão - PIB - Per Capita,Maranhão - PIB - Preços de Mercado
2007-5,45660802.07981634,2678192.7837786814,6.116937314110229,39476771.28614775
2007-6,45700807.9704488,2679810.706346345,6.118482315123729,39487590.92316584
2007-7,45740813.86108126,2681428.6289140084,6.12002731613723,39498410.560183935
2007-8,45780819.751713715,2683046.5514816716,6.12157231715073,39509230.19720203
2007-9,45820825.64234617,2684664.4740493353,6.123117318164231,39520049.83422012
2007-10,45860831.532978624,2686282.396616999,6.124662319177731,39530869.47123821
2007-11,45900837.42361108,2687900.3191846623,6.126207320191232,39541689.1082563
2007-12,45940843.31424354,2689518.2417523256,6.127752321204732,39552508.745274395
2008-1,45980849.204876,2691136.1643199893,6.129297322218233,39563328.38229249
2008-2,46007489.285874076,2691060.7933042026,6.129047917367176,39563761.92913851
2008-3,46034129.366872154,2690985.422288416,6.12879851251612,39564195.47598454
2008-4,46060769.44787024,2690910.0512726293,6.128549107665063,39564629.02283057
2008-5,46087409.52886832,2690834.6802568426,6.128299702814006,39565062.56967659
2008-6,46114049.609866396,2690759.309241056,6.12805029796295,39565496.116522625
2008-7,46140689.69086447,2690683.9382252693,6.1278008931118935,39565929.66336865
2008-8,46167329.77186255,2690608.5672094827,6.127551488260837,39566363.210214674
2008-9,46193969.85286063,2690533.196193696,6.127302083409781,39566796.75706071
2008-10,46220609.93385871,2690457.8251779093,6.127052678558724,39567230.30390673
2008-11,46247250.01485679,2690382.4541621227,6.126803273707667,39567663.850752756
2008-12,46273890.09585487,2690307.083146336,6.126553868856611,39568097.39759879
2009-1,46300530.17685295,2690231.7121305494,6.126304464005554,39568530.94444481
2009-2,46401352.52743065,2691102.7434676387,6.128591967596633,39595207.03906718
2009-3,46502174.87800835,2691973.7748047286,6.130879471187712,39621883.13368955
2009-4,46602997.228586055,2692844.806141818,6.133166974778791,39648559.22831192
2009-5,46703819.57916376,2693715.837478908,6.13545447836987,39675235.322934285
2009-6,46804641.929741465,2694586.868815997,6.137741981960949,39701911.41755665
2009-7,46905464.28031917,2695457.9001530865,6.140029485552029,39728587.51217902
2009-8,47006286.63089687,2696328.9314901764,6.142316989143108,39755263.60680139
2009-9,47107108.98147457,2697199.9628272657,6.144604492734187,39781939.70142376
2009-10,47207931.332052276,2698070.9941643556,6.146891996325266,39808615.79604612
2009-11,47308753.68262997,2698942.025501445,6.149179499916345,39835291.8906685
2009-12,47409576.03320768,2699813.056838535,6.151467003507424,39861967.98529086
2010-1,47510398.38378538,2700684.088175624,6.153754507098503,39888644.07991323
2010-2,47606348.95634522,2700756.1819344847,6.1561766265642035,39912981.03811093
2010-3,47702299.528905064,2700828.275693346,6.158598746029904,39937317.996308625
2010-4,47798250.1014649,2700900.3694522064,6.161020865495605,39961654.95450632
2010-5,47894200.67402474,2700972.463211067,6.163442984961306,39985991.91270402
2010-6,47990151.24658458,2701044.556969928,6.165865104427007,40010328.87090172
2010-7,48086101.81914441,2701116.6507287887,6.168287223892707,40034665.82909942
2010-8,48182052.391704254,2701188.7444876493,6.170709343358408,40059002.78729712
2010-9,48278002.964264095,2701260.8382465104,6.1731314628241085,40083339.74549482
2010-10,48373953.536823936,2701332.932005371,6.17555358228981,40107676.70369252
2010-11,48469904.10938378,2701405.0257642316,6.177975701755511,40132013.661890216
2010-12,48565854.68194361,2701477.1195230926,6.180397821221211,40156350.620087914
2011-1,48661805.25450345,2701549.2132819532,6.182819940686912,40180687.57828561
2011-2,48750562.92262996,2701128.1573629365,6.184929676292838,40202184.70998593
2011-3,48839320.59075646,2700707.10144392,6.187039411898764,40223681.84168625
2011-4,48928078.25888297,2700286.045524903,6.189149147504692,40245178.97338656
2011-5,49016835.92700948,2699864.9896058864,6.191258883110618,40266676.10508688
2011-6,49105593.59513598,2699443.9336868697,6.193368618716544,40288173.2367872
2011-7,49194351.26326249,2699022.8777678534,6.195478354322471,40309670.368487515
2011-8,49283108.931389,2698601.8218488367,6.197588089928398,40331167.50018783
2011-9,49371866.5995155,2698180.76592982,6.199697825534324,40352664.63188815
2011-10,49460624.26764201,2697759.7100108033,6.20180756114025,40374161.763588466
2011-11,49549381.935768515,2697338.6540917866,6.203917296746177,40395658.89528878
2011-12,49638139.603895016,2696917.59817277,6.206027032352104,40417156.0269891
2012-1,49726897.272021525,2696496.542253753,6.20813676795803,40438653.15868942
2012-2,49801453.26563406,2694756.2854525503,6.2093215746656965,40452671.55695468
2012-3,49876009.25924659,2693016.0286513474,6.210506381373363,40466689.95521995
2012-4,49950565.25285912,2691275.7718501445,6.211691188081028,40480708.35348521
2012-5,50025121.24647166,2689535.5150489416,6.2128759947886945,40494726.75175048
2012-6,50099677.24008419,2687795.2582477387,6.214060801496361,40508745.15001574
2012-7,50174233.23369673,2686055.001446536,6.215245608204027,40522763.548281
2012-8,50248789.22730926,2684314.744645333,6.216430414911693,40536781.946546264
2012-9,50323345.22092179,2682574.48784413,6.21761522161936,40550800.34481153
2012-10,50397901.21453433,2680834.231042927,6.218800028327026,40564818.743076794
2012-11,50472457.208146855,2679093.9742417242,6.219984835034691,40578837.14134206
2012-12,50547013.20175939,2677353.7174405213,6.221169641742358,40592855.53960732
2013-1,50621569.195371926,2675613.4606393185,6.222354448450024,40606873.93787259
2013-2,50679885.87871627,2673595.0342407464,6.222752165073635,40613826.288239196
2013-3,50738202.56206061,2671576.6078421744,6.223149881697244,40620778.63860581
2013-4,50796519.24540495,2669558.1814436023,6.223547598320855,40627730.988972425
2013-5,50854835.92874929,2667539.7550450303,6.223945314944466,40634683.33933903
2013-6,50913152.612093635,2665521.328646458,6.224343031568076,40641635.68970564
2013-7,50971469.29543798,2663502.902247886,6.224740748191687,40648588.040072255
2013-8,51029785.97878231,2661484.4758493137,6.225138464815297,40655540.39043887
2013-9,51088102.66212665,2659466.0494507416,6.225536181438907,40662492.74080548
2013-10,51146419.345470995,2657447.6230521696,6.225933898062518,40669445.091172084
2013-11,51204736.02881534,2655429.1966535975,6.226331614686128,40676397.4415387
2013-12,51263052.71215968,2653410.7702550255,6.2267293313097385,40683349.791905314
2014-1,51321369.39550402,2651392.3438564534,6.227127047933349,40690302.14227192
2014-2,51356968.39979073,2647344.747613198,6.226407397643183,40688153.949783675
2014-3,51392567.40407743,2643297.1513699433,6.225687747353017,40686005.75729544
2014-4,51428166.40836414,2639249.5551266884,6.2249680970628525,40683857.56480719
2014-5,51463765.412650846,2635201.958883433,6.224248446772687,40681709.372318946
2014-6,51499364.41693755,2631154.362640178,6.223528796482521,40679561.17983071
2014-7,51534963.42122427,2627106.766396923,6.222809146192355,40677412.98734246
2014-8,51570562.42551097,2623059.170153668,6.222089495902189,40675264.79485422
2014-9,51606161.42979768,2619011.573910413,6.221369845612023,40673116.60236598
2014-10,51641760.434084386,2614963.9776671575,6.220650195321857,40670968.40987773
2014-11,51677359.43837109,2610916.3814239027,6.219930545031692,40668820.21738949
2014-12,51712958.4426578,2606868.785180648,6.2192108947415266,40666672.02490125
2015-1,51748557.446944505,2602821.1889373926,6.218491244451361,40664523.832413
2015-2,51778078.39533673,2600094.4861903065,6.218691122453995,40667165.826332554
2015-3,51807599.34372896,2597367.7834432204,6.2188910004566305,40669807.82025211
2015-4,51837120.29212118,2594641.080696135,6.219090878459266,40672449.814171664
2015-5,51866641.24051341,2591914.3779490488,6.2192907564619,40675091.80809122
2015-6,51896162.188905634,2589187.6752019627,6.219490634464535,40677733.802010775
2015-7,51925683.137297854,2586460.9724548766,6.21969051246717,40680375.795930326
2015-8,51955204.08569008,2583734.2697077906,6.219890390469805,40683017.789849885
2015-9,51984725.03408231,2581007.5669607045,6.22009026847244,40685659.783769436
2015-10,52014245.982474536,2578280.8642136184,6.220290146475074,40688301.777688995
2015-11,52043766.93086676,2575554.161466533,6.2204900244777095,40690943.77160855
2015-12,52073287.87925898,2572827.458719447,6.220689902480345,40693585.765528105
2016-1,52102808.82765121,2570100.7559723607,6.220889780482979,40696227.75944766
2016-2,52111879.21110589,2569232.3118119207,6.220954360855765,40696312.73062316
2016-3,52120949.59456058,2568363.8676514807,6.22101894122855,40696397.70179867
2016-4,52130019.97801526,2567495.4234910407,6.221083521601336,40696482.672974184
2016-5,52139090.36146995,2566626.9793306007,6.221148101974121,40696567.64414969
2016-6,52148160.74492463,2565758.5351701607,6.2212126823469065,40696652.6153252
2016-7,52157231.128379315,2564890.091009721,6.221277262719692,40696737.586500704
2016-8,52166301.511833996,2564021.646849281,6.2213418430924765,40696822.55767621
2016-9,52175371.895288676,2563153.202688841,6.221406423465262,40696907.52885172
2016-10,52184442.278743364,2562284.758528401,6.221471003838047,40696992.500027224
2016-11,52193512.662198044,2561416.314367961,6.221535584210833,40697077.47120274
2016-12,52202583.04565273,2560547.870207521,6.221600164583618,40697162.442378245
2017-1,52211653.42910741,2559679.426047081,6.221664744956404,40697247.41355375
2017-2,52205239.248763815,2559989.362777233,6.221517443370819,40694193.09973429
2017-3,52198825.06842022,2560299.299507385,6.221370141785233,40691138.78591482
2017-4,52192410.888076626,2560609.2362375367,6.221222840199648,40688084.47209536
2017-5,52185996.70773303,2560919.1729676886,6.221075538614063,40685030.1582759
2017-6,52179582.52738943,2561229.1096978406,6.220928237028477,40681975.844456434
2017-7,52173168.34704584,2561539.046427992,6.220780935442892,40678921.53063697
2017-8,52166754.16670224,2561848.983158144,6.2206336338573065,40675867.21681751
2017-9,52160339.98635864,2562158.919888296,6.2204863322717205,40672812.902998045
2017-10,52153925.806015044,2562468.856618448,6.2203390306861355,40669758.589178585
2017-11,52147511.62567145,2562778.7933486,6.22019172910055,40666704.275359124
2017-12,52141097.445327856,2563088.7300787517,6.2200444275149644,40663649.961539656
2018-1,52134683.26498426,2563398.6668089037,6.219897125929379,40660595.647720195
2018-2,52096883.21732294,2564826.854884941,6.218314579719735,40647570.33356372
2018-3,52059083.16966162,2566255.042960978,6.216732033510089,40634545.01940725
2018-4,52021283.1220003,2567683.231037015,6.215149487300445,40621519.70525078
2018-5,51983483.07433898,2569111.4191130525,6.213566941090799,40608494.391094305
2018-6,51945683.02667766,2570539.60718909,6.211984394881155,40595469.07693783
2018-7,51907882.97901635,2571967.795265127,6.210401848671509,40582443.76278136
2018-8,51870082.93135503,2573395.983341164,6.2088193024618645,40569418.44862489
2018-9,51832282.88369371,2574824.1714172014,6.20723675625222,40556393.134468414
2018-10,51794482.83603239,2576252.359493239,6.2056542100425744,40543367.82031194
2018-11,51756682.78837107,2577680.547569276,6.20407166383293,40530342.50615547
2018-12,51718882.74070975,2579108.735645313,6.202489117623284,40517317.191998996
2019-1,51681082.69304843,2580536.9237213503,6.20090657141364,40504291.87784252
2019-2,51640214.66140889,2582402.866292886,6.200663720132209,40498884.86636842
2019-3,51599346.62976934,2584268.808864421,6.200420868850777,40493477.854894325
2019-4,51558478.598129794,2586134.751435957,6.200178017569347,40488070.84342022
2019-5,51517610.56649025,2588000.6940074926,6.199935166287916,40482663.83194612
2019-6,51476742.5348507,2589866.636579028,6.199692315006485,40477256.82047202
2019-7,51435874.503211156,2591732.5791505636,6.199449463725054,40471849.808997914
2019-8,51395006.4715716,2593598.5217220993,6.199206612443623,40466442.79752382
2019-9,51354138.439932056,2595464.4642936345,6.198963761162192,40461035.786049716
2019-10,51313270.40829251,2597330.40686517,6.198720909880761,40455628.77457561
2019-11,51272402.37665296,2599196.349436706,6.1984780585993295,40450221.76310152
2019-12,51231534.34501342,2601062.292008241,6.198235207317899,40444814.751627415
2020-1,51190666.31337387,2602928.234579777,6.197992356036468,40439407.74015331
2020-2,51104089.414132915,2603772.0047538048,6.196463666749941,40422926.29293171
2020-3,51017512.51489197,2604615.7749278327,6.194934977463415,40406444.84571012
2020-4,50930935.61565101,2605459.5451018605,6.193406288176888,40389963.39848852
2020-5,50844358.716410056,2606303.315275889,6.191877598890361,40373481.95126693
2020-6,50757781.81716911,2607147.085449917,6.190348909603835,40357000.50404533
2020-7,50671204.91792815,2607990.8556239447,6.188820220317308,40340519.05682373
2020-8,50584628.018687196,2608834.6257979725,6.187291531030781,40324037.60960214
2020-9,50498051.11944625,2609678.3959720004,6.185762841744255,40307556.16238054
2020-10,50411474.22020529,2610522.166146029,6.184234152457728,40291074.71515895
2020-11,50324897.32096434,2611365.9363200567,6.182705463171201,40274593.26793735
2020-12,50238320.42172339,2612209.7064940846,6.181176773884675,40258111.820715755
2021-1,50151743.52248243,2613053.4766681124,6.179648084598148,40241630.373494156
2021-2,50047016.51019282,2613868.6567563643,6.177737932781202,40221052.11198695
2021-3,49942289.497903205,2614683.8368446156,6.175827780964257,40200473.850479744
2021-4,49837562.4856136,2615499.0169328675,6.173917629147311,40179895.58897254
2021-5,49732835.473323986,2616314.1970211193,6.172007477330365,40159317.32746534
2021-6,49628108.46103437,2617129.3771093707,6.170097325513419,40138739.065958135
2021-7,49523381.44874476,2617944.5571976225,6.168187173696474,40118160.80445093
2021-8,49418654.436455145,2618759.7372858743,6.1662770218795275,40097582.54294372
2021-9,49313927.42416553,2619574.9173741257,6.164366870062581,40077004.28143652
2021-10,49209200.41187592,2620390.0974623775,6.162456718245636,40056426.01992932
2021-11,49104473.39958631,2621205.2775506293,6.16054656642869,40035847.758422114
2021-12,48999746.3872967,2622020.4576388807,6.1586364146117445,40015269.49691491
2022-1,48895019.375007086,2622835.6377271325,6.156726262794798,39994691.2354077
