,Ceará - IDH
2019-10,0.7278624955293665
2019-11,0.72774804514305
2019-12,0.7276335947567334
2020-1,0.7275191443704169
2020-2,0.7273109560701927
2020-3,0.7271027677699686
2020-4,0.7268945794697446
2020-5,0.7266863911695204
2020-6,0.7264782028692962
2020-7,0.7262700145690721
2020-8,0.7260618262688481
2020-9,0.7258536379686239
2020-10,0.7256454496683997
2020-11,0.7254372613681757
2020-12,0.7252290730679516
2021-1,0.7250208847677274
2021-2,0.7249528611674829
2021-3,0.7248848375672384
2021-4,0.7248168139669939
2021-5,0.7247487903667494
2021-6,0.724680766766505
2021-7,0.7246127431662605
2021-8,0.724544719566016
2021-9,0.7244766959657715
2021-10,0.724408672365527
2021-11,0.7243406487652825
2021-12,0.724272625165038
2022-1,0.7242046015647935
