,Maranhão - IDH
2019-9,0.6752596081780176
2019-10,0.6751257482364319
2019-11,0.6749918882948464
2019-12,0.6748580283532607
2020-1,0.6747241684116752
2020-2,0.6745402605966121
2020-3,0.674356352781549
2020-4,0.674172444966486
2020-5,0.6739885371514229
2020-6,0.6738046293363599
2020-7,0.6736207215212968
2020-8,0.6734368137062337
2020-9,0.6732529058911706
2020-10,0.6730689980761075
2020-11,0.6728850902610445
2020-12,0.6727011824459814
2021-1,0.6725172746309184
2021-2,0.6724908903478193
2021-3,0.6724645060647202
2021-4,0.6724381217816211
2021-5,0.6724117374985219
2021-6,0.6723853532154228
2021-7,0.6723589689323237
2021-8,0.6723325846492246
2021-9,0.6723062003661255
2021-10,0.6722798160830263
2021-11,0.6722534317999272
2021-12,0.6722270475168282
2022-1,0.6722006632337291
