,Amazonas - IDH
2017-8,0.7124404641519124
2017-9,0.7123285250450916
2017-10,0.7122165859382708
2017-11,0.71210464683145
2017-12,0.7119927077246293
2018-1,0.7118807686178085
2018-2,0.711834410804307
2018-3,0.7117880529908056
2018-4,0.7117416951773041
2018-5,0.7116953373638026
2018-6,0.7116489795503013
2018-7,0.7116026217367998
2018-8,0.7115562639232983
2018-9,0.7115099061097969
2018-10,0.7114635482962954
2018-11,0.711417190482794
2018-12,0.7113708326692926
2019-1,0.7113244748557911
2019-2,0.7112132966350017
2019-3,0.7111021184142121
2019-4,0.7109909401934227
2019-5,0.7108797619726333
2019-6,0.7107685837518437
2019-7,0.7106574055310543
2019-8,0.7105462273102648
2019-9,0.7104350490894753
2019-10,0.7103238708686859
2019-11,0.7102126926478964
2019-12,0.7101015144271069
2020-1,0.7099903362063175
2020-2,0.7098614751169714
2020-3,0.7097326140276253
2020-4,0.7096037529382793
2020-5,0.7094748918489332
2020-6,0.7093460307595871
2020-7,0.709217169670241
2020-8,0.7090883085808949
2020-9,0.7089594474915488
2020-10,0.7088305864022028
2020-11,0.7087017253128567
2020-12,0.7085728642235106
2021-1,0.7084440031341646
2021-2,0.7085079728548779
2021-3,0.7085719425755913
2021-4,0.7086359122963046
2021-5,0.7086998820170181
2021-6,0.7087638517377314
2021-7,0.7088278214584447
2021-8,0.7088917911791581
2021-9,0.7089557608998714
2021-10,0.7090197306205849
2021-11,0.7090837003412982
2021-12,0.7091476700620116
2022-1,0.709211639782725
