,Roraima - IDH
2019-10,0.7287203470188156
2019-11,0.7285765196927079
2019-12,0.7284326923666002
2020-1,0.7282888650404925
2020-2,0.7282077200786781
2020-3,0.7281265751168636
2020-4,0.7280454301550492
2020-5,0.7279642851932348
2020-6,0.7278831402314203
2020-7,0.7278019952696058
2020-8,0.7277208503077913
2020-9,0.7276397053459769
2020-10,0.7275585603841624
2020-11,0.727477415422348
2020-12,0.7273962704605336
2021-1,0.7273151254987191
2021-2,0.7275296340252245
2021-3,0.72774414255173
2021-4,0.7279586510782354
2021-5,0.7281731596047409
2021-6,0.7283876681312463
2021-7,0.7286021766577517
2021-8,0.7288166851842572
2021-9,0.7290311937107626
2021-10,0.7292457022372681
2021-11,0.7294602107637735
2021-12,0.729674719290279
2022-1,0.7298892278167844
