,Alagoas - IDH
2010-12,0.6622384389341842
2011-1,0.6624010349219843
2011-2,0.6625237122026159
2011-3,0.6626463894832473
2011-4,0.6627690667638788
2011-5,0.6628917440445103
2011-6,0.6630144213251419
2011-7,0.6631370986057734
2011-8,0.6632597758864048
2011-9,0.6633824531670364
2011-10,0.6635051304476679
2011-11,0.6636278077282993
2011-12,0.6637504850089309
2012-1,0.6638731622895624
2012-2,0.6639625592499065
2012-3,0.6640519562102507
2012-4,0.664141353170595
2012-5,0.6642307501309391
2012-6,0.6643201470912833
2012-7,0.6644095440516276
2012-8,0.6644989410119717
2012-9,0.6645883379723159
2012-10,0.66467773493266
2012-11,0.6647671318930042
2012-12,0.6648565288533484
2013-1,0.6649459258136926
2013-2,0.6650636058540654
2013-3,0.6651812858944384
2013-4,0.6652989659348112
2013-5,0.665416645975184
2013-6,0.665534326015557
2013-7,0.6656520060559298
2013-8,0.6657696860963026
2013-9,0.6658873661366755
2013-10,0.6660050461770484
2013-11,0.6661227262174212
2013-12,0.6662404062577941
2014-1,0.666358086298167
2014-2,0.6663605730085709
2014-3,0.6663630597189748
2014-4,0.6663655464293787
2014-5,0.6663680331397827
2014-6,0.6663705198501866
2014-7,0.6663730065605906
2014-8,0.6663754932709945
2014-9,0.6663779799813985
2014-10,0.6663804666918024
2014-11,0.6663829534022063
2014-12,0.6663854401126103
2015-1,0.6663879268230142
2015-2,0.6673598806576451
2015-3,0.668331834492276
2015-4,0.6693037883269068
2015-5,0.6702757421615378
2015-6,0.6712476959961687
2015-7,0.6722196498307996
2015-8,0.6731916036654305
2015-9,0.6741635575000614
2015-10,0.6751355113346924
2015-11,0.6761074651693233
2015-12,0.6770794190039542
2016-1,0.6780513728385851
2016-2,0.6780366105116047
2016-3,0.6780218481846243
2016-4,0.6780070858576438
2016-5,0.6779923235306634
2016-6,0.677977561203683
2016-7,0.6779627988767025
2016-8,0.6779480365497221
2016-9,0.6779332742227417
2016-10,0.6779185118957614
2016-11,0.677903749568781
2016-12,0.6778889872418005
2017-1,0.6778742249148201
2017-2,0.6778656963156899
2017-3,0.6778571677165598
2017-4,0.6778486391174297
2017-5,0.6778401105182995
2017-6,0.6778315819191694
2017-7,0.6778230533200391
2017-8,0.677814524720909
2017-9,0.6778059961217788
2017-10,0.6777974675226487
2017-11,0.6777889389235185
2017-12,0.6777804103243884
2018-1,0.6777718817252583
2018-2,0.6776868202231769
2018-3,0.6776017587210955
2018-4,0.6775166972190141
2018-5,0.6774316357169328
2018-6,0.6773465742148514
2018-7,0.67726151271277
2018-8,0.6771764512106886
2018-9,0.6770913897086073
2018-10,0.677006328206526
2018-11,0.6769212667044445
2018-12,0.6768362052023631
2019-1,0.6767511437002818
2019-2,0.6766735008495264
2019-3,0.6765958579987709
2019-4,0.6765182151480155
2019-5,0.6764405722972601
2019-6,0.6763629294465046
2019-7,0.6762852865957492
2019-8,0.6762076437449938
2019-9,0.6761300008942382
2019-10,0.6760523580434828
2019-11,0.6759747151927274
2019-12,0.6758970723419719
2020-1,0.6758194294912165
2020-2,0.675681697896453
2020-3,0.6755439663016896
2020-4,0.6754062347069261
2020-5,0.6752685031121625
2020-6,0.675130771517399
2020-7,0.6749930399226355
2020-8,0.674855308327872
2020-9,0.6747175767331085
2020-10,0.6745798451383449
2020-11,0.6744421135435814
2020-12,0.6743043819488179
2021-1,0.6741666503540544
2021-2,0.6740921552809791
2021-3,0.6740176602079038
2021-4,0.6739431651348284
2021-5,0.673868670061753
2021-6,0.6737941749886777
2021-7,0.6737196799156023
2021-8,0.673645184842527
2021-9,0.6735706897694517
2021-10,0.6734961946963762
2021-11,0.6734216996233009
2021-12,0.6733472045502256
2022-1,0.6732727094771502
