,Goiás - IDH
2019-10,0.7518202695210399
2019-11,0.7516629664679976
2019-12,0.7515056634149553
2020-1,0.751348360361913
2020-2,0.7512979691525336
2020-3,0.7512475779431541
2020-4,0.7511971867337747
2020-5,0.7511467955243952
2020-6,0.7510964043150158
2020-7,0.7510460131056363
2020-8,0.7509956218962569
2020-9,0.7509452306868775
2020-10,0.750894839477498
2020-11,0.7508444482681186
2020-12,0.7507940570587391
2021-1,0.7507436658493597
2021-2,0.7508477845300366
2021-3,0.7509519032107137
2021-4,0.7510560218913906
2021-5,0.7511601405720676
2021-6,0.7512642592527445
2021-7,0.7513683779334215
2021-8,0.7514724966140985
2021-9,0.7515766152947755
2021-10,0.7516807339754524
2021-11,0.7517848526561295
2021-12,0.7518889713368064
2022-1,0.7519930900174834
