,Bahia - IDH
2019-9,0.6988938933736343
2019-10,0.698757421183446
2019-11,0.6986209489932576
2019-12,0.6984844768030692
2020-1,0.6983480046128809
2020-2,0.6981536713144937
2020-3,0.6979593380161064
2020-4,0.6977650047177191
2020-5,0.6975706714193318
2020-6,0.6973763381209446
2020-7,0.6971820048225573
2020-8,0.6969876715241701
2020-9,0.6967933382257828
2020-10,0.6965990049273956
2020-11,0.6964046716290082
2020-12,0.696210338330621
2021-1,0.6960160050322337
2021-2,0.6960540050703568
2021-3,0.6960920051084797
2021-4,0.6961300051466026
2021-5,0.6961680051847257
2021-6,0.6962060052228487
2021-7,0.6962440052609716
2021-8,0.6962820052990946
2021-9,0.6963200053372176
2021-10,0.6963580053753406
2021-11,0.6963960054134636
2021-12,0.6964340054515865
2022-1,0.6964720054897096
