,Piauí - IDH
2013-5,0.6785177378289062
2013-6,0.6785144793007232
2013-7,0.6785112207725401
2013-8,0.678507962244357
2013-9,0.678504703716174
2013-10,0.6785014451879909
2013-11,0.6784981866598079
2013-12,0.6784949281316248
2014-1,0.6784916696034418
2014-2,0.6784395284201323
2014-3,0.6783873872368229
2014-4,0.6783352460535135
2014-5,0.678283104870204
2014-6,0.6782309636868946
2014-7,0.6781788225035852
2014-8,0.6781266813202756
2014-9,0.6780745401369662
2014-10,0.6780223989536568
2014-11,0.6779702577703474
2014-12,0.6779181165870379
2015-1,0.6778659754037285
2015-2,0.6788316421874704
2015-3,0.6797973089712122
2015-4,0.680762975754954
2015-5,0.6817286425386959
2015-6,0.6826943093224377
2015-7,0.6836599761061796
2015-8,0.6846256428899214
2015-9,0.6855913096736632
2015-10,0.6865569764574051
2015-11,0.687522643241147
2015-12,0.6884883100248887
2016-1,0.6894539768086306
2016-2,0.6894877190571809
2016-3,0.6895214613057311
2016-4,0.6895552035542813
2016-5,0.6895889458028315
2016-6,0.6896226880513817
2016-7,0.689656430299932
2016-8,0.6896901725484822
2016-9,0.6897239147970324
2016-10,0.6897576570455826
2016-11,0.6897913992941328
2016-12,0.689825141542683
2017-1,0.6898588837912333
2017-2,0.6898275116987427
2017-3,0.689796139606252
2017-4,0.6897647675137613
2017-5,0.6897333954212707
2017-6,0.6897020233287801
2017-7,0.6896706512362893
2017-8,0.6896392791437986
2017-9,0.689607907051308
2017-10,0.6895765349588174
2017-11,0.6895451628663267
2017-12,0.689513790773836
2018-1,0.6894824186813454
2018-2,0.6894103157925677
2018-3,0.68933821290379
2018-4,0.6892661100150124
2018-5,0.6891940071262347
2018-6,0.689121904237457
2018-7,0.6890498013486792
2018-8,0.6889776984599015
2018-9,0.6889055955711239
2018-10,0.6888334926823462
2018-11,0.6887613897935685
2018-12,0.6886892869047908
2019-1,0.6886171840160131
2019-2,0.6884854960161344
2019-3,0.6883538080162558
2019-4,0.6882221200163771
2019-5,0.6880904320164984
2019-6,0.6879587440166197
2019-7,0.687827056016741
2019-8,0.6876953680168624
2019-9,0.6875636800169836
2019-10,0.687431992017105
2019-11,0.6873003040172263
2019-12,0.6871686160173477
2020-1,0.687036928017469
2020-2,0.6868781168660861
2020-3,0.6867193057147033
2020-4,0.6865604945633206
2020-5,0.6864016834119377
2020-6,0.6862428722605549
2020-7,0.6860840611091721
2020-8,0.6859252499577893
2020-9,0.6857664388064064
2020-10,0.6856076276550236
2020-11,0.6854488165036409
2020-12,0.685290005352258
2021-1,0.6851311942008752
2021-2,0.6850943093084576
2021-3,0.68505742441604
2021-4,0.6850205395236224
2021-5,0.6849836546312048
2021-6,0.6849467697387872
2021-7,0.6849098848463695
2021-8,0.6848729999539519
2021-9,0.6848361150615343
2021-10,0.6847992301691167
2021-11,0.6847623452766991
2021-12,0.6847254603842815
2022-1,0.6846885754918639
