,São Paulo - IDH
2019-9,0.8199249599186926
2019-10,0.8197458524895405
2019-11,0.8195667450603882
2019-12,0.819387637631236
2020-1,0.8192085302020838
2020-2,0.819179806946039
2020-3,0.8191510836899942
2020-4,0.8191223604339494
2020-5,0.8190936371779045
2020-6,0.8190649139218596
2020-7,0.8190361906658148
2020-8,0.81900746740977
2020-9,0.8189787441537252
2020-10,0.8189500208976803
2020-11,0.8189212976416356
2020-12,0.8188925743855907
2021-1,0.8188638511295458
2021-2,0.818961304547194
2021-3,0.819058757964842
2021-4,0.8191562113824901
2021-5,0.8192536648001382
2021-6,0.8193511182177862
2021-7,0.8194485716354343
2021-8,0.8195460250530824
2021-9,0.8196434784707304
2021-10,0.8197409318883785
2021-11,0.8198383853060266
2021-12,0.8199358387236746
2022-1,0.8200332921413227
