,Rio Grande do Norte - IDH
2010-2,0.7140935431881604
2010-3,0.7142424290727221
2010-4,0.7143913149572836
2010-5,0.7145402008418452
2010-6,0.7146890867264069
2010-7,0.7148379726109684
2010-8,0.71498685849553
2010-9,0.7151357443800916
2010-10,0.7152846302646533
2010-11,0.7154335161492149
2010-12,0.7155824020337764
2011-1,0.7157312879183381
2011-2,0.7158079780104406
2011-3,0.7158846681025433
2011-4,0.7159613581946458
2011-5,0.7160380482867483
2011-6,0.716114738378851
2011-7,0.7161914284709535
2011-8,0.716268118563056
2011-9,0.7163448086551587
2011-10,0.7164214987472612
2011-11,0.7164981888393638
2011-12,0.7165748789314664
2012-1,0.716651569023569
2012-2,0.7168019271417883
2012-3,0.7169522852600074
2012-4,0.7171026433782267
2012-5,0.7172530014964459
2012-6,0.7174033596146652
2012-7,0.7175537177328843
2012-8,0.7177040758511036
2012-9,0.7178544339693229
2012-10,0.7180047920875421
2012-11,0.7181551502057614
2012-12,0.7183055083239805
2013-1,0.7184558664421998
2013-2,0.7185145877369373
2013-3,0.7185733090316748
2013-4,0.7186320303264123
2013-5,0.7186907516211498
2013-6,0.7187494729158873
2013-7,0.7188081942106248
2013-8,0.7188669155053623
2013-9,0.7189256368000998
2013-10,0.7189843580948373
2013-11,0.7190430793895748
2013-12,0.7191018006843123
2014-1,0.7191605219790498
2014-2,0.7191338589372376
2014-3,0.7191071958954255
2014-4,0.7190805328536133
2014-5,0.7190538698118012
2014-6,0.719027206769989
2014-7,0.7190005437281768
2014-8,0.7189738806863647
2014-9,0.7189472176445525
2014-10,0.7189205546027404
2014-11,0.7188938915609282
2014-12,0.7188672285191161
2015-1,0.7188405654773039
2015-2,0.719695582921787
2015-3,0.7205506003662703
2015-4,0.7214056178107534
2015-5,0.7222606352552366
2015-6,0.7231156526997198
2015-7,0.723970670144203
2015-8,0.7248256875886862
2015-9,0.7256807050331693
2015-10,0.7265357224776525
2015-11,0.7273907399221357
2015-12,0.7282457573666189
2016-1,0.729100774811102
2016-2,0.7290788109839134
2016-3,0.7290568471567248
2016-4,0.7290348833295361
2016-5,0.7290129195023476
2016-6,0.7289909556751589
2016-7,0.7289689918479703
2016-8,0.7289470280207817
2016-9,0.728925064193593
2016-10,0.7289031003664045
2016-11,0.7288811365392158
2016-12,0.7288591727120273
2017-1,0.7288372088848386
2017-2,0.7288435513763905
2017-3,0.7288498938679422
2017-4,0.728856236359494
2017-5,0.7288625788510459
2017-6,0.7288689213425976
2017-7,0.7288752638341495
2017-8,0.7288816063257013
2017-9,0.728887948817253
2017-10,0.7288942913088049
2017-11,0.7289006338003567
2017-12,0.7289069762919085
2018-1,0.7289133187834603
2018-2,0.7288369045318198
2018-3,0.7287604902801794
2018-4,0.7286840760285389
2018-5,0.7286076617768985
2018-6,0.728531247525258
2018-7,0.7284548332736176
2018-8,0.7283784190219771
2018-9,0.7283020047703366
2018-10,0.7282255905186962
2018-11,0.7281491762670557
2018-12,0.7280727620154153
2019-1,0.7279963477637748
2019-2,0.7278902594892579
2019-3,0.727784171214741
2019-4,0.7276780829402242
2019-5,0.7275719946657073
2019-6,0.7274659063911905
2019-7,0.7273598181166736
2019-8,0.7272537298421569
2019-9,0.72714764156764
2019-10,0.7270415532931231
2019-11,0.7269354650186063
2019-12,0.7268293767440894
2020-1,0.7267232884695726
2020-2,0.7265469497458572
2020-3,0.7263706110221418
2020-4,0.7261942722984265
2020-5,0.7260179335747111
2020-6,0.7258415948509958
2020-7,0.7256652561272804
2020-8,0.725488917403565
2020-9,0.7253125786798497
2020-10,0.7251362399561343
2020-11,0.7249599012324189
2020-12,0.7247835625087036
2021-1,0.7246072237849882
2021-2,0.7245815209348745
2021-3,0.7245558180847608
2021-4,0.724530115234647
2021-5,0.7245044123845333
2021-6,0.7244787095344196
2021-7,0.7244530066843059
2021-8,0.7244273038341922
2021-9,0.7244016009840785
2021-10,0.7243758981339647
2021-11,0.724350195283851
2021-12,0.7243244924337373
2022-1,0.7242987895836236
