,Mato Grosso - IDH
2015-8,0.7573916779631096
2015-9,0.7576687646821282
2015-10,0.7579458514011468
2015-11,0.7582229381201655
2015-12,0.7585000248391842
2016-1,0.7587771115582028
2016-2,0.7586996654336438
2016-3,0.7586222193090847
2016-4,0.7585447731845256
2016-5,0.7584673270599666
2016-6,0.7583898809354075
2016-7,0.7583124348108483
2016-8,0.7582349886862892
2016-9,0.7581575425617302
2016-10,0.7580800964371711
2016-11,0.758002650312612
2016-12,0.757925204188053
2017-1,0.7578477580634939
2017-2,0.757755695624581
2017-3,0.7576636331856681
2017-4,0.7575715707467552
2017-5,0.7574795083078422
2017-6,0.7573874458689293
2017-7,0.7572953834300163
2017-8,0.7572033209911034
2017-9,0.7571112585521905
2017-10,0.7570191961132775
2017-11,0.7569271336743646
2017-12,0.7568350712354517
2018-1,0.7567430087965388
2018-2,0.7565819709843913
2018-3,0.7564209331722439
2018-4,0.7562598953600965
2018-5,0.756098857547949
2018-6,0.7559378197358015
2018-7,0.7557767819236542
2018-8,0.7556157441115068
2018-9,0.7554547062993593
2018-10,0.7552936684872118
2018-11,0.7551326306750644
2018-12,0.754971592862917
2019-1,0.7548105550507695
2019-2,0.7546273016799421
2019-3,0.7544440483091146
2019-4,0.7542607949382871
2019-5,0.7540775415674595
2019-6,0.7538942881966321
2019-7,0.7537110348258046
2019-8,0.7535277814549771
2019-9,0.7533445280841496
2019-10,0.7531612747133221
2019-11,0.7529780213424946
2019-12,0.7527947679716671
2020-1,0.7526115146008396
2020-2,0.7525858442569066
2020-3,0.7525601739129736
2020-4,0.7525345035690405
2020-5,0.7525088332251074
2020-6,0.7524831628811744
2020-7,0.7524574925372414
2020-8,0.7524318221933083
2020-9,0.7524061518493753
2020-10,0.7523804815054422
2020-11,0.7523548111615092
2020-12,0.7523291408175762
2021-1,0.7523034704736431
2021-2,0.7524269816135949
2021-3,0.7525504927535468
2021-4,0.7526740038934987
2021-5,0.7527975150334505
2021-6,0.7529210261734023
2021-7,0.7530445373133542
2021-8,0.7531680484533061
2021-9,0.7532915595932579
2021-10,0.7534150707332097
2021-11,0.7535385818731616
2021-12,0.7536620930131135
2022-1,0.7537856041530653
