,Pernambuco - IDH
2014-4,0.7144356898830122
2014-5,0.714431851038679
2014-6,0.7144280121943457
2014-7,0.7144241733500125
2014-8,0.7144203345056792
2014-9,0.7144164956613459
2014-10,0.7144126568170127
2014-11,0.7144088179726794
2014-12,0.7144049791283462
2015-1,0.7144011402840129
2015-2,0.7151102496944992
2015-3,0.7158193591049855
2015-4,0.7165284685154718
2015-5,0.717237577925958
2015-6,0.7179466873364443
2015-7,0.7186557967469306
2015-8,0.7193649061574169
2015-9,0.7200740155679032
2015-10,0.7207831249783894
2015-11,0.7214922343888757
2015-12,0.722201343799362
2016-1,0.7229104532098483
2016-2,0.7229021990674986
2016-3,0.722893944925149
2016-4,0.7228856907827994
2016-5,0.7228774366404497
2016-6,0.7228691824981001
2016-7,0.7228609283557504
2016-8,0.7228526742134008
2016-9,0.7228444200710512
2016-10,0.7228361659287015
2016-11,0.7228279117863519
2016-12,0.7228196576440022
2017-1,0.7228114035016526
2017-2,0.7228175504978773
2017-3,0.7228236974941019
2017-4,0.7228298444903265
2017-5,0.7228359914865512
2017-6,0.7228421384827759
2017-7,0.7228482854790005
2017-8,0.7228544324752251
2017-9,0.7228605794714498
2017-10,0.7228667264676745
2017-11,0.7228728734638991
2017-12,0.7228790204601236
2018-1,0.7228851674563483
2018-2,0.7227933884219268
2018-3,0.7227016093875052
2018-4,0.7226098303530835
2018-5,0.7225180513186619
2018-6,0.7224262722842403
2018-7,0.7223344932498187
2018-8,0.7222427142153971
2018-9,0.7221509351809755
2018-10,0.7220591561465539
2018-11,0.7219673771121322
2018-12,0.7218755980777106
2019-1,0.721783819043289
2019-2,0.7216458176724049
2019-3,0.7215078163015207
2019-4,0.7213698149306366
2019-5,0.7212318135597524
2019-6,0.7210938121888683
2019-7,0.7209558108179841
2019-8,0.7208178094470998
2019-9,0.7206798080762157
2019-10,0.7205418067053315
2019-11,0.7204038053344474
2019-12,0.7202658039635632
2020-1,0.7201278025926791
2020-2,0.7199848314001993
2020-3,0.7198418602077197
2020-4,0.7196988890152399
2020-5,0.7195559178227602
2020-6,0.7194129466302805
2020-7,0.7192699754378008
2020-8,0.719127004245321
2020-9,0.7189840330528414
2020-10,0.7188410618603617
2020-11,0.7186980906678819
2020-12,0.7185551194754023
2021-1,0.7184121482829225
2021-2,0.7184076948608235
2021-3,0.7184032414387244
2021-4,0.7183987880166254
2021-5,0.7183943345945263
2021-6,0.7183898811724272
2021-7,0.7183854277503281
2021-8,0.718380974328229
2021-9,0.7183765209061299
2021-10,0.7183720674840308
2021-11,0.7183676140619318
2021-12,0.7183631606398327
2022-1,0.7183587072177336
