,Rio de Janeiro - IDH
2019-9,0.7800470847541787
2019-10,0.7798402782167085
2019-11,0.7796334716792384
2019-12,0.7794266651417683
2020-1,0.7792198586042981
2020-2,0.7791760696543306
2020-3,0.7791322807043632
2020-4,0.7790884917543958
2020-5,0.7790447028044283
2020-6,0.7790009138544609
2020-7,0.7789571249044934
2020-8,0.7789133359545259
2020-9,0.7788695470045586
2020-10,0.7788257580545911
2020-11,0.7787819691046236
2020-12,0.7787381801546562
2021-1,0.7786943912046888
2021-2,0.7788208638653303
2021-3,0.7789473365259719
2021-4,0.7790738091866135
2021-5,0.7792002818472551
2021-6,0.7793267545078967
2021-7,0.7794532271685383
2021-8,0.7795796998291799
2021-9,0.7797061724898214
2021-10,0.779832645150463
2021-11,0.7799591178111046
2021-12,0.7800855904717462
2022-1,0.7802120631323878
