,Rio Grande do Sul - IDH
2019-9,0.7813494769615925
2019-10,0.7812091160827468
2019-11,0.7810687552039011
2019-12,0.7809283943250552
2020-1,0.7807880334462095
2020-2,0.7807940033965596
2020-3,0.7807999733469096
2020-4,0.7808059432972597
2020-5,0.7808119132476098
2020-6,0.7808178831979599
2020-7,0.7808238531483099
2020-8,0.78082982309866
2020-9,0.7808357930490101
2020-10,0.7808417629993601
2020-11,0.7808477329497102
2020-12,0.7808537029000603
2021-1,0.7808596728504104
2021-2,0.7809343673417013
2021-3,0.7810090618329923
2021-4,0.7810837563242834
2021-5,0.7811584508155743
2021-6,0.7812331453068653
2021-7,0.7813078397981563
2021-8,0.7813825342894474
2021-9,0.7814572287807383
2021-10,0.7815319232720292
2021-11,0.7816066177633203
2021-12,0.7816813122546113
