,Sergipe - IDH
2016-7,0.7003056646807453
2016-8,0.7003296187726348
2016-9,0.7003535728645242
2016-10,0.7003775269564136
2016-11,0.7004014810483031
2016-12,0.7004254351401925
2017-1,0.700449389232082
2017-2,0.7004603694535372
2017-3,0.7004713496749924
2017-4,0.7004823298964475
2017-5,0.7004933101179027
2017-6,0.7005042903393579
2017-7,0.7005152705608131
2017-8,0.7005262507822682
2017-9,0.7005372310037233
2017-10,0.7005482112251785
2017-11,0.7005591914466337
2017-12,0.7005701716680889
2018-1,0.7005811518895441
2018-2,0.7005097969796164
2018-3,0.7004384420696886
2018-4,0.7003670871597609
2018-5,0.7002957322498333
2018-6,0.7002243773399056
2018-7,0.7001530224299779
2018-8,0.7000816675200502
2018-9,0.7000103126101225
2018-10,0.6999389577001949
2018-11,0.6998676027902672
2018-12,0.6997962478803395
2019-1,0.6997248929704117
2019-2,0.6996849300383694
2019-3,0.6996449671063271
2019-4,0.6996050041742847
2019-5,0.6995650412422424
2019-6,0.6995250783102
2019-7,0.6994851153781576
2019-8,0.6994451524461153
2019-9,0.6994051895140729
2019-10,0.6993652265820306
2019-11,0.6993252636499883
2019-12,0.6992853007179459
2020-1,0.6992453377859036
2020-2,0.6990729539812514
2020-3,0.6989005701765991
2020-4,0.6987281863719469
2020-5,0.6985558025672947
2020-6,0.6983834187626424
2020-7,0.6982110349579902
2020-8,0.6980386511533379
2020-9,0.6978662673486856
2020-10,0.6976938835440334
2020-11,0.6975214997393812
2020-12,0.6973491159347289
2021-1,0.6971767321300767
2021-2,0.6971401922219712
2021-3,0.6971036523138657
2021-4,0.6970671124057602
2021-5,0.6970305724976548
2021-6,0.6969940325895493
2021-7,0.6969574926814438
2021-8,0.6969209527733383
2021-9,0.6968844128652328
2021-10,0.6968478729571274
2021-11,0.6968113330490219
2021-12,0.6967747931409164
2022-1,0.6967382532328109
